[0.0 - 2.0] 我们先来看几个比较重要的数据。
[2.0 - 4.0] 首先,先看黄金。
[4.0 - 9.0] 那现在的国际金家已经基本上回到了去年的10月底、11月份的时候了。
[9.0 - 16.0] 而就在那个时候,美国各大金融机构就开始陆续鼓吹,接下来黄金的一路上涨。
[16.0 - 21.0] 有吹到4000的,5000的,6000的,后来还有吹到1万美元的。
[21.0 - 25.0] 然后到了1月底,2月初就来到了最高点,5600多美元。
[25.0 - 28.0] 那后来降下来一次,主要就是受韦的事件的影响。
[28.0 - 30.2] 后来涨上来以后再往下降
[30.2 - 33.0] 我们就知道主要就是中东的事件发生了
[33.0 - 34.6] 然后几乎就是一蹶不振了
[34.6 - 38.1] 从5600多美元降到了现在不到4000美元
[38.1 - 42.3] 与此同时之前那些各种给黄金接下来要一路飙涨的
[42.3 - 45.2] 美国的金融机构好像就都不说话了
[45.2 - 47.3] 好 那接下来我们再来看美元指数
[47.3 - 54.2] 最近这段时间基本上是在100.4到100.7之间进行波动
[54.2 - 56.6] 好 那这个位置其实基本上跟
[56.6 - 59.5] 去年11月份12月份的高点
[59.5 - 60.4] 也是吻合的
[60.4 - 64.2] 那1月底的时候基本上就是最低点了95
[64.2 - 66.9] 后来呢 我们知道中东事件发生了
[66.9 - 69.0] 然后美元指数就一路走高
[69.0 - 70.3] 那最直接的原因就是
[70.3 - 72.1] 霍尔木斯海峡实质性的受阻
[72.1 - 74.7] 所以大家就要找各种新的购买源
[74.7 - 76.8] 而且大家也不知道这事什么时候结束
[76.8 - 79.4] 所以肯定是能买 多买 近买
[79.4 - 81.9] 那在这个过程中就会增加
[81.9 - 83.2] 对于美元的需求
[83.2 - 84.5] 所以有的国家抛黄金
[84.5 - 86.2] 有的国家都用外汇储备
[86.2 - 89.1] 总之就是要换成美元去购买石油
[89.1 - 91.9] 所以这就很直接的助推了美元指数的上涨
[91.9 - 95.5] 而同时使得石油美元进一步的绑定
[95.5 - 97.7] 好 那我们再来看最近的国际原油价格
[98.2 - 100.3] 如果是近期的低点的话
[100.3 - 103.7] 其实基本上已经回到了中东事件发生之前了
[103.7 - 105.3] 那由于MOU被废掉了
[105.3 - 106.8] 大家又开始重新打了
[106.8 - 109.0] 所以价格近期又有所回升
[109.0 - 112.4] 但能看出整体还是在80-90
[112.4 - 113.4] 这个区间范围之内
[113.8 - 116.2] 那这其实也就从另外一个层面反映出
[116.2 - 117.4] 在之前的这一个多月
[117.4 - 119.4] 确实是有不少的油轮出来了
[119.6 - 120.7] 之前我们跟大家分享过
[120.7 - 124.8] 那官方统计的是超过3.8亿桶的原油
[124.8 - 126.8] 所以也就是说这外边的这些海上
[126.8 - 128.7] 确实是漂着很多的原油的
[129.3 - 131.3] 那大家呢就没有那么的焦虑
[131.3 - 133.4] 对于国际原油价格的直接影响
[133.4 - 134.2] 就会小不少
[134.2 - 135.8] 另外虽然现在
[136.2 - 137.6] 一封锁了海峡
[137.9 - 139.9] 美又在外边继续反封锁
[139.9 - 141.3] 但现在确实每一天
[141.3 - 145.8] 还是陆续有一些游轮从阿曼这一侧悄悄出来的
[145.8 - 149.4] 那之前的这五天美对于伊的打击是不间断的
