[0.0 - 2.5] 这条视频是一个非常干的金融知识题,
[2.5 - 6.5] 源于最近有一些朋友经常提及像美元什么时候会崩啊,
[6.5 - 11.5] 以及它凭什么能够影响国际原油价格呀、国际黄金价格呀等等。
[11.5 - 17.0] 想回答这些问题,那首先你要对以下的这些重要数据有清晰的了解。
[17.0 - 18.5] 第一部分先看原油。
[18.5 - 23.0] 在正常状态下,全球一天消耗差不多一亿桶的原油。
[23.0 - 28.0] 我们按照80美元每桶来计算的话,也就是一天80亿美元。
[28.0 - 31.0] 一年算下來差不多3萬億美元
[31.0 - 32.6] 好那這只是現貨市場
[32.6 - 36.4] 期貨市場一年差不多30到50萬億美元
[36.4 - 40.4] 而以上的這些大部分都是以美元計價的
[40.4 - 42.2] 好第二部分我們來看黃金
[42.2 - 46.2] 2025年日均黃金交易額現貨加期貨
[46.2 - 48.4] 一天是3600億美元
[48.4 - 50.0] 按實際交易日來算
[50.0 - 52.4] 整個全年超過90萬億美元
[52.4 - 55.8] 而這一部分也是大部分都以美元計價的
[55.8 - 57.8] 好第三我們來看關於SWIFT的系統
[57.8 - 60.8] 一天交易量大致6万亿美元
[60.8 - 65.8] 那我们知道现在美元在整个Swift系统里占比差不多是50%
[65.8 - 70.8] 所以每天以美元去进行的相关交易是3万亿美元
[70.8 - 72.8] 依旧是按照工作日来计算
[72.8 - 76.8] 每年的美元交易量在Swift系统上差不多是800万亿美元
[76.8 - 78.8] 好 第四部分 美股
[78.8 - 82.8] 现在全球的股市市值差不多是160万亿美元
[82.8 - 84.1] 那美股的市值
[84.1 - 87.0] 我们就算近期的一个统计平均值
[87.0 - 88.0] 80万亿美元
[88.0 - 91.5] 也就是说占到整个全球股市的一半
[91.5 - 93.6] 好第五部分关于虚拟资产
[93.6 - 97.6] 代表性的像BTC,ETH,USDT,USDC
[97.6 - 99.8] 那全年大致的交易量如图所示
[99.8 - 101.7] 我们取个平均值
[101.7 - 104.4] 每年差不多是100万亿美元
[104.4 - 108.0] 而其中绝大部分都是以美元计价结算的
[108.0 - 109.7] 好再接下来关于美国国债
[109.7 - 111.1] 最新5月份的数据
[111.1 - 114.2] 全球海外央行持有美国国债9.37万亿
[114.2 - 116.1] 那这是历史第二高位
[116.1 - 119.2] 好再接下来这部分是跟美元本身关系密切的
[119.2 - 123.8] 首先美国最新的M2是22.8万亿美元
[123.8 - 126.5] 那这一部分就是在美国境内的
[126.5 - 128.7] 相关美元的现金和银行存款
[128.7 - 132.6] 第二去年全球外汇储备是13万亿美元
[132.6 - 134.8] 而其中将近7.5万亿美元
[134.8 - 139.0] 也就是说占比57%都是美元资产
[139.0 - 141.5] 这也就意味着除了美国以外的其他国家
[141.5 - 145.0] 手里的外汇储备一半以上都是美元资产
[145.0 - 147.7] 好 第三可能也是很多人平常会有误解的
[147.7 - 153.5] 在海外大家在用的美钞差不多1.2到1.5万亿美元
[153.5 - 158.3] 而这个占整个美钞总的流通量超过50%
[158.3 - 161.0] 也就是说印出来的这些美钞一半以上
[161.0 - 163.4] 都不是在美国本土流通的
[163.4 - 167.8] 都是在海外个人企业银行之间流通和使用的
[167.8 - 169.1] 好 以上是一些分享
[169.1 - 170.6] 我们把它们稍微加一加
[170.6 - 171.8] 然后再取个平均值
[171.8 - 173.0] 再稍微打个折
[173.0 - 176.0] 能够看出大家概念上的这张绿纸
[176.0 - 178.6] 其实支撑着是每年差不多
[178.6 - 182.4] 350到400万亿美元体量的市场
[182.4 - 184.5] 当然在一系列数据背后
[184.5 - 186.0] 还有两个非常重要的机构
[186.0 - 187.0] 一个是Swift
[187.0 - 188.2] 一个是Chips
[188.2 - 190.0] 那我们很多人平常比较关注的
[190.0 - 191.6] 或者说了解的就是Swift
[191.6 - 193.3] 它负责下达指令
[193.3 - 194.8] 而另外一个叫Chips的
[194.8 - 196.4] 其实它是真正的那个
[196.4 - 199.9] 负责把美元进行搬动的重要系统
[199.9 - 202.3] 也就是说信息的首发是在Swift的
[202.3 - 204.5] 资金的终点是在CHIPS
[204.5 - 207.5] 这二者是互相协作一起工作的
[207.5 - 210.8] 好 除此之外还有一个平常可能大家接触比较少的
[210.8 - 212.7] 就是美元的货币互换
[212.7 - 214.5] 简单说就是当全球的金融市场
[214.5 - 215.9] 比如说出现恐慌啊
[215.9 - 217.5] 或者是说缺美元的时候
[217.5 - 218.9] 美联储就会通过这个机制
[218.9 - 222.9] 向其他的一些他合作的央行印钞借美元
[222.9 - 225.5] 由对方的央行注入当地的商业银行
[225.5 - 227.3] 从而稳定全球的金融市场
[227.3 - 229.6] 那美联储目前只跟这五家央行
[229.6 - 232.3] 签订了永久的并且没有上限的
[232.3 - 233.6] 常被互换协议
[233.6 - 235.1] 好那他为什么要借钱呢
[235.1 - 236.1] 这是做慈善吗
[236.1 - 237.3] 肯定不可能啊
[237.3 - 238.9] 这是妥妥的利益驱动
[238.9 - 240.2] 通过这个货币互换网络
[240.2 - 241.6] 美联储其实是充当了
[241.6 - 244.7] 全球离岸美元市场的最终贷款人
[244.7 - 247.0] 通过此他其实是想传递一个重要的信号
[247.0 - 247.5] 就是
[247.5 - 250.7] 只要你留在美元的金融世界里
[250.7 - 253.9] 只要你还是美国的重要金融盟友
[253.9 - 255.7] 你的美元流動性就是安全的
[255.7 - 257.9] 美聯儲會在適時給你兜底
[257.9 - 260.5] 這個美的貨幣互換從一開始設立到現在
[260.5 - 262.2] 中間其實是有一些調整的
[262.2 - 265.3] 但整體的思路美國是非常清晰的
[265.3 - 268.1] 就是希望能夠進一步的進一步的強化
[268.1 - 270.6] 這些在他來看重要盟友
[270.6 - 272.8] 對於美元資產的路徑依賴
[272.8 - 274.0] 好 另外我們想一想
[274.0 - 276.4] 如果歐洲或者是說日本的央行
[276.4 - 277.4] 遭遇了美元荒
[277.4 - 280.5] 他們最直接的選擇就是大量的拋美債
[280.5 - 282.3] 從市場上換美元現金
[282.3 - 284.1] 那么就会导致美债价格暴跌
[284.1 - 285.5] 美债收益率狂飙
[285.5 - 287.5] 这个美国可是承受不起的
[287.5 - 290.7] 这后面就会直接推高美债的债务利息
[290.7 - 293.7] 以及美国国内企业的贷款成本
[293.7 - 294.5] 房贷成本
[294.5 - 295.8] 如果一旦控制不好
[295.8 - 299.1] 美国的经济很有可能在短期就出大麻烦
[299.1 - 301.6] 好 听完以上的这些重要信息和知识点
[301.6 - 303.7] 我们再回到开篇的那几个问题
[303.7 - 307.1] 它为什么能够影响全球大家最近非常关注的
[307.1 - 308.5] 像国际原油市场
[308.5 - 309.8] 以及黄金市场
[309.8 - 311.0] 石油的现货市场
[311.0 - 312.2] 石油的期货市场
[312.2 - 314.8] 黄金的现货市场 黄金的期货市场
[314.8 - 317.0] 主要都是以美元计价的
[317.0 - 318.6] 除此之外 也看一下原油
[318.6 - 321.2] 根据EIA 7月10号当周的数据
[321.2 - 325.6] 现在美国国内每天的原油产量将近1390万桶
[325.6 - 328.2] 这是2025年1月以来的最高值
[328.2 - 330.2] 与此同时 美国现在已经是一个
[330.2 - 332.8] 石油产品的进出口国
[332.8 - 337.6] 原油加成品油每天进出口差不多350万桶
[337.6 - 340.6] 而我们也知道 从1月份对尾
[340.6 - 344.4] 现在韦的原油出口都要先过美
[344.4 - 347.4] 然后再进行一部分的对外出售
[347.4 - 349.8] 首先掌握了韦的账户
[349.8 - 353.6] 其次接下来都是用美元进行计价以及结算
[353.6 - 357.2] 第三也是满足国内的相关原油产品的需求
[357.2 - 358.8] 然后再看现在的中东
[358.8 - 362.0] 破坏了这么多年以来的欧佩克组织
[362.0 - 363.8] 阿联酋已经退出
[363.8 - 366.6] 虽然伊拉克说我没有要退出
[366.6 - 368.0] 但已经明确了
[368.0 - 372.4] 接下来要求提升自己在欧盖克里边的产油分量
[372.4 - 374.3] 再有前面的视频也跟大家分享了
[374.3 - 380.0] 雪弗隆公司接下来要帮助伊拉克去恢复它的管道运输
[380.0 - 382.4] 从伊拉克直接到叙利亚
[382.4 - 383.7] 然后进行出海
[383.7 - 385.1] 绕过霍尔摩斯海峡
[385.1 - 386.7] 并且也跟伊达成一致
[386.7 - 388.7] 要投资伊的重要油田
[388.7 - 390.5] 这两件事情加在一起
[390.5 - 394.4] 首先伊拉克接下来会重新回到石油美元体系
[394.4 - 396.9] 另外进一步分化了欧盖克组织
[396.9 - 402.9] 再有就是让霍尔木斯海峡对于全球能源的影响力在下降
[402.9 - 407.5] 除此之外我们知道阿联酋是这几个国家里边最早明确了
[407.5 - 410.4] 接下来要再建一条到富查伊拉岗
[410.4 - 415.3] 也就是绕过霍尔木斯海峡可以直接出去的重要的管道运输
[415.3 - 416.9] 好那以上的这些点穿起来
[416.9 - 419.1] 我相信大家应该就能理解的比较清楚了
[419.1 - 422.2] 一方面提高自己国内夜夜游的产量
[422.2 - 423.5] 当然还有天然气的部分
[423.5 - 426.4] 然后再一次的引发中东的不确定不稳定
[426.4 - 430.1] 而且还是跟能源密切相关的不稳定不确定
[430.1 - 431.5] 分化这个地方的团结
[431.9 - 433.7] 打散这个地方的石油组织
[433.7 - 435.4] 背靠着自己的油
[435.8 - 436.4] 尾的油
[436.6 - 438.8] 还有很重要的一部分
[438.9 - 441.1] 对它进行供给的加拿大的油
[441.1 - 444.9] 把以前可以在国际原油市场上有着很大的影响力和话语权的
[444.9 - 446.2] 这个欧派克组织打散
[446.2 - 447.8] 并且点对点的攻破
[447.9 - 449.1] 有的是军事
[449.1 - 450.5] 有的是经济利益
[450.5 - 452.2] 有的是an芯片半导体
[452.2 - 453.9] 并且让自己的重要企业
[453.9 - 458.5] 更进一步的深入到这个地方相关原油的生产建设运营
[458.5 - 463.1] 通过以上从而大大提升自己在整个国际原油市场上的话语权
[463.1 - 466.3] 好那再说说大家经常说的美元什么时候崩
[467.1 - 469.3] 前面那些数据大家应该就看出
[469.3 - 472.7] 我们不能把美元只看做是那张纸
[472.7 - 476.7] 而是它是一个体系是一个机制是一个系统
[476.7 - 482.1] 如果你说的美元崩等于整个这个体系轰然倒塌
[482.1 - 483.3] 那这个逻辑是对的
[483.3 - 486.5] 而大家要理解 刚才前面说的这些数据
[486.5 - 490.1] 这些里面的各种小部分 或者是说小机制
[490.1 - 492.5] 其实他们之间是互相交叉的
[492.5 - 494.5] 也就是说是互相支撑的
[494.5 - 498.5] 与此同时通过几十年的磨合 协调 查缺 补漏
[498.5 - 500.3] 它是有修复机制的
[500.3 - 502.2] 好 那美元崩意味着什么呢
[502.2 - 503.7] 首先美债崩
[503.7 - 505.3] 那美债崩也就意味着
[505.3 - 506.7] 刚才我们前面听到了
[506.7 - 508.3] 9.37万亿
[508.3 - 511.0] 这么多国家手里拿的这些债
[511.0 - 512.3] 就是废纸了
[512.3 - 513.8] 除此之外,刚才说了
[513.8 - 516.6] 全球这些国家的外汇储备中
[516.6 - 519.1] 超过一半都是美元资产
[519.1 - 522.0] 也就意味着这些资产也都不值钱了
[522.0 - 523.8] 第三,美股崩
[523.8 - 527.6] 那我们知道现在的全球股市的主题
[527.6 - 530.5] AI、芯片、半导体、科技
[530.5 - 534.6] 而全球头部体量的这几个大的资本市场
[534.6 - 536.3] 主题也都是此
[536.3 - 539.1] 也就意味着大家一起全都崩
[539.1 - 540.1] 第三,我们知道
[540.1 - 544.4] 全球大宗市场基本上都是以美元为主去计价的
[544.4 - 547.9] 那美元崩也就意味着这些大宗市场的
[547.9 - 552.1] 不管是现货期货都会迎来超级剧烈的震荡
[552.1 - 556.5] 也就意味着这些背后的不管是机构投资者还是散户
[556.5 - 558.6] 都会有巨大的亏损
[558.6 - 562.5] 好 那到这必须要跟大家补充另外一个非常重要的知识点
[562.5 - 566.2] 我们的官方从来没有说过去美元化
[566.2 - 570.6] 我们整体的思路其实要推进的是货币体系的多元化
[570.6 - 575.1] 也就是说不要对某一种单一的货币过度的依赖
