[0.0 - 4.6] 即10天前我们跟大家分享的关于全球最大的期货交易所智商所
[4.6 - 7.7] CME抢钱大战的第一期之后
[7.7 - 9.3] 今天给大家第二期
[9.3 - 11.9] 就在昨天智商所公布要在下个月推出
[11.9 - 14.5] 针对于单个股票的期货合约
[14.5 - 18.0] 覆盖50多个美国龙头股
[18.0 - 22.7] 这是CME历史上第一次推出针对于各股期货合约
[22.7 - 27.2] 以前只有针对于股指的期货以及各股的期权
[27.2 - 28.3] 好 那我们具体看一下
[28.3 - 30.5] 它这次推出的是以美国蓝筹股
[30.5 - 31.5] 像标普500啊
[31.5 - 32.3] 纳斯达克100啊
[32.3 - 33.2] 罗素1000
[33.2 - 33.9] 权重股
[33.9 - 35.5] 以及这些科技的龙头股
[35.5 - 36.3] 像英伟达啊
[36.3 - 36.9] spaceX啊
[36.9 - 38.1] 微软啊等等
[38.5 - 41.5] 以它们为标的的相关期货合约
[41.5 - 44.3] 并且是现金结算的期货合约
[44.3 - 45.3] 好具体是两种产品
[45.3 - 46.7] 第一个是标准合约
[46.7 - 47.5] 55份
[47.5 - 50.5] 那每张合约代表100股的标的股份
[50.5 - 52.1] 还有一种叫V型合约
[52.1 - 52.9] 22份
[52.9 - 55.5] 那每个代表的是10股的标的股份
[55.5 - 58.1] 那这一部分其实主要针对的就是那些明星股
[58.1 - 59.1] 价格比较高
[59.1 - 61.8] 目的就是希望能够降低交易的门槛
[61.8 - 63.6] 好 这儿有一个很重要的点了
[63.6 - 66.3] 就是所有的这些合约是现金结算
[66.3 - 69.1] 也就意味着不涉及到实物交割
[69.1 - 71.4] 所以这些交易是不能享受
[71.4 - 73.4] 比如说股东的投票权之类的
[73.4 - 75.5] 好 为什么CME要干这件事情
[75.9 - 77.3] 首先也是最直接的
[77.3 - 79.3] 就是填它产品线的空白
[79.3 - 81.9] 想吃掉这一部分的增量市场
[81.9 - 85.5] 第二 个股期货是可以在CME的glowbacks这个平台上
[85.5 - 87.9] 每周五天 每天20小时交易的
[87.9 - 90.7] 那为了满足这些跨时区的投资者
[90.7 - 92.3] 比如说亚洲的欧洲的
[92.5 - 95.2] 当美股出现了一些突发事情的时候
[95.7 - 96.4] 对冲需求
[96.6 - 99.3] 第三既然是期货也就有了更高的杠杆了
[99.7 - 103.5] 这样就可以让跨国的这些资本以及量化
[103.7 - 105.2] 释放更大的流动性
[105.2 - 107.3] 好 那我们知道如果在现货市场上
[107.3 - 108.4] 你想做空一个股票
[108.6 - 110.4] 你得向相关的券商去借券
[110.7 - 112.1] 首先有成本的问题
[112.3 - 113.9] 另外有可能没有券
[113.9 - 116.0] 那各股期货它是保证金交易
[116.0 - 118.4] 所以它也就没有借券的成本了
[118.4 - 119.7] 另外就是我们刚才前面说了
[119.7 - 121.2] 它要推出的微型合约
[121.2 - 123.0] 其实是很直接的降低了
[123.0 - 125.5] 对于散户和中小机构的门槛的
[125.5 - 127.6] 也就是说给了这一部分的参与者
[127.6 - 130.3] 更多的机会进入到高科技股中
[130.3 - 131.4] 好 那我们说说这件事情
[131.4 - 134.0] 对于其他的交易所相关的挑战
[134.5 - 136.1] 我们知道以前投资者
[136.1 - 138.5] 如果想在不买股票的时候
[138.5 - 141.2] 去对冲或者投机某一个股票
[141.3 - 143.9] 它的选择基本上就是个股期权了
[143.9 - 147.7] 而现在有了对于个股期货的这个合约
[147.7 - 151.1] 首先价格可以更加线性的针对于特定的股票
[151.1 - 154.8] 这也是比期权更简单成本更低的替代产品了
[154.8 - 158.1] 第二 由于它满足了23小时的交易
[158.1 - 161.5] 所以如果某个美股在盘前或者盘后
[161.5 - 163.4] 发布了重要的事件的时候
[163.4 - 166.0] 那么大量的资金就会涌入他们的
[166.0 - 168.1] 个股期货进行价格发现
[168.1 - 171.3] 那么这就会对于那些传统的交易所
[171.3 - 173.3] 盘后延长交易时间
[173.3 - 175.6] 进行很直接的资金分流了
[175.6 - 177.7] 第三 由于它不用借券
[177.7 - 181.7] 所以这在一定程度上也会影响那些传统的大券商
[181.7 - 185.1] 通过出借股票而获得的融券利息收入了
[185.1 - 186.9] 第四 对于亚太市场来说
[186.9 - 189.3] 其实就会在一定程度上去分流
[189.3 - 192.8] 潜在的液盘亚太时段的跨国资金了
[192.8 - 194.1] 好 第五 那我们知道
[194.1 - 197.8] 香港是亚洲各股期权最活跃的交易场所之一
[197.8 - 202.6] 不少投资者是喜欢通过港交所的相关衍生工具去参与全球
[202.6 - 205.0] 或者是说科技巨头的行情的
[205.0 - 207.0] 那CME推出的这个更简单
[207.0 - 209.2] 更标准化的杠杆工具
[209.2 - 212.8] 在一定程度上会抢夺香港衍生品市场中
[212.8 - 215.4] 那些高频套利的中高端客户的
[215.4 - 218.5] 另外虽然这一次CME上线的是美股
[218.5 - 220.8] 但我们知道国际的这些机构
[220.8 - 223.2] 在全球进行科技巨头的配置的时候
[223.2 - 226.8] 是习惯在美股科技巨头和其他科技巨头
[226.8 - 230.1] 比如说中国科技巨头之间去做配对交易
[230.1 - 237.8] CME这个产品的推出是有可能使得机构的投资者更倾向于在美股端去做个股期货交易的
[237.8 - 242.2] 在我来看这其实就是希望能够在一定程度上去影响香港在全球
[242.2 - 244.9] 尤其是亚太地区的金融中心地位
[244.9 - 249.7] 虽然CME这一次的行为不是说要直接抢夺港股标的交易量
[249.7 - 253.4] 但它其实是在全球衍生品的大的生态中
[253.4 - 258.7] 建了一个成本更低 交易时间更长 效率更高的紫金池
[258.7 - 261.5] 所以这对于港交所来说确实是个挑战
[261.5 - 266.2] 在我来看是需要在重要的金融衍生品工具上加速革新的
[266.2 - 269.9] 因为从上个视频到这个视频有可能还会有下一个视频
[269.9 - 271.9] 基本上已经看得非常清晰了
[271.9 - 276.4] 不仅是对于我们对于其他的一些重要资本市场金融市场一样的
[276.4 - 280.0] 都在面对美股全球化衍生品的侵蚀
[280.0 - 283.1] 所以如果不及时的去推出更有吸引力的产品的话
[283.1 - 287.3] 在未来是有可能要面对长期的被动的资金分流的
[287.3 - 288.9] 那如果在我来看的话
[288.9 - 290.3] 面对CME这种
[290.3 - 292.7] 我想把它形容成侵略性的创新
[292.7 - 296.3] 港交所其实不需要去硬碰硬
[296.3 - 297.3] 这些美股标的
[297.3 - 299.5] 而是可以借鉴它这种微型化
[299.5 - 300.7] 延长交易时间
[300.7 - 302.9] 并且提高效率的重要特点
[302.9 - 305.1] 反向应用到香港最具定价权的
[305.1 - 306.1] 像中概股
[306.1 - 308.7] 以及接下来的数字金融资产创新上
[308.7 - 310.5] 最后抢钱这个词
[310.5 - 311.1] 在我来看
[311.1 - 313.1] 就是当下以及接下来
[313.1 - 316.3] 美国在全球最真实的映射了
[316.3 - 319.0] 当然与之相伴的就是定价权的争夺了
[319.3 - 322.6] 这里边有石油有黄金有大宗商品
[322.6 - 325.0] 有资本市场以及货币市场
[325.0 - 327.2] 这其中有一些是我们可以捕捉到的
[327.2 - 330.6] 而有一些可能真的是在无声无息的过程中
[330.6 - 331.6] 加速推进的
[331.6 - 334.2] 比如说像加密货币以及稳定币
[334.2 - 337.8] 所以对于全球博弈中很重要的金融博弈这一环
