[0.0 - 5.5] 关注美联储接下来相关缩表事宜的朋友,这条视频要认真理解一下了。
[5.5 - 13.5] 这两天,纽约联储负责公开市场账户的这个老大有一段很重要的发言,他主要说了两件事。
[13.5 - 18.0] 第一,我们的准备金管理购买操作没有预设的路线。
[18.0 - 28.5] 第二,我们的这个交易台已经为要应对卧室所成立的美联储资产负债表工作组所有可能的任何变革。
[28.5 - 31.3] 好 有點拗口 我們帶著大家一點一點剝離
[31.3 - 35.6] 首先要認識什麼是紐聯儲的公開市場賬戶
[35.6 - 39.9] 英文SOMA System Open Market Account
[39.9 - 44.9] 你可以把它理解為是美聯儲的超級大錢包和操作的工具箱
[44.9 - 46.8] 它是整個聯儲系統的資產池
[46.8 - 51.7] 而具體操作就是由紐聯儲的公開市場交易臺來操盤的
[51.7 - 53.0] 那這裡頭都有什麼呢
[53.0 - 54.2] 首先美國的國債
[54.2 - 57.3] 再有就是抵押貸款支持證券MBS
[57.3 - 59.9] 加起来数万亿美元的资产
[59.9 - 62.5] 那美联储如果想调控市场上的流动性
[62.5 - 63.7] 不能只是靠嘴
[63.7 - 65.5] 还是得靠真金白银
[65.5 - 68.3] 那就是通过这个交易台去市场上
[68.3 - 70.3] 进行相关债券的买卖的
[70.3 - 71.9] 买国债就是注水
[71.9 - 74.7] 那卖国债或者是说到期不续做
[74.7 - 76.4] 就是收回美元的流动性
[76.4 - 76.6] 好
[76.6 - 79.9] 那这个佩尔利就是这个公开市场账户的
[79.9 - 81.2] 最直接的负责人了
[81.2 - 81.4] 好
[81.4 - 83.6] 那佩尔利的这段话说的什么意思呢
[83.6 - 85.1] 一句话总结的话
[85.1 - 87.9] 就是说现在他掌握的这个账户啊
[87.9 - 92.5] 正在更加灵活的去调整银行系统里的钱
[92.5 - 95.1] 目的呢就是防止市场突然缺钱
[95.1 - 97.3] 比如说发生2019年的钱荒
[97.3 - 98.3] 突然掉链子
[98.3 - 102.1] 与此同时向自己的老板卧食表明
[102.1 - 103.6] 我们会听老板的话的
[103.6 - 106.1] 配合他接下来有可能的
[106.1 - 108.9] 相关资产负债表的调整策略
[108.9 - 111.3] 我们知道从2025年11月
[111.3 - 113.9] 鲍威尔当时是结束了缩表
[113.9 - 118.7] 比較重要的其實就為了提前去應對今年四月份
[118.7 - 120.7] 美國每年的納稅季
[120.7 - 123.1] 那這個時候老百姓企業的錢
[123.1 - 126.9] 就會從自己的商業賬戶轉到財政部下
[126.9 - 129.7] 那這就導致銀行的準備金部分
[129.7 - 132.5] 在非常短的時間就會被集中的抽走
[132.5 - 135.7] 那如果銀行手裡的錢少或者是說有稀缺了
[135.7 - 137.5] 大家之間就開始借錢了
[137.5 - 139.9] 一借錢那短期利率就會飆升了
[139.9 - 141.5] 那為了防止這種事情發生
[141.5 - 144.9] 公開市場賬戶就從去年12月份開始
[144.9 - 147.1] 在市場上買入短期國債
[147.1 - 150.7] 那12月到4月 4月到5月 5月到6月
[150.9 - 154.1] 分別這三個階段是每個月400億美元
[154.1 - 155.7] 降到了250億美元
[155.7 - 157.4] 再降到了100億美元
[157.4 - 159.1] 那降到100億美元的時候
[159.1 - 162.5] 其實也就是臥時走馬上任的這個時間了
[162.5 - 164.2] 好 那這次佩爾利的發言
[164.2 - 166.3] 第一個意思要傳達的是
[166.4 - 168.2] 我們買多少國債
[168.2 - 169.2] 放多少水
[169.2 - 171.1] 不是有特別次的規定的
[171.1 - 172.9] 看市場的實際情況
[172.9 - 174.7] 如果缺錢我們就會放
[174.7 - 176.1] 而如果不缺的話
[176.1 - 177.3] 我們就不買了
[177.3 - 177.5] 好
[177.5 - 178.7] 那第二個意思就是
[178.7 - 179.9] 我的老闆臥實
[179.9 - 181.8] 他成立了一個接下來
[181.8 - 185.3] 專門要縮減美聯儲資產負債表的工作組
[185.3 - 187.5] 那我們這個交易臺已經做好準備了
[187.5 - 189.0] 上面什麼指示
[189.0 - 190.3] 我們就這麼執行
[190.3 - 190.5] 好
[190.5 - 193.1] 那這段話在這個當下釋放出來是什麼意思呢
[193.1 - 194.9] 首先就是安撫市場
[194.9 - 195.8] 讓市場明白
[195.8 - 199.4] 你們不用擔心接下來會出現流動性枯竭的問題
[199.4 - 201.4] 我呢作为负责人在这帮大家盯着呢
[201.4 - 203.5] 我是有一定的灵活性的
[203.5 - 205.8] 如果苗头不对我们就会买入的
[205.8 - 208.9] 所以这其实也是希望能够有助于
[208.9 - 211.4] 不管是股市还是债市的相关稳定
[211.4 - 214.2] 第二也跟大家提前打了预防针
[214.2 - 216.8] 就是未来的政策重心
[216.8 - 219.3] 就是按着卧室的思路去推进
[219.3 - 221.1] 卧室要的是精简聚焦
[221.1 - 222.7] 必须要对抗通胀
[222.7 - 225.5] 与此同时要重塑美元信用
[225.5 - 227.5] 也就是说要通过缩表
[227.5 - 229.3] 收回美元的流动性
[229.3 - 232.8] 雖然佩爾利的發言並沒有直接說出縮表二字
[232.8 - 235.7] 但在我來看就是為這件事情接下來的推薦
[235.7 - 237.5] 掃清障礙做足鋪點
[237.5 - 240.3] 起碼從去年12月份到現在
[240.3 - 244.4] 連續的這個減量已經是一個比較明顯的信號了
[244.4 - 246.9] 第二既然他說了是靈活性的
[246.9 - 248.9] 也就意味著他是想法
[248.9 - 253.3] 或者是說已經表明態度要把這個閥門的主動權
[253.3 - 254.1] 交給臥實
[254.1 - 257.6] 如果臥實的那個工作組經過相關的調研之後
[257.6 - 263.2] 認為這現在僅有的100億也可以往下再降
[263.2 - 264.0] 甚至到零
[264.0 - 265.6] 那他們就會照做的
[265.6 - 268.7] 在我來看當前這每個月100億的量
[268.7 - 271.2] 既是一種試探也是一種摸底
[271.2 - 274.8] 它在測試貨幣市場實際的真實的承受力
[274.8 - 278.5] 那逐漸摸清了銀行體系到底需要多少資金的時候
[278.5 - 281.0] 它在接下來制定真正的資產負債表變革
[281.0 - 285.2] 以及重啟縮表或者是說實質性縮表新階段
[285.2 - 288.0] 才能更加大胆以及可持续性
[288.0 - 290.2] 所以可能有不少朋友并没有注意到
