[0.0 - 3.8] 这两天关于加密资产和区块链有两件非常重要的事情
[3.8 - 7.2] 事情的主角分别是circle和swift的系统
[7.2 - 9.3] 这条视频来带着大家整体看一下
[9.3 - 12.8] 先看circle就是那家稳定币USDC的发行商
[12.8 - 16.8] 最新公布他们拿到了美国民信托银行的牌照
[16.8 - 21.1] 简单说就是circle获准成立一家正规联邦银行机构
[21.1 - 24.2] 我们知道以前一个用户买一个USDC
[24.2 - 29.0] circle就要在他的后台存一美元现金或者是说等值的美债
[29.0 - 30.8] 那这部分钱就是储备金
[30.8 - 32.8] 由于circle自己不是银行
[32.8 - 34.3] 它也旗下没有银行
[34.3 - 38.9] 所以这一部分的储备金就必须要存到相关第三方
[38.9 - 40.8] 传统的有牌照的银行下
[40.8 - 42.5] 那接下来这事就要变了
[42.5 - 46.0] 它旗下可以有国家级的信托银行了
[46.0 - 48.8] 也就是说它可以为自己的数字资产
[48.8 - 52.1] 提供联邦级的合规的存托业务了
[52.1 - 54.6] 当然这个牌照是信托银行的牌照
[54.6 - 57.8] 也就是说大家不能去他那存钱取钱贷款等等
[57.8 - 60.8] 它的核心功能就是帮大家管钱看护资产
[60.8 - 63.2] 好那这件事情之后会有哪些重要的影响呢
[63.2 - 69.0] 首先加密货币公司以前在传统的金融这个圈里就是一个野路子
[69.0 - 74.6] 那这一次是由美国联邦政府级的一级银行监管机构OCC给它发的牌照
[74.6 - 80.6] 那这其实也就意味着区块链技术融入美国主流金融体系又往前迈了关键一步
[80.6 - 84.8] 第二也是最现实的监管更明确了级别更高了
[84.8 - 87.2] 给它的发展空间也就更大了
[87.2 - 90.1] 第三那现在美国的不少跨国巨头
[90.1 - 91.7] 比如说像摩根大通这种
[91.7 - 94.8] 其实也是希望能够去尝试用稳定币
[94.8 - 96.4] 进行跨国支付结算
[96.4 - 97.8] 但是爱于合规
[97.8 - 99.3] 所以都不敢深度参与
[99.3 - 101.9] 那circle获得了这张联邦银行的牌照
[101.9 - 105.1] 也就有助于让这些华尔街的巨头们
[105.1 - 108.2] 更愿意或者是说更敢于去跟他们合作
[108.2 - 110.6] 那这其实也就会进一步的加速web3技术
[110.6 - 113.8] 在现实金融以及商业世界中的落地了
[113.8 - 116.0] 好 接下来我们再来看看关于SWIFT的系统
[116.0 - 121.0] 那这是掌握着全球非常重要的跨境转账支付的一个大总管
[121.0 - 124.8] 那这两天他正式宣布了接下来要推出区块链共享账本
[124.8 - 130.5] 并且要联合全球17家银行一起进入代币化存款的跨国试点阶段
[130.5 - 133.6] 那啥意思呢 白话跟大家稍微解释一下
[133.6 - 137.6] 我们知道你在银行的存款其实就是银行的负债
[137.6 - 142.7] 那代币化存款也就是说银行接下来要把你在银行的这些存款
[142.7 - 145.4] 可以在区块链上自由流动的代币
[145.4 - 149.0] 好 那现在的情况呢 是比如说汇丰 有汇丰的区块链
[149.3 - 154.8] 花旗有花旗的区块链 大家之间是不通的 那SWIFT的系统接下来它要推出的就是
[155.1 - 160.5] 共享账本 它不去替代原有的转账通道 而是承担一个翻译官的角色
[160.7 - 164.8] 他要做的就是把这些银行各自发的代币化存款串联在一起
[165.2 - 171.4] 让他们之间可以对话 好 那这么做之后的影响呢 首先就是24 x 365的
[171.4 - 173.2] 跨境秒急到账了
[173.2 - 173.8] 举个例子
[173.8 - 177.2] 比如说以前周五晚上要汇一笔跨国的钱
[177.2 - 178.3] 给海外的供应商
[178.3 - 180.9] 由于大部分的银行周六周日都休息
[180.9 - 183.9] 所以这钱很有可能周一甚至周二才能拿到
[183.9 - 186.6] 以后通过Swift的区块链账本
[186.6 - 190.0] 企业可以随时发起代币化的转账
[190.0 - 192.7] 也就是说这转账的效率大大提升了
[192.7 - 194.8] 第二像我们前面说的Circle
[194.8 - 196.3] 包括Tether这样的公司
[196.3 - 199.4] 这些年就是靠着他们24小时不打烊的
[199.4 - 203.9] 各种跨境转账疯狂蚕食了几千亿美元的跨境支付市场
[203.9 - 205.8] 对于传统银行看着着急
[205.8 - 207.5] 所以总得做点什么
[207.5 - 210.6] 现在Swift要带着全球的一些重要银行
[210.6 - 212.4] 搞自己的代币化存款
[212.4 - 213.8] 其实就是想跟市场说
[213.8 - 217.8] 你们可以先不考虑去买那些有风险的私人加密货币
[217.8 - 221.4] 把你们在正规银行里的存款转变为代币化存款之后
[221.4 - 224.4] 一样可以享受你们的相关需求
[224.4 - 226.6] 同时还有非常严格的监管
[226.6 - 230.1] 所以这其实也就是银行这种传统的正规军
[230.1 - 232.7] 在向稳定币打的自卫反击战
[232.7 - 234.2] 第三以前一提到区块链
[234.2 - 236.0] 很多人直接联系到的就是炒币
[236.0 - 237.5] 那这次swift系统做的事
[237.5 - 240.6] 其实就是想跟全球的这些重要的监管机构
[240.6 - 242.6] 和使用的用户们说
[242.6 - 246.0] 区块链其实是可以在不破坏现有的规则
[246.0 - 248.4] 现有的风控这个大框架下
[248.4 - 251.6] 去向现代金融的底层去融入的
[251.6 - 253.7] 好 前面两件事情分别跟大家说完
[253.7 - 256.0] 我们还是需要整体来思考一下的
[256.0 - 259.2] 那这两件事情几乎是在同一天对外宣布的
[259.2 - 260.8] 在我来看不是巧合
[260.8 - 262.6] 新的势力在向传统靠拢
[262.6 - 266.4] 而传统的这些巨头也在加速拥抱新的技术
[266.4 - 268.6] 好 那我说说我的一些思考和理解
[268.6 - 271.0] 第一 未来的恋商世界
[271.0 - 276.4] 这些资金是不是会有两种都合规的数字货币共同统治呢
[276.4 - 278.4] 一种像USDC的这种稳定力
[278.4 - 279.8] 更加灵活 曲中心化
[279.8 - 281.4] 那也更加适合散户
[281.4 - 286.5] 而swift的体系它拥有的是触及全球的庞大的金融网络
[286.5 - 289.8] 那它更加适合的是这些大的跨国银行跨国机构
[290.3 - 294.0] 动辄就是数以亿级的跨国贸易以及资金解算
[294.0 - 295.8] 用一个不是特别恰当的例子
[296.2 - 298.5] 就类似于你是选择用支付宝啊
[298.5 - 300.4] 还是选择用银行的APP啊
[300.4 - 302.9] 第二以前很多主流的金融家监管机构
[302.9 - 305.7] 把区块链是视为投机啊洗钱的工具
[305.7 - 308.8] 那现在呢不光是OCC把这个重要的牌照给了circle
[308.8 - 314.0] 而且Swift系统也开始拉上相关的银行推进或者是说拥抱区块链
[314.0 - 319.1] 那这其实也就意味着区块链不仅不再是独立于金融体系之外的法外之地
[319.1 - 324.0] 而且接下来要逐渐进入到整个金融体系的基础设施了
[324.0 - 327.8] 第三 现代金融的运作逻辑已然惊动Swift系统了
[327.8 - 332.7] 也就是说它必须要正视当下以及接下来越来越高效的跨境支付了
[332.7 - 337.2] 而Swift系统的实际行动其实从客观上也是帮了Web3一把
[337.2 - 341.4] 总之我们现在看到的就是金融的传统体系正在拥抱链上化
[341.4 - 344.2] 而链上的新世界正在加速和规划
[344.2 - 347.4] 互联网在30年前改变的是信息的流动方式
[347.4 - 351.2] 而这两件事情接下来要改变的是价值的流动方式
[351.2 - 353.5] 以前管钱靠的是人工靠的是制度
[353.5 - 357.1] 以后管钱靠的就是科技是网络是代码了
[357.1 - 359.0] 以前的钱是一种静态的数字
[359.0 - 363.6] 而以后的钱就是全天候的可以无边界流动的科技程序了
