[0.0 - 3.7] 就在昨天晚上,国际金融市场上发生了一件非常重要的事情,
[3.7 - 6.7] 就是美日联合干预日元汇率。
[6.7 - 13.4] 那行为极其罕见,是因为美国动用了在外汇市场上的核武器汇率检查。
[13.4 - 19.7] 汇率检查本质上就是央行或者财政部向外汇交易市场发出的真实询价。
[19.7 - 23.9] 那我们知道在日常的外汇交易中,银行之间的报价是时时流动的。
[23.9 - 28.0] 那一旦开启汇率检查,日本的央行或者是纽联储
[28.0 - 29.7] 就会直接打电话
[29.7 - 31.9] 给这些大型的外汇做市商
[31.9 - 33.2] 比如说像花旗啊
[33.2 - 34.3] 摩根大通等等
[34.3 - 35.7] 他会要求对方给出
[35.7 - 37.0] 在特定的规模
[37.0 - 38.1] 这个规模之下
[38.5 - 39.6] 买出本币
[39.6 - 40.8] 卖出美元
[40.8 - 42.7] 季期或者远期的
[42.7 - 43.4] 具体报价
[43.4 - 44.7] 而且央行的交易员
[44.7 - 46.0] 不会事先发公告
[46.0 - 48.5] 一切的行为都是突然发生的
[48.5 - 49.1] 举个例子
[49.1 - 51.4] 央行会突然拿起电话问交易员
[51.4 - 53.2] 现在如果我要是买入
[53.2 - 54.4] 100亿日元的话
[54.4 - 55.4] 你给我什么价格
[55.4 - 57.5] 那么交易员就必须在当下
[57.5 - 58.9] 给出真实的报价
[58.9 - 60.2] 那在汇率检查的阶段
[60.2 - 62.2] 央行是不会真实的去下单的
[62.2 - 64.9] 打完电话寻完价就把电话挂掉了
[64.9 - 67.0] 但这个威慑力是非常大的
[67.0 - 70.0] 接到电话的交易员马上就会意识到
[70.0 - 72.1] 很有可能他们要真的下场了
[72.1 - 74.6] 然后这个消息就会在非常短的时间
[74.6 - 76.8] 散布到全球的买回交易市场
[76.8 - 79.0] 好 为什么它有这么大的震慑力呢
[79.0 - 82.5] 第一 这是一个零成本的威慑效应
[82.5 - 84.8] 真正的时操干预是要花真金白银的
[84.8 - 87.3] 而汇率检查是不需要花一分钱的
[87.3 - 91.2] 但这个信号会在非常短的时间散布全球
[91.2 - 93.0] 那这种非常直接的强信号
[93.0 - 96.3] 往往可以在瞬间就打爆很大的空头
[96.3 - 99.8] 并且可以达到需要花数百亿资金
[99.8 - 100.8] 才能达到的效果
[100.8 - 102.8] 第二 汇率检查一旦开启
[102.8 - 106.5] 其实也就意味着官方准备好了资金账户了
[106.5 - 108.4] 他们已经完成了测试阶段
[108.4 - 113.2] 离卖美元买入相关的本币只差那最后一步
[113.2 - 115.2] 而且是有可能随时完成的
[115.2 - 116.9] 第三 昨天的事件说的是
[116.9 - 120.8] 美国户地当局完成了在干预阶段之前的
[120.8 - 121.8] 汇率检查
[121.8 - 125.6] 这个意义就比日本央行去做汇率检查
[125.6 - 126.8] 要大得多的多
[126.8 - 128.7] 因为美国从1995年以来
[128.7 - 131.6] 很少会直接去干预汇率市场
[131.6 - 133.6] 所以也就是说美方的汇率检查
[133.6 - 137.7] 几乎等于给联合干预这件事情做了背书
[137.7 - 141.4] 并且明确要让市场知道自己清晰的意图
[141.4 - 144.8] 好 那我们说回这几个小时的日元汇率飙升
[144.8 - 146.7] 那日方做了两件事情
[146.7 - 150.5] 第一就是在这一个阶段持续进行口头干预
[150.5 - 153.1] 他们的财务省是频繁发出强硬警告的
[153.1 - 155.7] 也就是跟市场说我随时就会下场
[155.7 - 158.0] 不要再空头大肆祈祷
[158.0 - 162.4] 另外就是具体实行了在市场上卖美元买入日元的行动
[162.4 - 166.8] 美国拿出来的就是在外汇市场上的金融核武器汇率检查了
[166.8 - 169.7] 所以我们看到这一次日元汇率的飙升
[169.7 - 173.6] 跟几个月前日本单独去干预外汇市场
[173.6 - 176.1] 所形成的效果是有巨大的差异的
[176.1 - 180.4] 好 这种联合干预在当下和接下来会产生哪些重要的影响呢
[180.4 - 183.6] 首先 日元在短期会强烈的反弹
[183.6 - 188.8] 在市场上一段时间已经积聚了大量的看空日元的杠杆资金
[188.8 - 194.0] 联合干预引发的跳水行情会在瞬间让空头触及它的止损线
[194.0 - 198.8] 清算引发的平仓潮会使得日元在短时间有一个非常显著的升值
[198.8 - 202.5] 第二 日本之前的单兵干预在非常短的时间有效果
[202.5 - 204.4] 但后来市场并不迈畅
[204.4 - 207.1] 如果加入了美联储美国财政部的背书
[207.1 - 209.5] 会让市场对于G7的货币干预
[209.5 - 211.0] 敬畏感明显提升
[211.0 - 214.0] 这样确实会在当下非常直接的遏制
[214.0 - 217.4] 市场上大肆做空日元的这些投机资金
[217.4 - 219.8] 第三也是比较现实的就是外汇干预
[219.8 - 223.9] 其实只能改变短期的供给和汇率的市场情绪
[223.9 - 227.7] 它是没有办法改变美日之间根本性的利差的
[227.7 - 231.6] 就是美联储的高利率和日本的低利率之间的利差
[231.6 - 236.7] 我们看到这一次的联合干预也是特别选择在昨天美联储一席会议之后
[236.7 - 239.2] 也就是维持利率不变之后
[239.2 - 243.5] 其实也是给这一次的联合干预提供了一些喘息的空间
[243.5 - 246.8] 因为如果美联储昨天加息了的话
[246.8 - 249.3] 今天就算是联合干预了
[249.3 - 251.8] 效果也是会大幅削减的
[251.8 - 254.3] 但我们知道如果美联储不降息
[254.3 - 256.9] 或者日本央行不提高利率的话
[256.9 - 258.4] 干预所带来的升值效果
[258.4 - 261.4] 会在接下来的一段时间被市场消化掉的
[261.6 - 262.7] 那这件事情发生之后
[262.7 - 264.6] 我们也看到美国财政部长贝森特
[264.6 - 266.4] 也是站出来明确表态
[266.4 - 268.0] 日元被严重低估
[268.0 - 269.8] 所以这其实也就是再一次的印证
[269.8 - 272.5] 美国是要求日元去进行升值的
[272.5 - 273.4] 好 除此之外
[273.4 - 276.8] 我们看到昨天韩国也是干预外汇市场了
[276.8 - 278.6] 卖美元 买韩元
[278.6 - 280.6] 但因为它不在G7货币体系中
[280.6 - 284.5] 所以一般不会有美韩之间对于汇率的联合干预
[284.5 - 286.2] 但因为我们看到日韩
[286.2 - 289.1] 昨天都在汇率上做了相应的行动
[289.1 - 291.2] 所以这其中大概率是有三方的协调
[291.2 - 293.5] 通过传导效应联合行动
[293.5 - 295.3] 最终实现相应的目标
[295.3 - 296.7] 好 最后我们要想一想的是
[296.7 - 299.9] 通过昨天晚上国际金融市场上的突发事件
[299.9 - 301.2] 在当下以及接下来
[301.2 - 302.7] 在国际金融市场上
[302.7 - 305.2] 尤其是外汇市场上的联动性
[305.2 - 307.2] 不确定性以及风险性
[307.2 - 308.7] 是在显著提升的
