[0.0 - 3.5] 老特昨天说他们准备接下来在霍尔木斯海峡收费
[3.9 - 7.6] 主要呢就是过往的这些船只啊你们得给我交点钱呐
[7.6 - 8.8] 我在这儿不容易啊
[8.8 - 10.7] 那其实相关收费的想法
[10.7 - 13.6] 他在两个多月前就有过一点点的透露了
[13.6 - 16.0] 只不过后边呢可能觉得不太合适
[16.0 - 18.2] 或者是说时机不太好
[18.2 - 19.6] 就不往下进行了
[19.6 - 22.4] 那当时在直播和视频中其实我都跟大家分享过
[22.4 - 25.0] 我觉得他是会有可能接下来收费的
[25.0 - 26.4] 但不是什么保护费
[26.4 - 29.9] 更重要的其实是过往船只的保险费
[29.9 - 33.8] 大家应该还记得他们又成立了再保险公司
[33.8 - 36.3] 而且这里边也是有巴菲特的支持的
[36.3 - 38.9] 那我们知道像这种海上的保险再保险
[38.9 - 43.0] 主要其实都是由英国的相关保险公司垄断的
[43.0 - 45.9] 所以对于美来说成立这个再保险公司
[45.9 - 49.9] 其实就是想借着这个机会把相关的业务
[49.9 - 51.9] 从英的手里抢过来
[51.9 - 54.5] 或者是说起码抢一大部分过来
[54.5 - 55.8] 不排除可以合作
[55.8 - 58.7] 那昨天老特说的这个要收20%
[59.0 - 60.0] 确实是个大嘴巴
[60.0 - 62.4] 或者你可以理解为又是像以前一样
[62.4 - 63.4] 想空手掏白狼
[63.7 - 66.0] 先抛出来一个非常高的数额
[66.2 - 67.0] 震惊一下市场
[67.4 - 69.9] 然后再看看中间值或者底线值
[69.9 - 70.9] 那我们给大家算一下
[70.9 - 71.8] 大家就理解了
[72.4 - 76.7] 一个vlcc如果从中东到亚洲
[77.3 - 79.1] 差不多40-45天
[79.5 - 80.9] 整个能赚多少钱呢
[81.3 - 85.1] 差不多也就是1500万美元到2000万美元
[85.1 - 87.5] 那我们就按照80美元每桶来计算
[87.5 - 90.3] 一个VLCC200万桶的原油
[90.3 - 93.7] 也就是说整个的货值差不多1.6亿美元
[93.7 - 97.0] 那他要收20%也就意味着3000多万美元
[97.4 - 100.9] 这比人家实际能赚的钱都差不多快一倍了
[100.9 - 102.5] 所以这个所谓的20%
[102.5 - 105.3] 你稍微算算数就知道是个拍脑子
[105.3 - 108.3] 他扔出来这20%美的相关部门
[108.3 - 110.0] 以及他在不管是中东啊
[110.0 - 111.9] 欧洲啊亚洲的相关盟友
[111.9 - 114.8] 到底知不知道他们有没有互相通气
[115.1 - 117.1] 在我来看是画一个大大的问号的
[117.1 - 118.4] 那至于最后会不会收
[118.4 - 120.0] 或者是说以什么样的形式收
[120.0 - 121.8] 这个事从现在看还不确定
[122.1 - 124.2] 但想从这个地方去赚钱
[124.2 - 126.3] 以及是长期的去赚钱
[126.6 - 129.1] 这个思路保特从一开始就是这么想的
[129.1 - 130.9] 当然如果我说的是如果
[130.9 - 134.2] 更现实的可能还是基于未来的保险
[134.2 - 137.3] 或者再保险去进行相关的费用的收取
[137.3 - 138.1] 因为那一部分呢
[138.1 - 140.6] 首先不违反相关的国际原则
[140.7 - 142.3] 另外就是所有的船
[142.3 - 144.5] 经过的这些船确实是有这个需求的
[144.5 - 147.4] 而如果真的以所谓的什么保护啊去收费
[147.4 - 148.8] 那肯定是招人骂的
[149.0 - 151.9] 另外就是如果人家不交钱你就走吗
[151.9 - 152.8] 这也不现实
[152.8 - 153.8] 另外就是他也没有说
[153.8 - 156.1] 接下来具体什么时候准备开始收
[156.1 - 158.5] 也就意味着这方案八字还没有一撇呢
[158.5 - 158.8] 好了
[158.8 - 160.9] 那他真的不知道这20%一收
[160.9 - 162.9] 这些船根本就赚不到钱吗
[163.3 - 165.4] 他天天算账怎么可能不知道呢
[165.4 - 167.1] 所以这就是个大嘴巴行为
[167.2 - 168.9] 就是抛出来看看市场的反应
[168.9 - 170.0] 看看大家的反应
[170.0 - 171.7] 然后再想想自己接下来
[171.7 - 173.2] 到底怎么能够更好的
[173.2 - 175.8] 在这个地方存出一套赚钱的方案
[175.8 - 177.4] 另外就是对于霍尔木斯海峡
[177.4 - 180.1] 明天美汇正式重启反封锁
[180.1 - 181.5] 那思路跟以前是一样的
[181.5 - 185.6] 只要你这个船跟E之间没有相关的业务
[185.6 - 186.6] 你就可以进出
[186.6 - 188.1] 那这个信息释放之后
[188.1 - 190.3] 国际原油价格就有一个比较明显的上涨了
[190.3 - 193.1] 这个跟我们前两天这个视频跟大家分享的
[193.1 - 194.6] 当前以及接下来市场
[194.6 - 196.4] 重点去关注的就是
[196.4 - 199.8] 霍尔木斯海峡是不是会被封锁的变量
[199.8 - 200.9] 基本上是一致的
[200.9 - 204.6] 那目前看现在油价暂时还在80到85美元每桶
[205.2 - 208.8] 没有再进一步往上 我理解市场可能也是在关注
[209.4 - 214.3] 南边的这条航线是不是真正的可以通行 当然不可能大规模
[214.7 - 218.8] 但有没有机会去通行 那这几天包括今天和明天
[219.3 - 225.5] 每对一的相关的打击 其实最核心的目的就是要直接的削弱一对于整个
[225.5 - 228.9] 霍爾木斯海峽相關的或者是說有可能的威脅
[228.9 - 232.3] 那如果接下來的一段時間能夠達到這個預期的目標
[232.3 - 235.5] 對於國際原油價格就會有比較好的控制了
[235.5 - 238.7] 但如果達不到不排除就有可能進一步的上漲了
[238.7 - 241.1] 那與此同時就會進一步的強化美元指數
[241.1 - 243.0] 並且進一步的壓制黃金了
