[0.0 - 4.7] 在北约开了会,老特此言一出,市场就又开始顺势收割了。
[4.7 - 8.1] 昨天在E打了三艘商船之后没有打了E,
[8.1 - 12.2] 那其实不管是油价还是金价,虽然有一些反应,
[12.2 - 14.1] 但相对来说还是比较可控的。
[14.1 - 18.2] 但在他非常直接的表明MOU已经终结,这句话之后,
[18.2 - 21.0] 原油和黄金就都开始做出大的反应了。
[21.0 - 24.9] 但别忘了昨天的真打,其实市场反应还并不强烈,
[24.9 - 28.3] 现在这只是他说,已经超预期的反应了。
[28.3 - 30.0] 而与此同时其实特也说了
[30.0 - 32.4] 至于接下来还要不要继续谈判
[32.4 - 34.9] 是维特夫和库什纳他们去决定
[34.9 - 36.8] 但市场已经不听了
[36.8 - 39.2] 也就是说其实市场一直在等待着这个机会
[39.2 - 42.3] 而这个机会就发生在美国国庆日之后
[42.3 - 45.8] 以及在世界北美被淘汰之后
[45.8 - 47.8] 所以似乎对于特来说
[47.8 - 49.8] 阶段性没有太多的压力了
[49.8 - 51.4] 那在我来看甚至不排除
[51.4 - 54.6] 早上黄金在一定阶段的抗跌
[54.6 - 56.2] 或许也是又多
[56.2 - 58.2] 那很早之前其实我们就跟大家分享过
[58.2 - 61.8] 对于美国际原油价格在80美元每桶上下
[61.8 - 63.6] 在他们来看基本就是可控的
[63.6 - 65.6] 所以现在掉到80以下
[65.6 - 67.7] 那老特就敢再大胆一些
[67.7 - 69.8] 如果接下来涨到80以上
[69.8 - 72.2] 不排除他又会稍微缓和一些
[72.2 - 73.3] 而在这个区间中
[73.3 - 75.9] 他们就可以相对安全的完成收割了
[75.9 - 77.7] 那大家可以看看特的这段发言
[77.7 - 80.5] 在我来看这才是他真正的想法
[80.5 - 83.6] 之前为了达成阶段性的MOU
[83.6 - 85.0] 不管是为了世界杯
[85.0 - 86.4] 不管是为了油价
[86.4 - 87.5] 不管是为了国庆
[87.5 - 89.1] 他可以说很多好听的话
[89.1 - 90.7] 但有的时候
[90.7 - 94.4] 真正的话只有在不经意间才会透露出来的
[94.4 - 96.7] 所以他们之间的矛盾能调和吗
[96.7 - 98.9] 在我来看基本上是不可能的
[98.9 - 100.4] 所以还是那两个问题
[100.4 - 102.0] 两个核心的东西不解决
[102.0 - 105.2] 这件事情是没有办法画上真正的句号的
[105.2 - 107.8] 当然后边可能突然又开始说好听的了
[107.8 - 109.8] 但一定是有目的的
[109.8 - 112.8] 任何脆弱的没有实质性支撑的
[112.8 - 114.6] 没有办法互信的
[114.6 - 116.7] 不管是MOU还是协议
[116.7 - 118.1] 都沒有實質意義
