[0.0 - 5.8] 上周五的这个视频跟大家分享,在我看来现在其实已经可以算是第六次中东战争了。
[5.8 - 9.1] 那今天我觉得事情可能不仅于此。
[9.1 - 14.6] 除了我们那个视频说的,其实中东的相关国家,像阿联酋啊、巴林啊、科威特啊,
[14.6 - 18.6] 已经跟伊朗之间有比较直接的军事冲突之外,
[18.6 - 21.7] 那这两天其实是有两个非常重要的新的信号的。
[21.7 - 26.2] 第一个就是前两天乌克兰打了一艘伊朗在理海的船。
[26.2 - 28.2] 伊朗说这是商传
[28.2 - 32.8] 但乌克兰坚持认为这里边是有相关武器运送给俄罗斯的
[32.8 - 36.0] 另外一个就是美参议院刚刚通过了一个程序性的投票
[36.0 - 37.8] 而且是大比例通过的
[37.8 - 42.2] 核心就是对俄对伊联合制裁
[42.2 - 46.6] 那这个法案的推动是前段时间刚刚去世的格雷欧姆
[46.6 - 49.8] 那他是对俄的问题非常强硬的
[49.8 - 51.6] 并且是支持乌克兰的
[51.6 - 55.6] 这个法案的核心就是第一对继续购买俄石油和天然气的
[55.6 - 59.4] 相关国家和地区要征收百分之百的二级关税
[59.4 - 62.4] 第二就是对于伊朗相关的制裁措施
[62.4 - 63.8] 要继续延长
[63.8 - 66.4] 那这个法案特也是非常积极的支持的
[66.4 - 69.6] 而且在两党中间是有非常强的共识的
[69.6 - 73.0] 所以大概率最后是会完整通过并且执行
[73.0 - 75.6] 那我想说的是前面这两个新的信号
[75.6 - 80.8] 就把本来相对来说比较单独存在的两场战争
[80.8 - 82.5] 就这么把它连接起来
[82.5 - 84.8] 而且有了非常显著的交集
[84.8 - 87.6] 所以也就是说从今天开始讨论俄巫的问题
[87.6 - 91.1] 讨论中东的问题就不能把他们完全分开了
[91.1 - 93.4] 而且我们也知道就在几个小时之前
[93.4 - 94.4] 美巫的领导人
[94.4 - 96.7] 美以的领导人分别都见了面
[96.9 - 102.0] 那美以就伊朗的核问题达成了进一步的共识
[102.0 - 106.7] 而且在过程中他们还讨论了关于亚伯拉罕协议的问题
[106.9 - 108.4] 那前几天我们也说了
[108.4 - 112.2] 美方是希望能够让沙特加入亚伯拉罕协议
[112.2 - 117.8] 从而让中东的进一步的更多的国家跟以色列关系正常化
[117.8 - 122.0] 那这样的话其实对于伊朗来说就有可能被进一步的孤立了
[122.0 - 125.6] 那美乌之间比较重要的一个进展就是美方同意了
[125.6 - 128.2] 接下来让乌方生产爱国者导弹
[128.2 - 132.2] 而泽连斯基也是见了美方比较重要的军火生产商的负责人
[132.2 - 137.0] 那也是在这两天欧盟准备对于1600多家公司进行相关的制裁
[137.0 - 139.2] 主要原因就是在他们来看这些公司
[139.2 - 142.2] 支持额去对乌进行袭击
[142.2 - 144.6] 除此之外我们也看几个其他比较重要的信息
[144.6 - 146.9] 第一就是昨天的视频我们也跟大家分享了
[146.9 - 149.2] 不管是6月份还是7月份
[149.2 - 150.6] 美联储一期会议之前
[150.6 - 153.2] 特都会做一些希望能够去对冲
[153.2 - 157.0] 美联储有可能加息的这个强烈的预期
[157.0 - 158.3] 那昨天的白天特就是说
[158.3 - 160.2] 哎呀 我们现在在积极的谈
[160.2 - 162.9] 很有可能会有一些比较好的信号出来
[162.9 - 165.0] 油价就应声下跌
[165.0 - 167.2] 而且几乎都到了80块钱了
[167.2 - 169.8] 而且前两天伊那边释放的信号也是
[169.8 - 173.6] 如果美方现在已经停止了对我们的相关袭击
[173.6 - 175.0] 那么我们也会停止
[175.4 - 178.2] 但这一次伊方选择了
[178.4 - 181.6] 主动的去打美在约旦的军事基地
[181.6 - 184.4] 那不排除伊方也是想在美联储一席会议之前
[184.4 - 186.9] 给老特上点眼药让他不舒服
[187.2 - 190.5] 所以大家也看到国际援油价格有了一定的上涨
[190.5 - 193.2] 所以大家就在看美是不是能够今天再忍一天
[193.2 - 195.6] 先把美联储的这个一席会议先过了
[195.6 - 196.9] 然后再进行回击
