[0.0 - 3.5] 今天我们海关总署公布了6月份的进出口数据
[3.5 - 5.0] 来带着大家具体看一下
[5.0 - 6.2] 我们先来看出口
[6.2 - 9.4] 6月份的出口同比大幅增长27%
[9.4 - 11.9] 这是这4个月以来的最大增幅
[11.9 - 15.4] 最重要的支撑就是高端制造和高新技术产品了
[15.4 - 16.1] 具体来看
[16.1 - 18.1] 6月份机电产品的出口
[18.1 - 19.8] 也就是跟去年的6月份相比
[19.8 - 22.1] 同比大幅增长34%
[22.1 - 23.9] 跟今年的5月份
[23.9 - 24.8] 也就是环比
[24.8 - 25.8] 也是在增长
[25.8 - 26.8] 增长8%
[26.8 - 30.3] 可以说机电产品的出口占了将近半个江山了
[30.3 - 35.1] 再具体看集成电路的出口金额再大幅增长
[35.1 - 36.5] 122%
[36.5 - 37.7] 这就不是简单的增长了
[37.7 - 39.1] 这是直接的翻倍了
[39.1 - 42.3] 可以说是整个出口里面最亮眼的成绩单
[42.3 - 42.9] 除此之外
[42.9 - 46.3] 高新技术产品出口金额同比增长52%
[46.7 - 50.5] 汽车出口同比大幅增长将近73%
[50.5 - 53.9] 另外还有一个大家平常都会比较关注的就是稀土
[53.9 - 56.8] 虽然量是有所减少的
[56.8 - 58.5] 同比下降34%
[58.5 - 61.3] 但出口的金额增幅超过100%
[61.3 - 64.9] 那得益于出口的单价飙升
[64.9 - 67.3] 同比增长320%
[67.3 - 70.1] 来到了每端1.26万美元
[70.1 - 72.1] 那前面这些其实主要的原因
[72.1 - 76.2] 首先就是受益于全球AI的狂飙浪潮了
[76.2 - 77.9] AI基础设施投资提速
[77.9 - 81.7] 带动对于半导体先进电子产品的最直接的需求
[81.7 - 83.3] 而芯片价格持续增长
[83.3 - 86.1] 也是出口强劲的核心驱动力
[86.1 - 89.4] 中国作为全球最大的电子信息制造基地
[89.4 - 92.5] 不管是服务器 芯片 数据处理设备
[92.5 - 94.2] 还有就是电光模组等等
[94.2 - 97.6] 伴随全球AI资本支出的急增而全面爆发
[97.6 - 100.3] 第二 在全球汽车制造的大铲链中
[100.3 - 103.6] 中国的汽车出口 尤其是新能源汽车出口
[103.6 - 105.4] 出口依旧是非常强劲的
[105.4 - 108.4] 这其实也就反映出国外的越来越多的国家
[108.4 - 110.9] 对于中国的汽车 尤其是新能源汽车
[110.9 - 113.0] 接受程度也是在不断提升的
[113.0 - 114.1] 第三稀土
[114.1 - 116.3] 雖然有一定的管控
[116.3 - 118.3] 雖然量是有所下降
[118.3 - 120.6] 但企業越來越賺錢了
[120.6 - 122.1] 也就是說稀土加工企業
[122.1 - 124.6] 以及他們的產出品的相關價值
[124.6 - 126.1] 是在不斷釋放中的
[126.1 - 127.5] 好 那這麼多的出口
[127.5 - 129.0] 都流向哪些國家呢
[129.0 - 130.9] 如果從金額來看
[130.9 - 132.5] 排在第一的是美國
[132.5 - 134.1] 434億美元
[134.1 - 136.1] 同比增長將近14%
[136.1 - 138.6] 好 那如果按照出口的增幅來看的話
[138.6 - 140.3] 對中國台灣地區
[140.3 - 142.1] 出口同比大幅增長
[142.1 - 143.7] 将近44%
[143.7 - 147.5] 对韩国出口同比增长将近43%
[147.5 - 151.1] 我们知道这些都是跟AI芯片半导体
[151.1 - 152.9] 整个产业链密切相关的
[152.9 - 155.2] 好 说完出口我们再来看一下进口
[155.2 - 158.9] 6月份的进口同比大幅增长36%
[158.9 - 162.2] 那首先就是源于对于高科技中间件的强劲需求了
[162.2 - 165.1] 从机电产品的进口金额就是最直接的反应
[165.1 - 167.4] 同比大幅增长47%
[167.4 - 171.3] 再有高新技术产品进口金额同比大幅增长57%
[171.3 - 173.8] 而且前面说的这几个环比
[173.8 - 175.5] 也就是跟前一个月相比
[175.5 - 176.9] 依旧是在增长中的
[176.9 - 179.5] 那这些其实都是非常直接的反映着国内
[179.5 - 182.5] AI算力建设以及智能硬件组装
[182.5 - 183.7] 在蓬勃发展中
[183.7 - 186.1] 进口大量的核心元件生产设备
[186.3 - 188.5] 再加上刚才前面我们跟大家分享的
[188.5 - 190.7] 在高端制造方面的加速出口
[190.7 - 192.2] 那这其实就是在高端制造
[192.2 - 194.9] 新制生产力产业链上的全新构建
[194.9 - 197.1] 好 那影响进口的另外一部分
[197.1 - 198.5] 就是能源和大宗了
[198.5 - 199.6] 好 先来看原由
[199.6 - 202.7] 6月份进口2927万吨
[202.7 - 204.4] 同比跟去年6月份相比
[204.4 - 206.7] 显著下降41%
[206.7 - 208.7] 那跟今年的5月份相比
[208.7 - 210.6] 也是在下降的11%
[210.6 - 212.9] 那2927万吨
[212.9 - 214.1] 整个一个月的话
[214.1 - 216.2] 差不多是2.14亿桶
[216.2 - 217.2] 也就是说差不多
[217.2 - 219.2] 715万桶每天
[219.2 - 222.2] 那这个数跟我们在正常状态下
[222.2 - 224.7] 进口1150万桶
[224.7 - 227.0] 是有着比较明显的缺口的
[227.0 - 228.6] 那这其实就是非常直接的
[228.6 - 230.4] 受当前中东事件的影响了
[230.8 - 234.0] 另外原油的进口金额是224亿美元
[234.0 - 235.1] 那这么算下来的话
