[0.0 - 3.3] 昨天卧室参加了他上任以来首次的听证会,
[3.3 - 6.7] 那这个是众议员金融服务委员会的听证会。
[6.7 - 10.1] 他发言的内容跟他之前的几次是一一贯之的,
[10.1 - 12.6] 而且整体的态度是很强硬的。
[12.6 - 17.0] 那大家都知道美国昨天的CPI和核心CPI都是相当不错的,
[17.0 - 19.0] 而且是完全超预期的。
[19.0 - 22.2] 就在这样的CPI下,卧室依旧说,
[22.2 - 25.1] 我们不能只看CPI中的好数据,
[25.1 - 27.0] 也就是要再一次的告诉大家,
[27.0 - 30.0] 对于高通胀是零容忍的
[30.0 - 32.2] 他在发言中再次宣告
[32.2 - 35.8] 接下来大家要面对的是美联储的体制变革
[35.8 - 40.2] 这个regime change也是他这几次发言都提到的关键词
[40.2 - 42.3] 与此同时毫不留情的批评鲍威尔
[42.3 - 45.7] 当时在2020年提出的平均通胀目标制
[45.7 - 47.6] 直言不讳的去抨击他的前辈
[47.6 - 49.5] 犯了一个巨大的经济错误
[49.5 - 52.2] 当然他也说了他非常高兴在他上任之前
[52.2 - 55.8] 鲍威尔就自己把自己的错误抛出来并且否定了
[55.8 - 58.2] 另外我们之前的这个视频跟大家分享过
[58.2 - 61.7] 他接下来要推出的五个专项工作组
[62.0 - 64.5] 并且在这个视频里也跟大家介绍了
[64.5 - 67.2] 这五个工作组15个领军人物
[67.2 - 68.8] 而基于这五个工作组
[68.8 - 71.6] 他说了他们现在主要是在做调研
[72.0 - 75.0] 但也说了在过去的这六周
[75.2 - 78.3] 美联储从思想上在发生改变
[78.3 - 79.6] 所以这其实也就意味着
[79.6 - 82.0] 面对这五个新成立的工作组
[82.0 - 85.6] 那美联储内部的这些人是必须接手
[85.6 - 87.9] 而且已经在陆续接受了
[87.9 - 89.5] 另外他还提到一点说
[89.7 - 93.0] 他更关注是小数点左边的
[93.0 - 96.4] 而不需要过度纠结小数点右边的
[96.4 - 97.7] 多一点还是少一点
[97.7 - 100.2] 那我理解通胀现在是3点几
[100.2 - 103.2] 不管怎么样他也要把它拽回到2点几
[103.2 - 105.0] 好那通过这次的听众会
[105.0 - 106.8] 卧室想达到哪些目的呢
[107.0 - 108.4] 首先也是最重要的
[108.4 - 110.8] 就是重申美联储的独立性
[110.8 - 112.3] 他其实就是想跟大家说
[112.3 - 115.0] 我知道你们可能很多人都觉得我是特的提羡慕
[115.0 - 117.3] 但对于我要做的事情
[117.3 - 119.1] 我自己心里很清楚
[119.1 - 121.7] 从2008年的时候我就已经很清楚
[121.7 - 125.5] 并且我的相关态度已经跟特有了非常清晰的沟通了
[125.5 - 127.3] 你们不要猜来猜去
[127.3 - 129.6] 第二就是要重塑美联储的通胀信誉了
[129.6 - 135.0] 过去五年美联储的信誉由于这高通胀受了非常大的伤害
[135.0 - 137.8] 卧食通过斗胆直接的批评前辈
[137.8 - 141.6] 其实是希望能够建立自己一定的鹰派形象
[141.6 - 145.6] 好 那在这必须要说的是这个应不是简单的针对于降不降息
[145.6 - 148.9] 而是要树立自己的强硬果断的形象
[148.9 - 152.9] 第三 再次明确说了 接下来要减少发布声明
[152.9 - 157.4] 也就是再次告诉市场 你们要忠于数据
[157.4 - 159.0] 我也是忠于数据
[159.0 - 162.2] 而且不要想像以前那样有点什么事儿
[162.2 - 163.8] 就觉得美联储会来兜底
[163.8 - 166.1] 那这就是我们之前多次跟大家说的
[166.1 - 169.4] 未来就是会有越来越多的不确定性的
[169.4 - 172.3] 第四对于资产负债表要把它缩减
[172.3 - 174.2] 这件事情不会有太大意外了
[174.2 - 176.9] 因为昨天卧室特别提及了一点
[176.9 - 180.0] 未来如果我们要对资产负债表调整的话
[180.0 - 183.8] 我们一定会提前跟市场做充分的沟通的
[183.8 - 186.6] 那这其实就是提前再给市场打预防针
[186.6 - 188.2] 并且再做预期管理
[188.2 - 190.9] 那前两天纽约联储公开市场账户
[190.9 - 194.2] 主要的负责人佩尔利的发言其实也印证了这一点
[194.2 - 197.4] 那我们知道美联储从去年的12月到今年的4月
[197.4 - 199.7] 4月到5月 5月到6月
[199.7 - 205.2] 购买美国国债每个月从400亿美元降到200亿美元
[205.2 - 207.1] 再降到现在的100亿美元
[207.1 - 210.1] 所以大家能看到量确实是在缩减的
[210.1 - 211.6] 那佩尔利也说
[211.6 - 215.8] 接下来我们对于相关国债的购买是灵活的
[215.8 - 218.8] 也就意味着如果市场真的需要钱
[218.8 - 219.6] 我们就会买
[219.6 - 221.4] 而如果不需要钱了
[221.4 - 222.7] 我们就会减少
[222.7 - 224.0] 甚至可以降为零
