[0.0 - 4.0] 今天A股会迎来几个交易新规,带着大家来捋一下。
[4.0 - 7.0] 第一,盘后固定价格交易全面覆盖。
[7.0 - 12.0] 那以前只有像科创版、创业版才可以在3点之后继续交易。
[12.0 - 17.0] 那今天互生的主板、北交所以及ETF基金也都纳入了。
[17.0 - 19.0] 时间是从3点05到3点半。
[19.0 - 25.0] 那3点到3点05这5分钟,你可以理解为系统在做相关的清算以及准备工作。
[25.0 - 29.0] 在这5分钟期间,你就可以开始申报了,按照时间优先的原则进行排队。
[29.0 - 31.8] 那这5分钟期间是不会有成交的
[31.8 - 32.8] 也不能撤单
[32.8 - 36.0] 那15.05开始整个系统就会切换到
[36.0 - 38.2] 盘后固定价格交易模式了
[38.2 - 40.5] 也就意味着在白天的时候是价格优先
[40.5 - 41.4] 时间优先
[41.4 - 44.8] 那之后的这25分钟价格都一样了
[44.8 - 46.6] 其实就是看谁速度快了
[46.6 - 47.7] 所以在白天的时候
[47.7 - 50.6] 比如有人可能一下甩出几千万的买单
[50.6 - 52.2] 这股价一下就涨停了
[52.2 - 56.2] 但这25分钟你只能按照一个固定的价格
[56.2 - 58.8] 所以这图线就是直线了
[58.8 - 61.6] 所以大家想一想是不是对于大的机构大的资金
[61.6 - 64.0] 就更倾向于在这个时间段去调仓呢
[64.4 - 66.7] 因为他们买卖几百万股
[66.8 - 68.6] 但完全不会惊动市场
[68.6 - 70.1] 另外对于散户来说
[70.1 - 70.8] 大家想一想
[71.0 - 74.0] 比如在之前的收盘前的那几分钟
[74.0 - 75.8] 突然有一个大的利好
[75.8 - 77.1] 或者是说利空
[77.1 - 79.5] 那不排除这股价有可能瞬间
[79.7 - 80.8] 涨停或者跌停
[81.2 - 83.9] 那你想买买不到想卖卖不掉
[83.9 - 85.3] 那如果有了这个新规
[85.3 - 89.2] 在后边就有机会可以挂单进行买卖
[89.2 - 92.0] 如果有大量的卖出或者买入的话
[92.0 - 93.2] 就是新的机会
[93.2 - 94.0] 所以这个新规呢
[94.0 - 97.1] 可以在一定程度上去解决以前的一个乱象
[97.1 - 99.1] 就是在收盘之前的那几分钟
[99.1 - 100.7] 巨量的资金涌入
[100.7 - 102.0] 拉盘或者砸盘
[102.0 - 104.0] 而散户可能就莫名其妙的
[104.0 - 105.7] 会踩来或者踏空
[105.7 - 107.3] 如此一来大盘的尾盘
[107.3 - 109.6] 其实就会比以前更为平稳了
[109.6 - 111.8] 好那选择在3点半结束
[111.8 - 114.4] 我们知道港股收盘是4点的时间
[114.4 - 118.4] 那这半个小时的时间其实可以给投资A股的国际长线资金
[118.4 - 121.4] 北上资金结算和调整的时间
[121.4 - 124.6] 那其实就有利于让这些主权财富基金
[124.6 - 127.6] 大的跨国基金在买A股的时候
[127.6 - 129.0] 感觉更丝滑一些
[129.0 - 132.4] 这样也有助于吸引更多的海外长线资金
[132.4 - 133.2] 好 第二个新规
[133.2 - 137.4] ST股的涨跌幅从5%调到10%了
[137.4 - 140.1] 那这风险其实比以前就更大了
[140.1 - 142.3] 以前一个ST股要跌停
[142.3 - 143.7] 可能要跌个好几天
[143.7 - 145.9] 现在两三天就跌到位了
[145.9 - 148.8] 当然如果炒起来比以前也速度更快
[148.8 - 149.6] 效率更高
[149.6 - 151.5] 可能有些人会觉得也更刺激
[151.5 - 153.1] 在我理解做这件事情的目的
[153.1 - 154.9] 要统一我们主板的规则
[154.9 - 157.6] 另外就是别让这5%的限制
[157.6 - 161.8] 拉长了一些垃圾股的退市或者重组的周期
[161.8 - 162.4] 第三
[162.4 - 165.0] ETF收盘也改为集合竞价了
[165.0 - 167.4] 那以前在收盘前的三分钟
[167.4 - 168.6] 其实是连续交易的
[168.6 - 170.7] 那之后就是跟股票一样
[170.7 - 172.6] 都是收盘前的集合竞价了
[172.6 - 178.4] 那这个其实也是可以比较有效的去防止一些大的资金在最后的那一两秒
[178.7 - 182.9] 通过速度或者是说资金的体量去操纵价格
[182.9 - 187.6] 所以以后啊 基金的收盘价就会更平稳 也更难被操纵
[188.2 - 192.2] 这也是对于机民一个直接的利号了 好 那最后整体总结一下
[192.6 - 195.3] 首先以后大盘的盘尾会更稳了
[195.7 - 198.4] 市场的这种异常的波动会明显减少
[198.4 - 202.9] 第二就是建议大家不要盲目的去一些垃圾股里想逃金了
[202.9 - 206.4] 以前5%现在一天就可以跌掉10%
[206.4 - 209.2] 那这其实也是希望能够进一步的引导资金
[209.2 - 211.8] 去好公司里去发现价值
[211.8 - 214.0] 第三那这一次的这些调整
[214.0 - 217.4] 其实就是把大家现在看的这些不同的锁
[217.4 - 220.0] 里边一些好用的规则 虎同有物
[220.0 - 222.2] 也让我们A股的底层逻辑啊
[222.2 - 224.4] 逐渐的去趋于统一
[224.4 - 226.6] 那这条视频加上前面那条视频
[226.6 - 230.2] 关于接下来上市公司再融资规则的完善
[230.2 - 233.6] 一方面是在读我们当前市场规则中的一些漏洞
[233.6 - 238.7] 另外一方面就是在当下以及接下来国际金融博弈不断加速的大背景之下
[238.7 - 242.6] 更有效的去吸引国内以及国外的更多的资金
