[0.0 - 2.6] 新的美联储主席凱文沃什的工作效率
[2.6 - 4.5] 可以用快马加编来形容了
[4.5 - 6.7] 那之前在6月18号的那个视频
[6.7 - 9.3] 我们跟大家分享过他作为新的美联储主席
[9.3 - 11.5] 在一席会议首秀上的发言
[11.5 - 15.3] 其中跟大家着重介绍了他要成立五个特别工作组
[15.3 - 18.3] 审查美联储的货币政策运行机制
[18.3 - 22.2] 这两天这五个工作组的分别主要负责人名单
[22.2 - 23.2] 就正式公布了
[23.2 - 26.3] 每个工作组分别由三名联席主席共同领导
[26.3 - 27.7] 在今年年底之前
[27.7 - 32.1] 他们要向FO,MC提交相关的审查以及改革建议
[32.1 - 34.5] 那这条视频带着大家来认识一下这15个人
[34.5 - 36.7] 第一通胀框架工作组
[36.7 - 39.3] 那他们的主要工作就是要全面重审当时鲍威尔
[39.3 - 43.1] 在2020年通过的灵活平均通胀目标制
[43.1 - 44.9] 虽然后来鲍威尔自己也说了
[44.9 - 46.5] 哎呀这个呀不是特别合适
[46.5 - 49.3] 但现在这件事情还是要重新审查
[49.3 - 53.2] 同时这个组要探索交付物价稳定的新的方法
[53.2 - 55.4] 这个组的第一个主席曼昆
[55.4 - 57.4] 就是那个非常著名的经济学家
[57.4 - 58.9] 哈佛大学的教授
[58.9 - 60.9] 经济学原理的著作人
[60.9 - 63.5] 那他以前是任小布什政府任期
[63.5 - 65.7] 总统经济顾问委员会的主席
[65.7 - 66.8] 而就在这个时间
[66.8 - 68.1] 卧室的职业轨迹
[68.1 - 70.4] 也从华尔街跃升到了白宫
[70.4 - 71.1] 在这段时间
[71.1 - 74.7] 卧室被小布什提名进入美联储任理事
[74.7 - 76.0] 当年只有35岁
[76.0 - 79.5] 而就在今年当卧室被提名为美联储主席的时候
[79.5 - 81.7] 曼昆曾亲自公开表示
[81.7 - 83.6] 我们俩已经认识超过20年了
[83.6 - 86.2] 我期待他成为央行杰出的领导者
[86.2 - 88.2] 可见两个人的私交是非常深的
[88.2 - 92.2] 而这个工作组是现在美联储最关注的通胀问题
[92.2 - 94.6] 所以大家看看卧食其实也是非常精明的
[94.6 - 98.6] 请来这样一位大咖在这个组里去支持他给他作证
[98.6 - 102.4] 其实也是希望能够获得更多的支持并且减少压力
[102.4 - 105.2] 好 接下来这个组的第二个主席托马斯.萨金特
[105.2 - 107.8] 2011年诺贝尔经济学奖的得主
[107.8 - 109.8] 理性预期学派的态度
[109.8 - 112.8] 他跟卧食的重要交集就是在斯坦福的胡佛研究所了
[112.8 - 115.1] 双方经常一起探讨货币政策的局限性
[115.1 - 117.1] 以及理性预期框架的演变
[117.1 - 118.8] 好 第三个主席威廉·怀特
[118.8 - 122.3] 他是国际清算银行BIS前首席经济顾问
[122.3 - 124.5] 他也是少数的在2008年之前
[124.5 - 128.1] 就明确警告过全球资产泡沫的重要学者
[128.1 - 131.4] 所以他跟卧食其实是在理念上高度契合的
[131.4 - 134.8] 好 接下来第二大资产负债表政策工作组
[134.8 - 137.3] 顾名思义这个组重点审查的就是
[137.3 - 140.9] 现在美联储6.7万亿美元的资产负债表了
[140.9 - 144.3] 当然还有就是充足准备金的这个框架
[144.3 - 146.2] 好 第一个主席拉粘
[146.2 - 148.1] 这是印度前央行行长
[148.1 - 152.0] 那他也是国际货币基金组织IMF的首席经济学家
[152.0 - 153.9] 那他出名最重要的一个原因就是
[153.9 - 157.3] 当时在2005年在格林斯班的一次年会上
[157.3 - 159.9] 准确预言了接下来的次贷危机
[159.9 - 161.3] 那他跟卧食两个人
[161.3 - 165.3] 共同的都是长期批判美联储过度的量化宽松的
[165.3 - 167.6] 而且当初卧食离开美联储之后
[167.6 - 171.0] 两个人在很多重要的支库其实都是有交集的
[171.0 - 172.9] 好 第二个主席 Jeremy Stein
[172.9 - 175.2] 那他是哈佛大学的经济学教授
[175.2 - 177.8] 而且也是之前美联储的理事
[177.8 - 181.9] 而且正是卧食当初离开之后的继任者
[181.9 - 185.4] 他俩不仅是共有着哈佛大学的学术渊源
[185.4 - 190.3] 而且两个人在如何能够更好地去优化美联储的资产负债表
[190.3 - 192.4] 以及去防范金融风险方面
[192.4 - 194.1] 都是有着很多的共识的
[194.1 - 196.1] 好 第三个主席凯伦代南
[196.1 - 198.3] 也是哈佛大学的经济学教授
[198.3 - 200.7] 那戴南曾经在美联储理事会
[200.7 - 204.7] 1992年到2009年工作了将近20年
[204.7 - 207.7] 而且他跟卧室也是有时间上的交集的
[207.7 - 209.7] 而08-09年那个时间
[209.7 - 213.3] 卧室通过的很多救世方案以及宏观研判
[213.3 - 217.1] 那背后的那些核心数据支撑以及政策分析
[217.1 - 220.9] 其实都是由戴南所在的顶级幕僚团队所提供的
[220.9 - 221.7] 除此之外
[221.7 - 224.3] 是在哈佛大学攻读经济学博士的时候
[224.3 - 227.6] 他的论文的导师就是前面那位提及的曼昆
[227.6 - 230.8] 所以这样一看两个人的交集是不是就更多维度了
[230.8 - 234.5] 好接下来第三大是生产率与就业工作组
[234.5 - 238.0] 那这个工作组重点研究的就是像AI等新技术革命
[238.0 - 240.2] 对于美国生产率提振劳动力市场
[240.2 - 242.8] 以及潜在经济产出的重要影响
[242.8 - 244.9] 第一个主席马克安德森
[244.9 - 247.9] 他是硅谷非常知名的风险投资家
[247.9 - 249.5] 那比较了解风投的朋友应该知道
[249.5 - 252.4] 他是顶级风投A16Z的联合创始人
[252.4 - 254.8] 他跟沃什相识于斯坦福大学
[254.8 - 258.3] 那沃什也说过他们两个是在大学时候的好朋友
[258.3 - 260.6] 另外就是沃什当初离开美联储之后
[260.6 - 263.4] 凭借着跟安德森等人的非常重要的关系
[263.4 - 265.9] 开始涉足硅谷的风头圈了
[265.9 - 267.5] 而且还一起进行投资
[267.5 - 269.6] 所以两个人最坚实的基石
[269.6 - 271.8] 就是他们跨越几十年的私交了
[271.8 - 273.7] 好 第二个主席查尔斯·琼斯
[273.7 - 275.7] 他是斯坦福大学的经济学教授
[275.7 - 279.1] 也是全球经济增长与生产率研究的重要学者
[279.1 - 280.5] 他跟沃什的重要交集
[280.5 - 282.8] 也就是胡佛研究所的学术圈层了
[282.8 - 284.7] 另外还有一件事情非常值得注意
[284.7 - 287.2] 琼斯近期从斯坦福尔请假了
[287.2 - 290.2] 去了那家非常著名的AI公司Anthropic
[290.2 - 292.2] 他在那的主要职责就是要研究AI
[292.2 - 296.3] 对于经济长期增长以及生产率的深远影响
[296.3 - 300.7] 并且要评估AI有可能要带来的潜在经济与生存风险
[300.7 - 302.6] 那卧室把他请来到这个工作组
[302.6 - 305.7] 其实也就反映出这个组不仅是只重视研究
[305.7 - 310.2] 而且是有着非常直接的现实工具与数据支撑的
[310.2 - 312.0] 好 第三个主席 阿莎夏尔玛
[312.0 - 314.2] 她是微软的执行副总裁
[314.2 - 316.6] 与此同时她是XBOX的首席执行官
[316.6 - 319.2] 那卧室看重她的就是一方面
[319.2 - 321.6] 她有前沿AI技术的落地经验
[321.6 - 324.6] 另外就是大型科技巨头的管理一线经验
[324.6 - 326.4] 而值得注意的是就在7月初
[326.4 - 329.6] 夏尔玛刚刚在微软内部推动了一项
[329.6 - 332.0] XBOX历史上最重要的重组
[332.0 - 334.2] 为了扁平化管理提高生产率
[334.2 - 337.2] XBOX接下来准备才3200人
[337.2 - 338.6] 所以其实对于卧室来说
[338.6 - 342.5] 这样一个微观企业又是一个重组中的微观企业
[342.5 - 346.1] 其实正好是他宏观审视的一个很好的样本
[346.1 - 349.1] 技术与效率革命如何重塑就业结构
[349.1 - 351.7] 算是一个比较现实的当下的案例了
[351.7 - 354.7] 好 接下来第四大 沟通机制工作组
[354.7 - 358.5] 他要审查的就是大家非常关注的美联储的前瞻指引
[358.5 - 360.4] 经济预测摘要 像点阵图
[360.4 - 362.9] 以及接下来的美联储沟通方式
[362.9 - 365.5] 那之前在这个视频中我们就跟大家分享过
[365.5 - 368.9] 卧室比较早选出来的主席莫文金
[368.9 - 370.8] 他是英国前央行行长
[370.8 - 373.6] 那个时候正好卧室是美联储的理事
[373.6 - 375.9] 在08年当时危机最严峻的时候
[375.9 - 379.0] 他们两个人作为英美分别的重要人物
[379.0 - 383.3] 多次一起参与了像G7 G20 BIS的闭门关键会议
[383.3 - 385.0] 其实可以算是深厚的战友了
[385.0 - 388.5] 另外就是莫文金在推动央行沟通透明化
[388.5 - 390.3] 以及通胀目标制方面
[390.3 - 392.6] 在全球也算是鼻祖性的人物了
[392.6 - 394.4] 好 第二个主席Peter Fisher
[394.4 - 396.4] 他是华盛顿大学的教授
[396.4 - 398.9] 也是美国财政部之前的重要高官
[398.9 - 403.3] 另外就是他之前也是长期担任着纽约联储的高级官员
[403.3 - 407.4] 他直接负责管理美联储至关重要的系统公开市场账户
[407.4 - 411.2] 那这其实也就意味着菲舍尔是在当年代表美联储
[411.2 - 415.6] 在一线指挥市场操作关系到重要流动性的操盘手
[415.6 - 417.9] 好 第三个主席阿米尼奥弗拉加
[417.9 - 420.0] 他是巴西前央行行长
[420.0 - 424.1] 他以捍卫央行的独立性而在全球闻名
[424.1 - 427.9] 那这个人在2000年前后任巴西央行行长的时候
[427.9 - 430.2] 是成功的引入了通胀目标制
[430.2 - 432.4] 以及非常透明的沟通机制的
[432.4 - 434.6] 而借此把巴西从恶性通胀
[434.6 - 437.1] 以及货币危机的边缘上拉了回来
[437.1 - 440.7] 那卧实请他应该也就是希望能够去借鉴他
[440.7 - 444.0] 在央行沟通机制改革方面的重要经验了
[444.0 - 446.6] 除此之外这个佛拉加也曾任职过
[446.6 - 448.9] 索罗斯量子基金的常务董事
[448.9 - 450.2] 而离开央行之后
[450.2 - 453.0] 他也自己创办了知名的资产管理公司
[453.0 - 455.8] 索罗斯的量子基金还跟谁有连接呢
[455.8 - 457.6] 就是财政部长贝森特了
[457.6 - 460.8] 所以这个人既有非常深厚的宏观经济学底蕴
[460.8 - 462.9] 还有一线的对冲基金经验
[462.9 - 465.1] 技术学术又在央行当过一把手
[465.1 - 467.3] 同时还懂真正的市场
[467.3 - 469.6] 所以他的到来可以在很大程度上
[469.6 - 470.9] 在这一块的工作
[470.9 - 475.1] 让卧室的工作组回避不接地气的那些宏观模型
[475.1 - 477.5] 当然他的加入卧室也是动了心思的
[477.5 - 479.8] 他会向外界传递一个非常重要的信号
[479.8 - 481.8] 就是你看我请来的这个人
[481.8 - 484.4] 是央行独立性的坚定捍卫者
[484.4 - 486.7] 在这方面我们的理念是高度一致的
[486.7 - 489.0] 所以那些之前对我的质疑者
[489.0 - 490.4] 你们得相信我
[490.4 - 492.4] 所以这其实也就进一步的反映出
[492.4 - 493.7] 不管是谁当总统
[493.7 - 496.6] 不管两派两党会有多大的争执
[496.6 - 499.1] 在维护美联储独立性这件事情上
[499.1 - 500.8] 当然你也可以把它解读为
[500.8 - 502.8] 所谓的独立性这件事情上
[502.8 - 504.6] 他们是有高度的共识的
[504.6 - 506.6] 因为一旦这个东西被打破了
[506.6 - 508.9] 他们的两个非常重要的目标
[508.9 - 510.9] 第一 全球货币政策的灯塔
[510.9 - 513.5] 第二 预期管理就不会再存在了
[513.5 - 515.8] 好 最后数据质量工作组
[515.8 - 517.8] 那这个组重点审查的就是
[517.8 - 521.5] 美联储当前所依赖的那些很质厚的经济指标
[521.5 - 524.0] 并且要引入的是更具时效性的民间
[524.0 - 525.4] 以及商业大数据
[525.4 - 528.5] 而且也要用AI新技术的融合
[528.5 - 530.1] 第一个主席麦克米伦
[530.1 - 532.4] 这是沃尔玛的前CEO
[532.4 - 534.1] 这是个零售大亨了
[534.1 - 536.3] 在他管理下的沃尔玛供应链数据
[536.3 - 539.3] 是整个美国非常重要的消费情维表
[539.3 - 543.4] 那沃什在摩根斯丹利以及在之後金融界的任職期間
[543.4 - 545.2] 跟他是有長期的私交的
[545.2 - 549.4] 沃什也是一向提倡美聯儲不能只看政府之後的數據統計
[549.4 - 553.9] 要多聽聽像麥克米倫這種來自實體商業一線的聲音
[553.9 - 557.7] 就像沃什說的如果想了解真實的通脹和消費的真相
[557.7 - 560.0] 就問問沃爾瑪的這位CEO就行了
[560.0 - 563.9] 比政府之後公佈的修正數據要真實的多
[563.9 - 567.9] 所以請他來肯定也是希望能夠幫美聯儲接下來接入真正的
[567.9 - 570.5] 更具有时效性的商业大数据
[570.5 - 572.3] 好 第二个主席拉杰切蒂
[572.3 - 573.9] 那他是哈佛大学的教授
[573.9 - 575.5] 那他之所以被大家认识
[575.5 - 577.9] 就是他利用数以十亿计的
[577.9 - 580.0] 匿名的行政和商业数据
[580.0 - 581.9] 来追踪美国家庭和社区
[581.9 - 583.7] 真实的经济流动性
[583.7 - 586.1] 而且沃什在很早就公开赞扬过
[586.1 - 587.5] 他在替代性数据
[587.5 - 589.7] 实时数据方面的开创性研究
[589.7 - 590.9] 两个人的交集
[590.9 - 593.2] 其实是比较典型的实用主义了
[593.2 - 594.3] 所以沃什请他进来
[594.3 - 595.8] 肯定也是希望能够让他
[595.8 - 597.7] 帮美联储一起去建立一套
[597.7 - 600.0] 更接近于社会普通层
[600.0 - 602.9] 更具有时效性的新型宏观监测工具
[602.9 - 604.9] 好 第三个主席凯文默菲
[604.9 - 607.1] 这是芝加哥大学的经济学教授
[607.1 - 610.6] 他在劳动经济学微观价格理论方面是非常有名的
[610.6 - 612.3] 那我们知道卧食的货币政策理念
[612.3 - 614.7] 其实是深受芝加哥学派的影响的
[614.7 - 616.2] 比如强调市场效率
[616.2 - 617.8] 反对过度干预
[617.8 - 620.0] 而且注重微观价格信号等等
[620.0 - 621.4] 那我们知道对于卧食来说
[621.4 - 623.1] 他接下来要引入大数据
[623.1 - 626.5] 但他担心的就是也把杂音引进来了
[626.5 - 630.2] 而莫菲呢他是全球非常著名的數據拆解大師
[630.2 - 632.4] 所以把他請進來肯定也是希望啊
[632.4 - 635.5] 接下來的相關數據分析不會跑偏
[635.5 - 639.1] 即是在學術方面給接下來的這個工作組進行壓倉
[639.1 - 641.9] 也是為了去確保啊接下來的大數據應用
[641.9 - 644.5] 能夠貼合微觀價格機制的邏輯
[644.5 - 646.9] 好那以上就是這15個人的重點介紹了
[646.9 - 648.4] 我們最後整體總結一下
[648.4 - 649.9] 那華爾街的分析是說
[649.9 - 651.8] 這一次啊15個人的選拔
[651.8 - 654.9] 雖然偏離了美聯儲傳統的建制派教條
[654.9 - 659.1] 但由于他们每个人在各自领域其实都是有着很高的声望的
[659.5 - 661.2] 所以华尔街不得不重视
[661.2 - 663.5] 既有跨国前央行的掌门人
[663.5 - 665.3] 也有市场一线的操盘手
[665.3 - 667.4] 而且其中有不少都是经历过
[667.4 - 671.0] 并且有着应对2008年次贷危机的实战经验的
[671.0 - 673.2] 除此之外还有诺奖级的学术态度
[673.2 - 675.5] 以及顶尖院校的经济学家们
[675.5 - 678.5] 再有就是硅谷以及商业一线的巨头们了
[678.5 - 679.6] 不知道大家还记不记得
[679.6 - 682.1] 卧实在竞选和上台支出的时候
[682.1 - 683.4] 就曾喊出过
[683.4 - 685.4] 委联署要regime change
[685.4 - 687.4] 其实当时在整个体制内外
[687.4 - 689.8] 是引起非常强烈的关注的
[689.8 - 692.6] 但从现在选择这15个人来看
[692.6 - 693.9] 他并没有开玩笑
[693.9 - 695.0] 卧食非常精明
[695.0 - 695.8] 他非常清楚
[695.8 - 698.1] 单靠自己想实现这一目标
[698.1 - 699.1] 是根本不可能的
[699.1 - 702.0] 所以请来这些在学术上实战上
[702.0 - 703.0] 经验丰富的
[703.0 - 704.5] 而且地位很高的人
[704.5 - 705.2] 来帮他作证
[705.2 - 706.0] 其实就是
[706.0 - 708.5] 一方面要通过严谨的研究
[708.5 - 710.8] 另外一方面要通过实战的经验
[710.8 - 717.8] 向FOMC接下来提交一份让他们既不能忽视也可能很难拒绝的改革路线图
[717.8 - 723.7] 在我来看这好像是想用超建制派的实力来推进反建制派的改革
[723.7 - 728.4] 好 那在推进这五个工作组的同时也是会有非常显著的挑战的
[728.4 - 733.4] 这里边又有风头的 又有商业的 所以最现实的就是利益冲突了
[733.4 - 737.8] 他们的论证方向会不会更倾向于自己所希望的
[737.8 - 740.2] 并且能够对自己有利的那个方向呢
[740.2 - 742.2] 第二就是学术内耗了
[742.2 - 744.2] 这么多经济学界的大佬
[744.2 - 745.6] 谁没有点个性呢
[745.6 - 747.1] 最终提交报告的时候
[747.1 - 750.6] 是不是五个工作组是有非常强的共识呢
[750.6 - 753.1] 第三 我们知道美联储系统内部
[753.1 - 756.3] 也是有着非常优秀的经济学家团队
[756.3 - 758.7] 现在卧室这个做法非常显然的就是
[758.7 - 761.1] 要另开一条线去推进工作
[761.1 - 765.3] 而且这个工作还是要审查之前内部的相关工作的
[765.3 - 767.3] 这会不会引来抵触情绪呢
[767.3 - 770.2] 就要看卧石的政治手段和他的平衡數了
[770.2 - 772.1] 總之這五大改革工作組
[772.1 - 774.6] 十五個重要人物名單這麼快的出爐
[774.6 - 777.3] 確實能看出卧石新官上任這三把火
[777.3 - 778.7] 還是燒得挺快的
[778.7 - 780.9] 他希望能夠利用這一次機會
[780.9 - 784.0] 通過這十五個跟自己在相關理念上
[784.0 - 785.3] 有高度契合的人
[785.3 - 786.5] 通過他們的專業性
[786.5 - 788.8] 以及自己在各自領域的重要影響
[788.8 - 791.2] 對美聯儲之前這二十年
[791.2 - 793.4] 在卧石來看的各種不堪
[793.4 - 795.0] 進行系統性的改革
[795.0 - 796.8] 那他們在今年年底之前
[796.8 - 798.1] 是要交出答卷的
[798.1 - 799.3] 那他们要做的是
[799.3 - 802.3] 如何在不引发金融市场系统性
[802.3 - 804.1] 紊乱的这个重要前提之下
[804.1 - 805.4] 把全新的机制
[805.4 - 807.4] 赋予美联储接下来的运行
[807.4 - 808.2] 那在我理解
[808.2 - 809.6] 这对全球金融市场
[809.6 - 811.5] 会产生非常深刻的影响的
[811.5 - 812.6] 而在这个过程中
[812.6 - 814.7] 由于各种不确定性的增加
[814.9 - 817.2] 波动也会比之前更为剧烈的
