[0.1 - 4.1] 今天潘行长在香港固定收益及货币峰会上做了发言,
[4.1 - 7.1] 那这条视频来带着大家看看其中的重要内容。
[7.1 - 10.1] 那发言整体是聚焦四个重点的方向,
[10.1 - 13.1] 支持香港国际金融中心地位去展开的。
[13.1 - 15.1] 第一,深化互联互通。
[15.1 - 20.1] 首先明确了要把债券通、南向通的投资净额度
[20.1 - 23.1] 从现在的5000亿提升到8000亿。
[23.1 - 29.1] 那这最直接的目的其实就是希望能够进一步的去释放境内资金出海投资的需求。
[29.1 - 34.1] 那我们知道内地和海外其实是存在着利差以及资产配置的多元化需求的
[34.1 - 40.3] 那这笔新增的额度其实就可以更直接的转化为在香港债市的购买力了
[40.3 - 42.7] 为香港提供长期稳定的资金流
[42.7 - 45.1] 从而繁荣香港的固收市场
[45.1 - 52.3] 第二明确表示了国家的外汇储备会在将来继续提高在香港的资产配置比例
[52.3 - 57.9] 那大家知道我们国家的外汇储备如果从规模上来看的话是全球第一的
[57.9 - 61.4] 所以他的一举一动受全世界的重点关注
[61.4 - 66.1] 这一次明确了接下来在外汇储备方面会继续加码香港
[66.1 - 70.3] 其实也就是给全球释放一个非常重要的信号
[70.3 - 74.1] 这其实就是我们的最高官方要用真金白银
[74.1 - 79.2] 为香港的国际金融中心地位继续提升在作备书
[79.2 - 82.3] 基于此也就希望能够引导更多的主权财富基金
[82.3 - 86.6] 大的跨国基金把长线资金留住在香港
[86.6 - 90.9] 第三 把南向通债券纳入回购支持范围
[90.9 - 93.8] 要拓展到港币人民币债券产品
[93.8 - 95.9] 并且进一步的要辐射到澳门
[95.9 - 98.9] 那我们知道如果一个债券只能持有到期
[98.9 - 101.9] 那它的金融价值其实就不足够灵活了
[101.9 - 103.4] 允许这些债券回购
[103.4 - 106.0] 其实也就意味着金融机构可以把手里有的
[106.0 - 108.2] 南向通债券质押出去
[108.2 - 110.6] 从而换回更多的现金流动性
[110.6 - 114.5] 基于此南向通债券就从简单的一个投资品
[114.5 - 117.4] 逐渐变为流动性管理工具了
[117.4 - 120.9] 大家想想这样的话是不是机构们就更愿意去买卖它
[120.9 - 122.2] 并且拿着它了呢
[122.2 - 124.4] 那至于要拓展到澳门
[124.4 - 128.8] 我理解就是在进一步的推动粤港澳大湾区金融一体化
[128.8 - 129.9] 好 第二大点
[129.9 - 132.6] 要打造多元化的金融体系
[132.6 - 134.6] 其中第一点也是非常重要的一点
[134.6 - 137.0] 就是我们在7月4号的视频跟大家分享过的
[137.0 - 142.2] 不久之后香港就要推出五年期的人民币国债期货了
[142.2 - 145.3] 那国际大型的金融机构持有一个国家的债券
[145.3 - 147.8] 最担心的就是不能对冲
[147.8 - 150.5] 以前境外的这些投资者买了人民币国债之后
[150.5 - 155.2] 确实是缺乏非常高效的利率衍生品对冲工具的
