[0.0 - 5.5] 周末了一起烧脑一下,跟大家分享一个对于我们金融市场离岸发展的大事件。
[5.5 - 10.8] 港交所要推出五年期的中国国债期货,是以人民币计价以及结算的。
[10.8 - 16.0] 那面值呢是50万元,是现在我们内地中金所同类产品的一半。
[16.0 - 23.0] 与此同时它采用的是现金结算的方式,也就是说到期的时候投资者不用真的去交割实物国债纸张。
[23.0 - 28.6] 到这儿肯定会有朋友说,这是个新事吗?香港现在没有我们的国债期货吗?
[28.6 - 30.1] 哎 确实是个新事
[30.1 - 32.4] 以前在离岸市场上确实没有
[32.4 - 35.9] 真正落地并且长期运营的中国国债期货
[35.9 - 37.7] 那港交所在2017年的时候
[37.7 - 41.3] 是推出过5年期国债期货的短暂尝试的
[41.3 - 42.7] 但当时有几个现实的问题
[42.7 - 46.8] 第一 海外投资者参与内地债市的规模还不够大
[46.8 - 50.6] 第二 没有办法直接去使用内地权威的结算数据
[50.6 - 53.6] 第三 两地监管机制有比较大的差异
[53.6 - 56.2] 所以最后这个产品运营了一段时间
[56.2 - 57.8] 发现了就是流动性不足
[57.8 - 59.1] 然后就搁置了
[59.1 - 63.6] 当下境外机构持有我们银行间持有债券的总量3万亿
[63.6 - 65.7] 其中国债差不多2万亿
[65.7 - 67.2] 当规模逐渐上来以后
[67.2 - 72.0] 对于境外投资者就更需要一个更为便利的离岸利率对冲工具了
[72.0 - 74.5] 还有一件事就是在今年4月份之前
[74.5 - 78.4] 外资是不能参与我们境内的国债期货交易的
[78.4 - 79.7] 在今年4月份的时候
[79.7 - 82.6] 证监会宣布了允许QFE参与国债期货交易
[82.6 - 84.8] 但仅限于套期保值
[84.8 - 87.1] 也就是说对冲现货风险
[87.1 - 88.4] 不能进行投机
[88.4 - 91.4] 我们知道QFY这个资质的门槛是很高的
[91.4 - 92.8] 所以通过债券通
[92.8 - 96.4] 在香港直接买债的那些海外中小机构
[96.4 - 97.6] 很难拿到这个身份
[97.6 - 101.1] 所以也就没有办法进入内地的期货市场了
[101.1 - 102.4] 好 接下来我们说说
[102.4 - 104.8] 香港这一次在国债期货上往前迈了一步
[104.8 - 106.0] 有哪些重要的特点
[106.0 - 109.3] 第一也是最重要的就是官方数据持牌上岗
[109.3 - 111.7] 以前两地数据是不通的
[111.7 - 115.0] 这一次是中债登下面的中债估值中心
[115.0 - 117.3] 直接给港交所进行授权
[117.3 - 120.5] 那么这就意味着接下来香港的这个债券期货
[120.5 - 123.8] 直接锚定的就是内地最核心的债市价格了
[123.8 - 126.9] 那么对于海外机构来说信任度大幅提升
[126.9 - 129.9] 第二那以前主要是香港单方面去推进的
[129.9 - 131.4] 这一次中国证监会
[131.4 - 134.2] 中国人民银行香港证监会联合推动
[134.2 - 137.4] 所以这其实就是国家层面的顶层设计了
[137.4 - 140.2] 第三以前主要是内地的机构参与
[140.2 - 144.1] 那现在其实面对的就是更直接的境外投资者
[144.1 - 146.7] 那这样就会更符合这些外资的交易习惯
[146.7 - 148.7] 比如说不需要在内地开户
[148.7 - 151.0] 资本的流动更加自由等等
[151.0 - 152.2] 好 接下来我们再说说
[152.2 - 155.6] 在当下要推出这件事情的一些重要目的
[155.6 - 156.8] 第一 刚才前面说了
[156.8 - 159.3] 这几年海外投资者通过债券通
[159.3 - 161.1] 买了更多的我们的国债
[161.1 - 164.0] 那债券的价格是随利率进行波动的
[164.0 - 165.8] 以前这些外资买了我们的国债
[165.8 - 167.9] 遇到了比较显著的利率波动
[167.9 - 170.6] 是比较难在境外去做对冲的
