[0.0 - 3.2] 前段时间,新加坡星展银行DBS正式宣布
[3.2 - 6.4] 要在今年的下半年推出代币化黄金。
[6.4 - 13.1] 这件事情应该算是传统大型银行向零售用户去普及RWA代币的一个标志性事件。
[13.1 - 15.0] 好,我们先稍微具体了解一下。
[15.0 - 20.8] 首先,这是一个物理代币黄金,也就是说是百分之百实物资产进行背书。
[20.8 - 26.4] 每个代币代表一颗黄金,这些黄金是存放在星展银行专门的金库中的。
[26.4 - 29.2] 第二,这个产品直接面向的是零售端的用户。
[29.2 - 33.7] 大家在DBS的DG Bank手机APP上就可以直接操作
[33.7 - 35.8] 第三 起头门槛一下就降低了
[35.8 - 39.9] 以前如果买15黄金 动辄就是上千美元
[39.9 - 41.8] 现在买一克就行
[41.8 - 44.3] 第四 因为它依托的是区块链技术
[44.3 - 47.2] 所以全天候交易24小时再现
[47.2 - 49.9] 并且不用等T加1 T加2的清算周期
[49.9 - 51.5] 可以实现秒级结算
[51.5 - 53.1] 第五 DBS明确了
[53.1 - 55.7] 实现的是全天候双向兑换
[55.7 - 58.5] 也就是说可以用你的代币跟银行
[58.5 - 61.4] 去对相应的实物金条并且拿走
[61.4 - 64.4] 当然是需要达到银行标准金条的规格的
[64.4 - 65.7] 关于代币化黄金
[65.7 - 67.1] DBS肯定不是第一个了
[67.1 - 68.6] 在很早之前这个视频
[68.6 - 69.5] 我们就跟大家分享过
[69.5 - 71.9] 当时Tether推出的XAUT
[71.9 - 73.8] 我们知道Tether买了好多黄金
[73.8 - 75.7] 如果按照实物规模计算的话
[75.7 - 77.8] 现在差不多是132吨
[77.8 - 81.9] 那这个数是主权国家和央行之外
[81.9 - 84.4] 全球最大的私人黄金持有者
[84.4 - 85.9] 那它推出的XAUT
[85.9 - 89.8] 其实是由它存放在瑞士金库的实物黄金
[89.8 - 91.9] 去提供100%的准备金的
[91.9 - 92.8] 好 除此之外
[92.8 - 95.3] 像汇丰银行是在2023年底
[95.3 - 99.1] 在香港为机构客户也推出了代币化黄金
[99.1 - 99.9] 到2024年的时候
[99.9 - 102.8] 把这一部分业务开放给了香港的零售投资者
[102.8 - 105.0] 再有就是在今年的4月份的时候
[105.0 - 106.3] 新加坡的华侨银行
[106.3 - 109.0] 其实是推出了代币化黄金基金的
[109.0 - 110.8] 但这一部分产品主要针对的
[110.8 - 112.3] 还是高净值的用户
[112.3 - 113.5] 以及机构客户
[113.5 - 114.5] 好 那我们来说说
[114.5 - 119.4] 为什么这一次DBS推出的这个代币化黄金是有历史意义的呢
[119.4 - 122.1] 首先受传统银行体系的监管
[122.5 - 124.6] 第二银行直接成队
[124.6 - 128.3] 像汇丰银行的产品就不能支持兑换实物金条了
[128.3 - 131.0] 那像XAOT虽然它也支持兑换
[131.0 - 132.3] 但门槛非常高
[132.3 - 137.0] 通常是要一盎司或者是说一根大金条以上才可以
[137.0 - 138.1] 难度比较大
[138.1 - 139.1] 另外在购买方面
[139.1 - 143.0] 刚才我们说了在银行的手机APP上就可以操作
[143.0 - 145.6] 那XAUT是要用加密货币的
[145.6 - 148.0] 再有就是DBS推出的代币化黄金
[148.0 - 151.4] 其实是用的银行内部自己的区块链系统
[151.4 - 155.0] 目前是不与外部的去中心化金融直接互通的
[155.0 - 158.0] 而XAUT是运行在以太坊的公链上的
[158.0 - 159.7] 它是可以拿去质押借贷
[159.7 - 162.5] 或者作为去中心化金融的底层资产的
[162.5 - 165.6] 好 那我们说说为什么DBS要推出代币化黄金
[166.3 - 169.7] 首先就是满足更多散户的投资需求了
[169.7 - 172.2] 以前投资实物黄金门槛高
[172.2 - 174.4] 而买基金又拿不到黄金
[174.4 - 176.0] 现在门槛大大降低了
[176.0 - 177.2] 对于银行来说
[177.2 - 179.7] 就把从富人到普通人
[179.7 - 182.4] 在黄金投资上的需求
[182.4 - 186.2] 以及资金转化为银行端的新业务了
[186.2 - 187.4] 第二在新加坡
[187.4 - 190.7] 现在数字资产和代币化相关的竞争
[190.7 - 192.0] 已经非常激烈了
[192.0 - 192.8] 刚才前面说了
[192.8 - 194.2] 今年上半年华侨银行
[194.2 - 196.8] 已经推出了代币化黄金的基金
[196.8 - 198.1] 已经占先机了
