[0.0 - 5.0] 前天,美打了1,国际原油价格上涨,而且涨了5%-6%。
[5.0 - 13.0] 那昨天美又打了1,而且不光是打了之前的那几个重要的港,像阿巴斯港以及科什姆岛。
[13.0 - 17.0] 还打了1国内在北部的两个非常重要的铁路桥。
[17.0 - 22.0] 除此之外,还打了哈尔科岛,就是那个1最核心的石油出口种地。
[22.0 - 27.0] 而打了这么多之后,国际原油价格不仅没有上涨,现在竟然还在下跌。
[27.0 - 29.0] 那我能理解的原因就是
[29.0 - 30.0] 其实市场一直在等
[30.0 - 32.0] 因为昨天一有相关方说
[32.0 - 34.0] 如果美再打一的话
[34.0 - 37.0] 那么他们就要封霍尔姆斯海峡了
[37.0 - 40.0] 但是到目前为止没有封海峡
[40.0 - 41.0] 所以对于市场来说
[41.0 - 43.0] 或者说对于资本来说就是这么现实
[43.0 - 44.0] 你们打你们的
[44.0 - 47.0] 你们想怎么打你们就怎么打
[47.0 - 48.0] 只要不封霍尔姆斯海峡
[48.0 - 50.0] 估计原油价格就不会受影响
[50.0 - 52.0] 所以我们就可以继续让它下降
[52.0 - 55.0] 那这其实就是反映出资本的残酷了
[55.0 - 56.0] 另外一方面我们想一想
[56.0 - 59.6] 方面我们想一想如果接下来就是按照这种模式去推进的话
[59.6 - 61.6] 只要美看到一不会再封海峡
[61.6 - 63.6] 他就可以时不时的再过去打一下
[63.6 - 66.3] 重点打击的对象就是一的军事设施
[66.3 - 71.0] 尤其是有可能会影响到霍尔摩斯海峡通航的这些军事设施了
[71.0 - 73.0] 而昨天美还打了一的桥梁
[73.0 - 75.0] 这件事情是让我有一些意外的
[75.0 - 78.0] 也就是说美对于一还是有着更远期的目标的
[78.0 - 79.5] 那只要一不封海峡
[79.5 - 83.3] 美的试探或者是说越界就会不断的往前推进的
[83.3 - 87.7] 只要国际原油价格能够基本控制在80美元每桶上下
[87.7 - 90.5] 那对于美来说胆子就会比之前大的
[90.5 - 93.7] 那从一开始我们就说这个MOU本身就是非常脆弱的
[93.7 - 96.3] 而且没有任何的实际法律约束力
[96.3 - 99.3] 那从现在来看而且昨天特也说了在他的角度
[99.3 - 101.1] MOU其实已经失效了
[101.1 - 103.5] 所以MOU本身其实已经不是重点了
[103.5 - 106.1] 接下来最重要的那个变量就是
[106.1 - 108.7] 一会不会再一次封锁霍尔木斯海峡
[108.7 - 110.9] 而已经被高度控盘的国际原油价格
[110.9 - 114.1] 也就会更为现实地去盯紧这件事情了
