[0.0 - 4.0] 最近这段时间,全球AI资本市场的发展让我有一丝不安。
[4.0 - 7.0] 当然,源头就是美国AI资本市场的发展。
[7.0 - 10.0] 这段时间,有件事情不知道朋友们有没有关注到。
[10.0 - 16.0] 英伟达联合贝莱德、黑石、阿波罗高盛、KKR以及博峰六大华尔街顶级的金融机构,
[16.0 - 20.0] 宣布要共同搭建一个独立的计算融资平台。
[20.0 - 22.0] 为什么要做这件事情呢?
[22.0 - 26.0] 首先,也是最直接的,就是资本瓶颈已经开始显现了。
[26.0 - 29.0] 随着大模型训练和推力需求激增
[29.0 - 32.6] 那AI数据中心建设成本也越来越高
[32.6 - 35.8] 不管是初创的企业还是云计算的服务商
[35.8 - 38.0] 甚至一些大型的科技公司
[38.0 - 40.8] 自己的资产负债表压力越来越大
[40.8 - 42.4] 第二对于英伟达来说
[42.4 - 44.2] 如果下游的这些企业
[44.2 - 48.2] 不能持续的拿出现金去买他的GPU的话
[48.2 - 51.6] 那么英伟达自身高增长的故事也就会受阻了
[51.6 - 54.4] 第三华尔街手里有非常多的
[54.4 - 57.4] 长期私人信贷以及保险的资金
[57.4 - 60.8] 在当前以及接下来AI科技的浪潮中
[60.8 - 64.4] 也希望能够利用自己手里的资金分一杯羹
[64.4 - 67.9] 好 他们这6加1宣布在未来的这几年
[67.9 - 72.0] 要动用并撬动5000亿美元的相关资金
[72.0 - 73.4] 好 从表面上来看
[73.4 - 78.5] 是希望能够帮助在整个英伟达的AI生态内的企业
[78.5 - 81.1] 不用过度的消耗自己的资产负债表
[81.1 - 83.3] 就能够通过按揭购买的方式
[83.3 - 86.5] 或者是说租赁的方式获得英伟达的GPU
[86.5 - 89.4] 另外就是为全球AI基础设施建设
[89.4 - 91.1] 以及数据中心建设
[91.1 - 93.4] 铺平这关键的数学管道
[93.4 - 94.9] 以此避免AI产业
[94.9 - 96.9] 因为资金的不充足
[96.9 - 98.7] 甚至脱节导致的失速
[98.7 - 101.1] 好 接下来我们再往深看一看
[101.1 - 104.7] 其实GPU应该是一种电子消耗品
[104.7 - 106.5] 但现在英伟达要做的事情
[106.5 - 110.0] 似乎是想通过这六个重要的金融机构
[110.0 - 112.2] 向整个全球的金融界
[112.2 - 113.8] 去树立一个新的共识
[113.8 - 114.6] 也就是说
[114.8 - 117.6] 它的GPU不是简单的电子消耗品
[117.6 - 119.2] 而是要把它重新定义
[119.2 - 120.7] 或者是说打造为一种
[120.7 - 122.6] 类似于像高速公路
[122.8 - 123.3] 电网
[123.3 - 124.6] 甚至房地产一样
[124.6 - 127.6] 可以产生长期持续现金流的
[127.9 - 129.5] 硬通货基础设施
[129.5 - 130.0] 第二
[130.1 - 132.2] 英伟达想通过金融手段
[132.2 - 134.3] 给自己的客户去开杠杆
[134.5 - 135.7] 让这些企业
[135.7 - 137.7] 即便没有充足的现金流
[137.7 - 140.2] 也能够通过借钱买自己的芯片
[140.2 - 144.0] 这样就锁定了英伟达的长期的业绩增长
[144.0 - 147.7] 这其实就是在搭建循环融资的AI生态
[147.7 - 149.5] 好 英伟达在这次的合作里
[149.5 - 151.3] 在资金方面扮演什么的角色呢
[151.3 - 154.2] 他不直接去提供相关的融资行为
[154.2 - 155.2] 而是根据评估
[155.2 - 160.8] 为相关的融资交易提供最高可达25%的残值兜底
[160.8 - 162.4] 好 这件事情就值得聊聊了
[162.4 - 166.6] GPU跟传统的这些基础设施有很大的区别
[166.6 - 167.9] 像房地产 电网
[167.9 - 170.6] 它们的物理寿命还是很长的
[170.6 - 174.3] 但GPU其实它是属于更迭很快的电子耗材
[174.3 - 176.4] 如果英伟达发布了下一代购家
[176.4 - 179.0] 或者是说像AMD Google TPU
[179.0 - 181.8] 出了性价比特别高的产品的话
[181.8 - 185.1] 那么上一代二手GPU的变现价值
[185.1 - 187.0] 就有可能断崖式下跌
[187.0 - 189.0] 第二 初创公司们既然知道
[189.0 - 191.3] 英伟达有25%的垫底
[191.3 - 194.2] 那么华尔街资本很有可能也会放宽
[194.2 - 195.5] 相应的审核标准的
[195.5 - 197.7] 这样不排除会导致一些
[197.7 - 199.5] 商业模式混乱不清
[199.5 - 203.2] 自己盈利能力堪忧的公司借杠杆去上车
[203.2 - 205.5] 从而人为抬高了每月的成本
[205.5 - 208.5] 第三 客户用借来的钱买了英伟达的芯片
[208.5 - 210.6] 英伟达的财报越来越漂亮
[210.6 - 212.8] 但是在英伟达的资产负债表之外
[212.8 - 216.5] 其实它挂上了巨额的表外潜在债务
[216.5 - 219.3] 所以对于英伟达的收入也好
[219.3 - 221.1] 还是实际的利润也好
[221.1 - 222.3] 是要花问号的
[222.3 - 223.7] 如果AI应用爆发
[223.7 - 225.6] 客户赚钱还债了
