[0.0 - 4.2] 这两天财政部公布了7月份的财政收支的两本账。
[4.2 - 5.9] 我们来带着大家具体看一看。
[5.9 - 8.6] 首先第一本一般公共预算收支。
[8.6 - 12.9] 收入2.27万亿,同比大幅增长11.8%。
[12.9 - 19.4] 主要贡献的就是税收收入2.05万亿,同比大幅增长13.9%。
[19.4 - 22.9] 税收收入中四大税种,我们分别看一看。
[22.9 - 27.0] 首先,个税同比大幅增长将近26%。
[27.0 - 29.0] 而去年同期啊
[29.0 - 31.7] 個稅增長的幅度是14%
[32.0 - 34.9] 也就是說今年7月份個稅增長
[34.9 - 37.3] 是去年增速的將近兩倍
[37.5 - 38.6] 那主要支撐點
[38.6 - 39.4] 首先啊
[39.4 - 41.5] 一部分企業尤其像金融啊
[41.5 - 42.2] 科技啊
[42.2 - 44.5] 有色行業收入和利潤的增長
[44.5 - 46.2] 第二就是資本市場
[46.2 - 47.6] 像股權轉讓啊
[47.6 - 50.0] 股息紅利所帶來的稅收增長
[50.0 - 50.7] 那除此之外
[50.7 - 52.2] 還有就是一部分居民
[52.2 - 53.8] 海外收入的徵收了
[54.2 - 55.8] 這也是基於CRS的推進
[55.8 - 60.1] 好 第二部分企业所得税 同比增长21.8%
[60.1 - 61.7] 两个比较重要的原因
[61.7 - 64.5] 第一个原因就是电子行业利润的快速增长
[64.5 - 65.9] 将计算机 通讯
[65.9 - 68.8] 以及其他相关设备行业的快速发展
[68.8 - 71.8] 另外就是最近一段时间大家也都看到的
[71.8 - 74.1] 一部分企业相关的补税行为
[74.1 - 75.4] 好 第三 第四
[75.4 - 78.7] 分别是国内的增值税和消费税的增长
[78.7 - 81.6] 6.7%以及6.3%
[81.6 - 83.0] 那都由负转为了正
[83.0 - 85.4] 其实这也一定程度的反映了工业
[85.4 - 86.6] 以及消费的修复
[86.6 - 90.6] 好 再接下来证券交易印花税315亿
[90.6 - 92.8] 同比大幅增长108%
[92.8 - 95.2] 那这一部分的税收其实直接得益于
[95.2 - 97.4] 我们资本市场开户数的增长
[97.4 - 99.0] 以及成交额的增长
[99.0 - 101.9] 好 接下来关于契税和土地增值税
[101.9 - 104.5] 那这都是跟我们房地产市场直接相关的
[104.5 - 107.0] 1到7月份累计下降
[107.0 - 110.2] 分别14.5%和15.3%
[110.2 - 113.8] 那这其实就反映着我们土地市场的整体收缩
[113.8 - 116.6] 以及房地产市场交易比较疲软的状态
[116.6 - 119.8] 好 接下来我们来看看这个账本里边的支出部分
[119.8 - 121.6] 增长幅度比较明显的
[121.6 - 124.8] 政府债务利息支出975亿
[124.8 - 126.6] 同比增长10.3%
[126.6 - 129.4] 那这一部分的支出是整个支出里边
[129.4 - 131.4] 要优先保证的刚性支出
[131.4 - 133.6] 那两位数的增长其实也反映着现在
[133.6 - 137.4] 地方政府必须要把一部分的财政收入
[137.4 - 139.6] 要优先拿来进行偿付利息
[139.6 - 142.2] 那这其实就会对像农林水支出
[142.2 - 145.3] 城鄉社區支出以及交通運輸支出
[145.3 - 149.0] 一些基建民生形成一定的擠壓效應了
[149.0 - 152.3] 再接下來科技支出同比增長2.6%
[152.3 - 154.7] 跟6月份的增速基本持平
[154.7 - 157.5] 那這其實也跟我們15規劃中整體對於
[157.5 - 161.0] 高水平科技自力自強以及科技創新支持
[161.0 - 163.9] 相關資金的傾斜是基本一致的
[163.9 - 165.2] 好接下來第二個賬本
[165.2 - 167.6] 全國政府性基金預算收支
[167.6 - 170.8] 收入3000億同比下降19.2%
[170.8 - 174.2] 那其中的大头国有土地出让收入
[174.7 - 176.4] 同底下降27%
[176.4 - 178.5] 那这其实也是从居民的购房情况
[178.8 - 180.8] 和商品房销售情况
[181.1 - 182.1] 所传导到的
[182.4 - 183.1] 土地出让情况
[183.4 - 185.9] 好 接下来全国政府性基金预算支出
[185.9 - 186.7] 6700亿
[187.0 - 188.8] 同底下降16.3%
[189.0 - 191.1] 其中的大头土地出让支出
[191.3 - 193.4] 同底下降20.7%
