[0.1 - 3.1] 你愿意跟无聊的人在一起,你就是无聊的人。
[3.1 - 7.1] 你愿意追随无聊的人,你就会继续成为无聊的人。
[7.1 - 12.1] 你愿意去跟爱学习、愿意进步的人在一起,你就是爱学习、爱进步的人。
[12.1 - 16.1] 你愿意去跟用脑子思考的人在一起,你就会逐渐长脑子。
[16.1 - 21.1] 你愿意去跟只用情绪去宣泄的人在一起,你的世界只有情绪。
[21.1 - 25.1] 而情绪是带不来任何的价值增长,以及财富增长的。
[25.1 - 28.1] 远离无聊是让自己不断进步的最好的方式。
[28.1 - 34.1] 而跟随无聊是让自己逐渐堕落以及无法自拔的最好方式
[34.1 - 38.1] 选择什么样的圈层以及你平常关注的事情
[38.1 - 41.1] 就决定了你的认知以及你的成长空间
[41.1 - 44.1] 我呢 我的人生需要让我自己不断进步
[44.1 - 47.1] 所有有可能给我带来各种负能量的
[47.1 - 48.1] 我都会一脚把它踹开
[48.1 - 50.1] 至于有些人非要黏着你不放
[50.1 - 52.1] 就像谈恋爱的时候
[52.1 - 55.1] 你不喜欢的人非要往你身上凑
[55.1 - 57.1] 大家想想那是一种
[57.1 - 59.1] 浑身多么不舒服的感觉
[59.1 - 61.1] 那我反而猜一下有可能是我的魅力
[61.1 - 63.1] 让有些人实在是
[63.1 - 64.1] 离不开我
[64.1 - 66.1] 觉得一不看我一不关注我
[66.1 - 68.1] 好像生活中就少了点什么
[68.1 - 70.1] 好最后说两点
[70.1 - 72.1] 前一个视频大家应该看了
[72.1 - 74.1] 我人生也算是第一次真实的感受了
[74.1 - 76.1] 丁大人的效用
[76.1 - 78.1] 那未完待续后面还有
[78.1 - 80.1] 更精彩的要奉献给大家
[80.1 - 82.1] 人生啊就是一场旅途
[82.1 - 84.1] 不管是真的旅行还是学习知识
[84.1 - 88.2] 永远不要放弃去看世界的那份社情
[88.2 - 92.2] 我经常跟朋友们说我们要不停的去补太阳血
[92.2 - 94.2] 一方面要看看真实的世界
[94.2 - 96.2] 而不是只在视频里的东西
[96.2 - 98.2] 另外就是要真的多看书
[98.2 - 100.2] 让自己不断的提升
[100.2 - 102.2] 而不是你的世界只有情绪
[102.2 - 104.2] 好那第二一个小彩蛋
[104.2 - 106.2] 最近很多朋友都还是在问黄金的事情
[106.2 - 113.2] 其实从去年11月19号到12月31号到今年1月3月到现在
[113.2 - 115.9] 相隔的观点从来都没有变过
[115.9 - 117.7] 它是一个长期拥有的东西
[117.7 - 119.3] 它是一种长期投资
[119.3 - 120.9] 它不是一个短期行为
[120.9 - 126.3] 也不是一个你可以随意拿捏的短期投机的一种方式
[126.3 - 129.1] 与此同时永远不要忘记蓄水池逻辑
[129.1 - 133.1] 以及它是那个非常重要的调节法
[133.1 - 135.1] 最后金融是一个很残酷的事情
[135.1 - 137.1] 它是那个最无声无息
[137.1 - 139.9] 但是杀伤力最强的那个武器
[139.9 - 141.5] 永远不要嘲笑它
[141.5 - 143.1] 永远要对金融市场
[143.1 - 144.2] 有敬畏心
[144.2 - 145.7] 最后生命很短的
[145.7 - 147.2] 每天你过的有没有价值
[147.2 - 149.3] 有没有比昨天多获得一些
[149.3 - 150.3] 多进步一些
[150.3 - 151.8] 你是骗不了别人的
[151.8 - 154.4] 每天晚上躺在床上问问自己
[154.4 - 155.9] 哦对最后补充一点
[155.9 - 157.6] 不要在我的视频底下爱他别人
[157.6 - 159.5] 也不要在别人的视频底下爱他我
[159.5 - 161.5] 可能有些人啊真的特别闲
[161.5 - 163.2] 但是我很忙的
[163.2 - 166.2] 好了那我要启程去下一个探险了
[166.2 - 169.2] 祝大家每一天的生活都有新的进步
[169.2 - 170.2] 新的精彩
[170.2 - 172.6] 新的快乐以及新的价值
