[0.2 - 4.3] 今天韩国央行加息了,而且是连续第二次会议加息。
[4.3 - 7.8] 现在利率从2.75%到了3%。
[7.8 - 10.5] 那主要原因也是非常直接的。
[10.5 - 13.0] 虽然他们的整体CPA有一定的回落,
[13.0 - 16.3] 但是受现在中东局势导致的高油价,
[16.3 - 18.4] 核心通胀率还是在2.6%左右。
[18.4 - 21.0] 那进口物价指数高居不下。
[21.0 - 24.0] 所以他们的央行就不得不采取紧缩政策,
[24.0 - 25.3] 锚定通胀的预期。
[25.3 - 27.2] 那他们的央行行长也说了,
[27.2 - 30.1] 连续加息是为了提前去进行应对。
[30.1 - 32.0] 当然能够支撑他们去加息
[32.0 - 33.8] 有一个很重要的因素就是
[33.8 - 35.9] 他们的半导体出口非常的强劲
[35.9 - 39.2] HBM高端存储芯片出口的大增
[39.2 - 42.9] 让整个韩国现在经济的基本面是有一定支撑的
[42.9 - 45.5] 另外还有一点就是现在韩国家庭债务
[45.5 - 48.3] 占整个GDP的比重还是偏高的
[48.3 - 50.9] 所以韩国央行也是希望能够通过加息
[50.9 - 54.8] 一定程度去抑制房地产市场过热的趋势
[54.8 - 56.7] 以及杠杆投资抬头
[56.7 - 58.3] 好 那有意思的事情是
[58.3 - 61.3] 今天韩国做出了连续加息的决策之后
[61.3 - 63.0] 日本有一点坐不住了
[63.0 - 65.9] 日本央行副行长站出来说了一堆的话
[66.2 - 67.7] 有几个核心点
[67.7 - 72.5] 第一就是去给接下来的日本一席会议去施压
[72.5 - 74.2] 明确说了在他看来
[74.3 - 76.9] 日本央行是需要提高政策利率的
[76.9 - 79.4] 同样是面对输入性通胀
[79.4 - 81.0] 那这个副行长也说了
[81.0 - 84.4] 疲软的日元会继续推高通胀的上升
[84.4 - 84.6] 好
[84.6 - 86.7] 大家应该还记得在7月份的时候
[86.7 - 88.7] 日本去干预汇率的时候
[88.7 - 91.5] 不仅和美方是进行协同的
[91.5 - 95.6] 跟韩国也是进行密切的沟通以及协同的
[95.6 - 96.8] 而在8月份的时候
[96.8 - 100.0] 日韩的外汇官员又在东京举行了相关的会谈
[100.0 - 104.3] 重申了会在汇率方面继续保持密切的沟通与合作
[104.3 - 106.3] 另外大家应该也看到昨天
[106.3 - 108.4] 日放说日本央行行长知天河南
[108.4 - 110.8] 这一次由于他的行程上的冲突
[110.8 - 112.8] 没有办法参与这一次
[112.8 - 115.2] 杰克逊霍尔的全球央行年会
[115.2 - 117.0] 当然一听就是个借口了
[117.0 - 119.5] 而值得注意的是谁带他去的呢
[119.5 - 120.6] 田村直述
[120.6 - 123.8] 就是那个曾经公开呼吁每隔几个月
[123.8 - 127.2] 就应该加息去应对日本通胀上升的
[127.2 - 128.3] 偏鹰派的官员
[128.3 - 129.6] 那我们整体看一下
[129.6 - 131.3] 日韩已经明确表示
[131.3 - 134.3] 在外汇上要保持密切的沟通与合作
[134.3 - 136.2] 日美不仅表示了
[136.2 - 137.5] 而且已经行动了
[137.5 - 140.6] 所以当下以及接下来在外汇方面
[140.6 - 143.4] 美日韩是一种三方的协调机制
[143.4 - 146.5] 而韩国央行行长今天明确说
[146.8 - 149.2] 接下来预计会进一步的加息
[149.2 - 151.7] 那这其实也从另外一个侧面反映出
[151.7 - 154.1] 日本央行的行动其实已经晚了
[154.1 - 158.0] 而对于他接下来要跟上加息的步伐
[158.0 - 159.8] 是会形成进一步的压力的
[159.8 - 162.7] 好 那到这大家应该能理解一件事情
[162.7 - 164.6] 为什么对于美来说
[164.6 - 167.0] 当下或者接下来一段时间
[167.0 - 168.8] 还暂时不能降息
[168.8 - 172.6] 因为他首先需要他的这两个重要的盟友
[172.6 - 174.0] 先把息加起來
[174.0 - 176.5] 只有這樣才能在接下來去接住
[176.5 - 177.9] 他放出來的水
[177.9 - 180.1] 只有這樣這些流出來的水
[180.1 - 182.2] 才能盡可能的少的
[182.2 - 184.9] 流向他不希望他們流向的地方
[184.9 - 186.2] 所以大家應該看到
[186.2 - 188.1] 現在整個全球的市場
[188.1 - 189.8] 其實是很缺資金的
[189.8 - 191.3] 而在這樣的大背景下
[191.3 - 195.2] 不僅因為他要跟華爾街的這六大金融巨頭
[195.2 - 198.4] 去成立5000億美元的AI融資平台
[198.4 - 200.3] 提前去鎖定
[200.3 - 203.4] 它的下游企业的资金需求
[203.4 - 205.0] 或者是说GPU需求
[205.0 - 207.5] 而且昨天英伟达在公布财报的同时
[207.5 - 210.1] 竟然做了以前从来没有做过的事情
[210.1 - 215.6] 就是提前一年给出2028财年的业绩指引
[215.6 - 217.8] 而且同时还公布亚马逊
[217.8 - 220.3] 要买它200万颗高端芯片
[220.3 - 221.6] 用于数据中心的建设
[221.6 - 222.6] 除此之外
[222.6 - 224.6] 大家应该也看到前两天公布
[224.6 - 227.8] Atropic 9月或者10月也要上市了
[227.8 - 231.0] 市值将近2万亿美元
[231.0 - 234.2] 当然一方面是不能让AI快速发展
[234.2 - 236.7] 并且会继续快速发展的这个故事
[236.7 - 238.6] 放骂或者是说破灭
[238.6 - 240.6] 另外一方面就是加快步伐
[240.6 - 244.8] 在流动性已经开始不断收紧的这个大背景下
[244.8 - 247.7] 加速在全球疯狂的细字径
