[0.0 - 4.5] 在这两天英伟达最新公布的财报中,有一个非常特别的点,
[4.5 - 8.1] 就是他表明了自己跟马斯克旗下的生态,
[8.1 - 11.1] 像Tesla和SpaceX深度的渗透。
[11.1 - 15.1] 第一,要和SpaceX联合,把算力送向太空,
[15.1 - 17.9] 他们要一起设计StarMind卫星系统,
[17.9 - 23.7] 那这个卫星系统是搭载了英伟达下一代VeraCPU加RubinGPU的架构,
[23.7 - 28.3] 那这是英伟达第一次把顶级数据中心级别的AI芯片
[28.3 - 30.0] 部署到地轨卫星上
[30.0 - 31.4] 那它想解决的就是
[31.4 - 33.9] 地面数据中心面临的耗电
[33.9 - 35.7] 以及散热平静的问题
[35.7 - 37.0] 那除了太空计算
[37.0 - 40.2] 现在SpaceX也是正在大规模的去建设
[40.2 - 41.7] 地面AI基础设施
[41.7 - 44.5] 而这其中包含了跟英伟达合作的
[44.5 - 46.5] 超大规模的数据中心
[46.5 - 48.3] 那估算未来的规模可达
[48.3 - 49.6] 十几瓦的级别
[49.6 - 50.9] 好 第二Tesla方面
[50.9 - 53.8] 虽然我们知道现在Tesla是在加速推进它的
[53.8 - 57.6] TeraFab芯片资源以及FSD的训练集群建设
[57.6 - 61.2] 但是目前对于英伟达的算力基础设施
[61.2 - 65.4] 比如说像H100 Blackwell等相关需求依然是非常强劲的
[65.4 - 69.7] 那这也就构成了英伟达数据中心营收的重要支撑
[69.7 - 72.4] 另外英伟达在他的业绩说明中多次强调
[72.4 - 77.5] 车企和巨深智能企业对于AI算力消耗的爆发式增长
[77.5 - 81.3] 那Tesla作为物理世界AI的一个重要的领袍者
[81.3 - 87.5] 推动着英伟达从AI芯片向物理AI全占平台的重要商业落地的转变
[87.5 - 91.4] 好 第三提及了Anthropic的巨额算力合同
[91.4 - 94.1] 好 这是Anthropic和SpaceX达成的协议
[94.1 - 99.8] 租用了它数据中心大概32.5万块的英伟达的GPU
[99.8 - 105.4] 这其实表明英伟达的芯片不仅在卖给传统的这些云计算的巨头
[105.4 - 107.4] 比如说像微软 亚马逊等等
[107.4 - 112.8] SpaceX也正在通过卫星网络加超级数据中心这个组合
[112.8 - 116.0] 成为英伟达的超大型算力买家
[116.0 - 119.0] 好 那以上这些点 英伟达想说明什么呢
[119.0 - 120.6] 其实他是想告诉外界
[120.6 - 123.1] 他的算力边界正在或者是说
[123.1 - 126.5] 已经打破了传统的地面数据中心的框架
[126.5 - 130.6] 要通过SpaceX延伸至低轨太空的算力集群
[130.6 - 135.7] 同时想通过马斯克旗下的SpaceX加Tesla加AA
[135.7 - 139.2] 去验证超大规模的AA算力租赁
[139.2 - 142.8] 以及自动驾驶商业化的落地可行性
[142.8 - 146.8] 也就是说英伟达要从之前的简单的芯片买卖
[146.8 - 149.0] 走向深度的商业绑定
[149.0 - 153.1] 以及和马斯克旗下企业的生态共创
[153.1 - 154.6] 好 到这儿 大家别忘了
[154.6 - 156.5] 就在前段时间公布出来
[156.5 - 159.6] 英伟达是SpaceX的第十大股东
[159.6 - 162.9] 那英伟达在软硬件层面深度绑定
[162.9 - 165.0] SpaceX以及Tesla的同时
[165.0 - 167.9] 再加上对于SpaceX的巨额股份的持有
[167.9 - 170.9] 其实是形成了硬件供应 算力租赁
[170.9 - 173.4] 以及资本持有的商业币环
[173.4 - 176.9] 那这个其实使得接下来二者的市值
[176.9 - 178.9] 以及技术路线图
[178.9 - 180.8] 会形成前所未有的共振
[180.8 - 181.7] 好到这儿
[181.7 - 183.6] 别忘了前面还提到了一个公司
[183.6 - 184.4] Ethropic
[184.4 - 187.6] 别忘了它在接下来的9月到10月
[187.6 - 188.6] 也要上市了
[188.6 - 191.2] 市值初步估计2万亿美元
[191.2 - 193.7] 所以首先不排除接下来
[193.7 - 195.9] Tesla是会被并入到
[195.9 - 198.0] SpaceX整个生态体系中的
[198.0 - 200.1] 第二就是英伟达
[200.1 - 202.6] SpaceX再加上Anthropic
[202.6 - 204.2] 这三大顶级的科技公司
[204.2 - 207.7] 一方面未来在资本市场会有更多的互动
[207.7 - 208.6] 以及协同
[208.6 - 212.3] 另外就是这三方会一起讲更多的故事
[212.3 - 214.3] 为了能够讲更多的AI的故事
[214.3 - 216.6] 为了能够吸引更多的资金
[216.6 - 218.0] 这种跨阵营的组合
[218.0 - 221.8] 其实是想说未来AI的竞争不再是单打独斗
[221.8 - 225.4] 而是要逐步迈入能源地缘太空物理基建的
[225.4 - 227.0] 硬核硬科技时代
[227.0 - 228.0] 而與此同時
[228.0 - 230.4] 超大規模的資金需求
[230.4 - 231.5] 資金吸引
[231.5 - 233.5] 融資以及資本重組
[233.5 - 234.8] 也會貫穿於其中
