[0.0 - 4.1] 前面的这十几天,我们的海关总署、央行以及国家统计局
[4.1 - 6.9] 把一些重要的经济数据做了公布。
[6.9 - 9.8] 那这条视频我们来跟大家做一个整体的盘点。
[9.8 - 12.8] 那在这儿先跟大家分享一段统计局的表述。
[12.8 - 16.3] 总体平稳,继续保持向心向忧的态势。
[16.3 - 19.7] 但国内共强虚弱的矛盾是突出的。
[19.7 - 24.6] 部分企业经营困难,经济稳中向好的基础还需要巩固。
[24.6 - 28.0] 好,那我们就按照这个思路来跟大家展开聊一聊。
[28.0 - 30.8] 首先先来看看出口非常强劲
[30.8 - 34.1] 可以说是整个7月经济发展的重要引擎了
[34.1 - 36.4] 出口同比增长将近24%
[36.4 - 38.5] 其中非常亮眼的支撑项
[38.5 - 41.4] 机电产品同比增长33.8%
[41.4 - 43.8] 集成电路同比增长117%
[43.8 - 46.8] 高新产品同比增长52.6%
[46.8 - 48.6] 这些就是直接受益于
[48.6 - 51.6] 全球AA基础设施投资提速所带来的
[51.6 - 54.6] 对于像半导体先进电子产品的需求了
[54.6 - 56.5] 芯片价格持续上涨
[56.5 - 59.3] 是出口强劲非常核心的驱动力
[59.3 - 61.5] 那这其实也反映出海外的部分供应链
[61.5 - 64.0] 对于我们高性价比的工业品
[64.0 - 66.4] 以及电子零部件的重要依赖
[66.4 - 68.9] 另外汽车依旧保持着强劲的出口
[68.9 - 70.7] 将近99万辆
[70.7 - 72.4] 同比增长42%
[72.4 - 76.8] 那从单价来看平均每辆车1.74万美元
[76.8 - 78.5] 不管是同比还是环比
[78.5 - 80.0] 都是有小幅的增长的
[80.0 - 81.5] 那在这也跟大家分享一下
[81.5 - 83.2] 前些天在印尼的时候
[83.2 - 85.2] 看到雅加达的街上
[85.2 - 87.6] 非常多我们的电动车
[87.6 - 89.2] 最多的是比亚迪
[89.2 - 90.5] 然后就是武灵
[90.5 - 91.9] 而且跟他们的司机聊天
[91.9 - 93.0] 普遍反馈
[93.0 - 94.7] 非常喜欢我们的电动车
[94.7 - 95.9] 不光是便宜
[95.9 - 96.9] 而且很好开
[96.9 - 98.3] 所以也切身感受了一把
[98.3 - 99.4] 我们的新动员车
[99.4 - 101.1] 在东南亚国家出海
[101.1 - 102.3] 当前的实际情况
[102.3 - 103.9] 好在这我们看一下7月份
[103.9 - 106.1] 规模以上工业企业增加值的数据
[106.1 - 108.0] 高端制造和新动能
[108.0 - 109.3] 依旧是一个爆发的状态
[109.3 - 111.8] 计算机通信大增19.1%
[111.8 - 113.4] 铁路航空航天
