[0.0 - 2.0] 最近确实是事情特别多。
[2.0 - 6.0] 那我看到朋友们问的比较多的,其实还是关于黄金的问题。
[6.0 - 14.0] 如果去年11月19号、12月31号的视频朋友们看过,并且收藏是不是拿出来看一看的话,
[14.0 - 16.0] 那其实应该不会再有什么问题了。
[16.0 - 18.0] 不过在这儿我们要多说几点。
[18.0 - 23.0] 第一就是不要忘记去年的时候,就是这些华尔街的大的金融机构,
[23.0 - 27.5] 金融机构什么高盛啊摩根啊汇丰啊瑞银啊德银啊等等
[28.1 - 33.4] 一起跳出来唱多然后呢就是各种分析报告每天正着分析反着分析
[34.2 - 39.1] 大家要理解啊就是他们的这些分析报告啊主要是给散户看的
[39.4 - 44.0] 不是给机构看的所以对于他们又在一致啊非常高调的唱多的时候
[44.4 - 46.9] 还是要稍微有所注意的第二还是那句话
[47.4 - 51.0] 对于黄金还是要以长期主义的思路长期投资
[51.0 - 53.0] 这不是一个短期的投机行为
[53.0 - 54.0] 另外就是
[54.0 - 56.0] 如果你不是一个
[56.0 - 58.0] 非常非常成熟的投资者
[58.0 - 60.0] 不要做任何的杠杆
[60.0 - 62.0] 那第三也是特别值得注意的是
[62.0 - 65.0] 很多朋友可能都只关注到了黄金
[65.0 - 69.0] 其实这段时间它涨了大概14% 15%
[69.0 - 71.0] 而另外一个
[71.0 - 72.0] 也就是比特币
[72.0 - 75.0] 其实已经涨幅超过30%了
[75.0 - 77.0] 那其实去年我们就跟大家分享过
[77.0 - 78.0] 蓄水池逻辑
[78.0 - 79.0] 每人资产
[79.0 - 80.0] 黄金
[80.0 - 83.7] 比特幣 那現在一部分錢從美元資產裏流出
[83.7 - 85.7] 不僅是流向了黃金
[85.7 - 88.9] 而流速更高的其實是在比特幣
[88.9 - 92.8] 也就是說不管是華爾街還是國際上的這些大機構大資本
[92.8 - 97.3] 對於數字黃金比黃金其實是更加追捧的
[97.3 - 98.7] 起碼是在這一階段
[98.7 - 102.4] 那這段時間其實在我個人來看是比較垃圾的時間
[102.4 - 106.2] 幾個原因 第一就是現在美國財政部和美聯儲
[106.2 - 108.3] 其實已經有一些小動作了
[108.3 - 111.2] 但是目前这些小动作主要是通过
[111.2 - 112.7] 嘴去推进的
[112.7 - 115.5] 还没有真正的付出行动
[115.5 - 117.3] 那进入到9月份
[117.3 - 119.6] 尤其是9月9号开始
[119.6 - 121.4] 相关的行动就要履行了
[121.4 - 123.4] 你可以说现在是在试探市场
[123.4 - 125.5] 也可以说现在是在做预期管理
[125.5 - 128.6] 所以到那个时候其实才更加有意义
[128.6 - 131.1] 那第二块就是这周五有两个重要的事情
[131.1 - 132.9] 第一 英伟达的财报公布
[132.9 - 135.5] 第二就是美联储主席沃什
[135.5 - 137.5] 在捷迅霍尔会议上的发言
[137.5 - 142.1] 那有些说法说贝森特接下来做的事情跟美联储要做的事情
[142.1 - 143.1] 目标是相悖的
[143.1 - 144.5] 那我并不认同这种说法
[144.7 - 147.9] 贝森特要做的事情是在他们其实都非常清楚
[147.9 - 152.5] 接下来美联储要做的是以缩表为主思路的
[152.5 - 154.3] 也就是要收一部分流动性
[154.3 - 155.6] 在这样的大背景下
[155.6 - 158.4] 贝森特不得不做的一定的对冲举措
[158.4 - 160.3] 那最后一件事情也是比较关键的
[160.3 - 162.8] 就是九月份日本央行的一些会议
[162.8 - 166.4] 是不是会从九月份就开始文部的去加息
[166.4 - 169.2] 那其实今年的主线大家也看得比较清楚了
[169.2 - 171.2] 就是那些能够制造信息的
[171.2 - 174.4] 以及能够提前掌握相关信息的
[174.4 - 177.2] 是能够对那些很容易就被信息带着走的
[177.2 - 180.1] 或者是说比较难自己去独立思考
[180.1 - 182.4] 分辨真假信息的进行收割的
[182.4 - 184.2] 那如果我个人来看的话
[184.2 - 187.2] 我主要关注的还是确定性和不确定性
[187.2 - 189.8] 那当前的不确定性是非常明确的
[189.8 - 192.2] 就是地缘冲突的不断加剧
[192.2 - 194.8] 以及升级以及不断的蔓延扩展
[194.8 - 200.0] 那至于确定性就是前面说的那四部分啊 即将发生的作为重要依据的
