[0.2 - 4.9] 有些朋友说是不是可以说说最近中东的情况,都好久没说了。
[4.9 - 15.0] 几个星期前我有一次跟朋友们说,在我理解,现在其实只有国际原油价格是最真实,也是最诚实的。
[15.0 - 25.1] 第一,当前有一边说现在每天有不少油出来,有一边说你要不同意什么什么,就不会让一滴油出来。
[25.1 - 29.4] 但是大家可以看一下国际原油价格的实际情况。
[29.4 - 35.4] 第二,海湾的这些阿拉伯国家好像很长时间都没有什么太多的谴责声音了
[35.4 - 41.7] 为什么呢?因为他们都在很着急的、想方设法的、不遗余力的
[41.7 - 46.0] 往外通过各种方式送油和卖油
[46.0 - 54.4] 第三,根据EIA的数据,美国现在每周原油加成品油都是进出口的
[54.4 - 59.7] 大概体量每天是300万桶到400万桶
[59.7 - 65.8] 好第四那美要推进的是对一的全面的经济封锁经济制裁
[65.8 - 72.8] 当然啊他如果真的想推进全面的就需要很多很多国家对他进行配合
[72.8 - 76.9] 那在我来看的话执行力方面难度还是比较大的
[76.9 - 84.4] 目前啊非常明确的去跟进的并且表明要切实切断的就是UAE了
[84.4 - 88.4] 好 那在这个问题上 接下来其实需要重点去关注的
[88.4 - 90.8] 就是即将召开的G20峰会了
[90.8 - 93.4] 因为是要做一定的摊牌的
