[0.0 - 4.0] 威森特的压力确实是越来越大了,真的是他怕什么就来什么。
[4.0 - 8.0] 以前国际原油价格上涨,提升美元指数,巩固强势美元。
[8.0 - 13.0] 而现在这个阶段呢,又不能让美元指数不强,也不能让它过强。
[13.0 - 17.0] 这核心原因就是有一个拖油瓶日元汇率。
[17.0 - 20.0] 而昨天特的发言又把国际原油价格往上拉了几个百分点。
[20.0 - 21.0] 好,那为什么呢?
[21.0 - 29.1] 首先我们知道一,最近对于美提了很多要求,撤出啊,然后赔偿啊,然后解冻资金啊。
[29.1 - 32.9] 其实这些对于美来说当下是肯定都不可能同意的
[32.9 - 36.5] 而在这样的情况下特反向给伊也提了一堆要求
[36.5 - 37.5] 我们看一看
[37.5 - 39.5] 大家一看也就能看明白
[39.5 - 41.9] 这伊方也是不可能同意的
[41.9 - 43.5] 所以对于国际园油市场来看
[43.5 - 45.2] 双方都是适则大开口
[45.2 - 48.5] 也就意味着双方都不可能同意对方的要求
[48.5 - 52.3] 也就意味着霍尔木斯海峡在短期是很难开放的
[52.3 - 54.7] 当然很有可能特看到自己说这个话之后
[54.7 - 56.3] 国际园油价格涨了上来
[56.3 - 57.9] 所以呢就开始着吧了
[57.9 - 59.9] 第一现在霍尔木斯海峡美方控制
[60.2 - 62.8] 第二现在他们已经清了这个地方的水泪
[62.8 - 64.2] 那意图就很明确了
[64.2 - 67.1] 就是希望能够降低大家对于霍尔木斯海峡水道的担忧
[67.1 - 68.7] 从而进一步的压油价
[68.7 - 69.6] 效果有没有呢
[69.6 - 70.7] 有一些些
[70.7 - 72.1] 但影响并不是特别大
[72.7 - 75.9] 而他之前发言所造成的负面影响
[75.9 - 77.2] 却是力干见盈的
[77.2 - 78.7] 国际原油价格一上涨
[78.7 - 80.3] 传导到了日元汇率上
[80.3 - 83.2] 从158掉到159的区间
[83.2 - 84.6] 好那我们整体分析一下
[84.6 - 86.7] 首先从特的发言就能看出
[86.7 - 90.1] 当前美医之间是没有任何信任可言的
[90.1 - 94.7] 所以他们谈或者是说签所谓的阶段性的条款
[94.7 - 99.3] 或者是说MOU甚至未来一段时间的某种协议
[99.3 - 104.1] 都不具有任何的可信基础以及常可执行力
[104.1 - 105.8] 而在这个当下大家应该也看到
[105.8 - 108.0] 最近医的内部是在频繁换人
[108.0 - 110.8] 新换上来的这些人是更加强硬派
[110.8 - 112.8] 这就意味着美医之间的沟通
[112.8 - 116.3] 或者是说他们想往谈判方向去推进
[116.3 - 117.2] 是越来越难了
[117.2 - 120.3] 第二对于美来说现在确实是有一个比较麻烦的事情
[120.3 - 121.7] 就是日元汇率
[121.7 - 124.8] 这国际原油价格稍微变动一点
[124.8 - 126.1] 就有可能影响到它
[126.1 - 129.5] 而下一次日本央行的一些会议是在9月中下旬
[129.5 - 132.1] 也就意味着接下来这一个多月的时间
[132.1 - 136.3] 美国或者是说贝森特都得为日元汇率所担忧
[136.3 - 138.5] 不是说美日不会再进行联合干预
[138.5 - 140.5] 但对于时间节点
[140.5 - 142.8] 规模以及要达到的效果
[142.8 - 144.5] 其实要求是非常高的
[144.5 - 150.5] 第三,對於美國自身來說,80-90美元美銅的國際原油價格其實整體還是可控的
[150.5 - 154.5] 但它必須要考慮一個問題,就是越接近中期選舉
[154.5 - 158.5] 不排除一方會主動擴大戰事去抬升國際原油價格
[158.5 - 163.5] 那美方可以選擇為了不讓國際原油價格一下子飆升,階段性的忍讓
[163.5 - 166.5] 但還是會影響到國際原油價格的
[166.5 - 172.5] 與此同時,過度的忍讓也有可能讓支持共和黨的選民不滿,從而影響中期選舉
[172.5 - 174.5] 第四,那我们看到前两天贝森特说了
[174.5 - 178.5] 未来霍尔木斯海峡的重要程度会大幅降低的
[178.5 - 181.5] 其实他说这个话,两个主要的原因
[181.5 - 185.5] 第一就是希望能够进一步的去压当下的股票原油价格
[185.5 - 187.5] 而另外一点其实是值得我们更多的去思考的
[187.5 - 191.5] 我们知道对于资本来说是逐利的
[191.5 - 194.5] 但有一个重要的前提,首先要有安全性
[194.5 - 197.5] 当然资本可以为了更高的收益去选择更高的风险
[197.5 - 200.5] 但对于像霍尔木斯海峡通航这种
[200.5 - 204.6] 這種算是常規相對來說比較穩定收益的
[204.6 - 206.4] 首先還是要看安全性
[206.4 - 207.6] 那我們試想一件事情
[207.6 - 210.4] 如果這場戰爭可能一兩個月前就結束了
[210.4 - 213.5] 對於整個霍爾木斯海峽以及過往的船隻
[213.5 - 215.6] 以及背後的資本當然也包括保險
[215.6 - 217.4] 其實是不會有太大的影響的
[217.4 - 219.3] 但時間拉得越長
[219.3 - 221.0] 複雜性越來越高
[221.0 - 225.4] 以及E對於整個霍爾木斯海峽的控制權的要求
[225.4 - 226.4] 越來越強硬
[226.4 - 228.6] 與此同時E也是在這幾個月時不時的
[228.6 - 230.1] 就會打過往的商業船隻
[230.1 - 234.2] 那以上的这些综合因素就会让资本要重新考虑了
[234.2 - 238.3] 所以我们看到的是在当下不管是阿林丘、沙克、伊拉克等相关国家
[238.3 - 240.9] 加大对于管道运输石油的建设
[240.9 - 242.3] 那么时间拖得越长
[242.3 - 244.7] 大家选择绕开霍尔木斯海峡
[244.7 - 248.7] 找到其他的,起码是备用方式的决心就会越坚定
[248.7 - 251.5] 而接下来会有一个很现实的问题给到E
[251.5 - 255.3] 它的石油出口基本上都是要靠霍尔木斯海峡的
[255.3 - 258.1] 而最重要的就是那个哈尔科岛
[258.1 - 261.7] 它是承载着90%的石油出口的
[261.7 - 263.1] 另外虽然它出口石油
[263.1 - 265.7] 但是它的产品油是要进口的
[265.7 - 267.8] 所以卡住霍尔木斯海峡对于伊来说
[267.8 - 268.9] 其实是一个双刃剑
[268.9 - 272.0] 在当下它确实是可以让美方比较头疼
[272.0 - 274.6] 而且得沾前顾后考虑到很多因素
[274.6 - 276.1] 但如果把时间拉长的话
[276.1 - 278.1] 它自己也会受到非常严重的影响的
[278.1 - 279.5] 其实现在已经是了
[279.5 - 281.5] 因为它的油确实出不去
[281.5 - 282.4] 那在我来看
[282.4 - 284.6] 伊方也是应该非常清楚这一点的
[284.6 - 287.0] 而它赌的就是中期选举前
[287.0 - 290.7] 美方对于国际原油价格必须要充分考虑
[290.7 - 292.7] 最后其实他们双方都很清楚
[293.0 - 295.5] 他们是不可能通过所谓的谈判
[295.5 - 297.2] 去解决根本性的问题的
[297.2 - 299.7] 而现在这个阶段其实就是经济
[299.7 - 301.5] 金融和能源的博弈
