[0.0 - 2.2] 昨天的视频我们跟大家具体分享了
[2.2 - 5.3] 在前天晚上日本央行卖出了美元
[5.3 - 7.8] 买入了日元干预了日元的汇率
[7.8 - 13.2] 与此同时美国货币当局进行了汇率检查这一金融和武器
[13.2 - 16.3] 那昨天晚上日本央行是再一次的干预了日元汇率
[16.3 - 19.4] 与此同时美国财政部也再一次的出手了
[19.4 - 22.9] 财政部通过纽连储让他通知多家银行
[22.9 - 26.2] 要对接下来的相关行为做出应对
[26.2 - 27.9] 那这里所说的未来的行动
[27.9 - 31.0] 就是在他们前一晚上进行了汇率检查之后
[31.0 - 34.3] 有可能真实去采取实际的措施
[34.3 - 35.5] 好 那这个消息一出来
[35.5 - 37.8] 大家可以看图日元汇率瞬间升值
[37.8 - 38.4] 为什么呢
[38.4 - 41.0] 因为在前一晚的汇率检查之后
[41.0 - 44.4] 大家看到日元汇率是有所回落的
[44.4 - 46.3] 也就是说还是有空头
[46.3 - 50.2] 去对接下来美方是不是会真的采取行动
[50.2 - 51.1] 画一个问号
[51.1 - 53.6] 而当第二天美国财政部要求这些银行
[53.6 - 56.1] 要对未来的行动提前做好准备的话
[56.1 - 59.2] 也就意味着他是要跟大家说我没有在开玩笑
[59.2 - 62.6] 另外美国要求的是查欧元对日元的汇率
[62.6 - 67.1] 也就是说不排除他们会卖欧元去买日元
[67.1 - 71.1] 所以大家看到欧元对日元也是大幅挑水的
[71.1 - 72.8] 好到这有一件有意思的事情
[72.8 - 75.0] 就是路透社拍到了一张照片
[75.0 - 80.3] 是贝森特的记事本上写到了50到100美元买入日元
[80.3 - 83.6] 好如果记忆力比较好的朋友应该还记得在几个月前
[83.6 - 87.0] 其实有过一次变迁事件
[87.0 - 88.6] 当时贝森特就说
[88.6 - 92.3] 我完全可以为了让他们去拍到一些事情
[92.3 - 93.6] 去写一些东西
[93.6 - 97.7] 所以这到底是路透社真的有能力去拍到了
[98.0 - 100.3] 还是贝森特故意让他们拍到的
[100.4 - 102.2] 但不管怎么样被拍到
[102.2 - 104.0] 并且让他们去进行传播
[104.0 - 106.8] 其实就是想让更多的市场参与者知道
[106.8 - 109.3] 美国接下来是要采取行动的
[109.3 - 110.6] 好 新闻后面说到了
[110.6 - 112.6] 美方确实是卖了欧元
[112.6 - 115.1] 买了日元的 好 那我们从美元指数
[115.1 - 117.6] 欧元对日元的汇率 美元对日元的汇率
[117.6 - 119.6] 基本上可以推断 昨天晚上
[119.6 - 121.8] 美日应该是联合出手的
[121.8 - 123.8] 这其实意味着30年来
[123.8 - 127.4] 美日首次联合操作去支持日元
[127.4 - 129.4] 好 在这我们要给朋友们解释一个概念
[129.4 - 131.7] 就是昨天的视频 很多朋友就问
[131.7 - 134.5] 美国这么做算不算汇率操纵国
[134.5 - 136.4] 首先汇率操纵国
[136.4 - 139.4] 这没有一个全球的官方性的定义的
[139.4 - 141.4] 现在全世界的这些国家
[141.4 - 143.6] 普遍接受的一种理解就是
[144.0 - 145.9] 美国根据他自己国内的法律
[145.9 - 147.3] 去判定他的贸易伙伴
[147.3 - 150.0] 是不是有通过压低本币汇率
[150.0 - 153.2] 从而去获得贸易不公平优势的
[153.2 - 154.4] 这么一个标签
[154.4 - 157.0] 所以主要指向的是他的贸易伙伴的
[157.0 - 158.2] 货币的贬值
[158.2 - 159.5] 好到这肯定会有朋友说
[159.5 - 161.3] 凭什么他定义什么就是什么
[161.7 - 164.2] 他这样去干预日元的汇率
[164.6 - 166.9] 为什么不能说他们就是在操纵汇率
[167.2 - 169.0] 在这方面我认为大家都是可以有
[169.0 - 170.4] 自己的理解和见解的
[170.4 - 172.7] 前面对于汇率操纵国的介绍
[172.7 - 175.0] 只是希望跟大家去分享
[175.0 - 177.2] 现在整个国际金融市场上
[177.2 - 179.9] 对这个概念到底是普遍怎么定义的
[179.9 - 181.9] 另外全世界基本上所有的国家
[181.9 - 184.2] 都可以对自己本国货币的汇率
[184.2 - 185.7] 进行相应的干预的
[185.7 - 188.8] 主要方式其实就是通过卖美元
[188.8 - 192.5] 或者买美元反向操作本币所进行实现的
[192.5 - 195.2] 好 如果我们把目光转向美国自身
[195.2 - 196.8] 他在这几十年来
[196.8 - 199.4] 对于他自己本币干预少了
[199.4 - 201.6] 所以我们看到的是它在干预日元
[201.6 - 203.4] 而且按照前面的信息
[203.4 - 207.8] 不排除这其中是以用卖欧元为主的形式
[207.8 - 208.9] 去进行操作的
[208.9 - 209.6] 好 除此之外
[209.6 - 211.5] 我们看到最新日本财务省
[211.5 - 213.7] 公布了一个很重要的新的信息
[213.7 - 214.8] 他们的财务省说
[214.8 - 216.8] 日本货币当局还有多项工具
[216.8 - 219.2] 其中包括酌情使用美联储的
[219.2 - 223.4] 外国及国际货币当局常设回购机制
[223.4 - 225.7] 这是一个以美国国债为抵押品
[225.7 - 228.3] 向美联储去抵押美债
[228.3 - 230.6] 借出现金的一个重要管道
[230.6 - 231.9] 那约定在未来
[231.9 - 234.6] 通常是隔夜或者7天进行回购
[234.6 - 236.1] 并且支付相应的利息
[236.1 - 236.8] 也就是说
[236.8 - 239.3] 日本在不卖美债的前提下
[239.3 - 242.5] 去进行对自己本国货币的保护工作
[242.5 - 244.5] 那这个工具是在2020年3月的时候
[244.5 - 245.4] 美联储设立的
[245.4 - 247.7] 主要就是应对当时疫情期间
[247.7 - 249.5] 对于全球金融市场的冲击
[249.5 - 251.9] 以及美元流动性紧张的问题
[251.9 - 253.5] 到了2021年7月的时候
[253.5 - 255.6] 美联储就把这个临时性的措施
[255.6 - 257.7] 升级为常设的政策工具了
[257.7 - 261.6] 主要目的就是为了巩固全球金融的安全网
[261.6 - 266.5] 日本央行它本身就有美联储最高优先级的美元货币互换协议的
[266.5 - 270.8] 所以它是可以通过互换直接去获取大规模的美元现金的
[270.8 - 274.6] 在这个时候日本的财务省特别要提出这个工具
[274.6 - 279.7] 其实也是想跟不管是国内国际还是美国去说
[279.7 - 281.9] 接下来如果再干预的话
[281.9 - 284.7] 我不会去选择抛美债
[284.7 - 287.3] 虽然我们不知道这个时候他要说这件事情
[287.3 - 289.1] 是它完全出于主动的
[289.1 - 291.8] 还是美国在某方面去授意的
[292.2 - 293.8] 那目的其实是很明确的
[293.8 - 298.0] 首先就是防止美债接下来有可能被进一步的抛售
[298.0 - 300.2] 试想一下如果当市场认为
[300.2 - 304.2] 接下来日本确实是还会进一步的去干预日元汇率
[304.4 - 306.7] 那不排除就会有一些人
[306.7 - 308.2] 以及越来越多的人认为
[308.2 - 310.6] 有没有可能他接下来就要抛美债呢
[310.6 - 312.3] 那如果这种想法散布开来
[312.3 - 315.1] 不排除接下来有一些市场参与者
[315.1 - 317.0] 会提前去做这件事情的
[317.0 - 320.1] 那么再接下来就不排除后边又会有新的跟随者
[320.4 - 323.3] 这样的话就会导致美债价格暴跌
[323.3 - 324.6] 美债收益率飙升
[324.6 - 327.6] 然后就会引发美国甚至全球的债市巨震
[327.9 - 331.8] 而如果引入了这个只借不卖
[332.0 - 333.9] 那风险就会大幅下降的
[333.9 - 335.5] 第二即使在周末了
[335.5 - 339.0] 日本当局也要把这个重要的信息释放给全球
[339.3 - 342.7] 其实就是想告诉市场上的这些汇率参与者
[342.7 - 344.0] 尤其是那些空头
[344.0 - 348.2] 那日本当局有想法有方法以及有资金
[348.2 - 350.4] 从而希望能够提前去打消市场上
[350.4 - 353.0] 有一部分还认为日本当局
[353.0 - 355.2] 比如有可能货币资金不足
[355.2 - 359.0] 第二干预能力不够强的这些空头的猜测
[359.0 - 362.4] 好 那我们再说回来这一次美日的协同干预
[362.4 - 365.6] 为什么美国在这个时候必须要出手呢
[365.6 - 367.4] 第一也是最现实最直接的
[367.4 - 371.1] 日本是美国最大的国债购买方
[371.1 - 374.0] 如果接下来日元还进一步的恶化的话
[374.0 - 376.0] 那对于日本来说
[376.0 - 378.0] 即使不想卖美债
[378.0 - 380.5] 他可能也不得不去卖美债
[380.5 - 382.5] 因为如果接下来真的要干预汇率市场
[382.5 - 384.0] 并且达到效果的话
[384.0 - 386.0] 确实要有足够的资金
[386.0 - 387.5] 去应对这些空头的
[387.5 - 388.5] 而对于美国来说
[388.5 - 390.0] 现在美债的发行量
[390.0 - 391.0] 处于历史的高位
[391.0 - 394.0] 他们希望的是降低借贷成本
[394.0 - 396.5] 而如果接下来美债收益率不断的攀升
[396.5 - 398.0] 对于美国发债成本来说
[398.0 - 399.5] 就是显著的增长了
[399.5 - 400.0] 第二
[400.0 - 402.0] 那昨天我们的视频也跟大家分享了
[402.0 - 406.8] 这一次美日联合干预汇率是在前两天美联储的一期会议上
[406.8 - 408.8] 维持利率不变
[408.8 - 413.9] 以及下一次日本央行有可能的利率会议上
[413.9 - 416.6] 进行加息中间所进行的
[416.6 - 419.2] 如果接下来一段时间日元持续贬值
[419.2 - 421.1] 到了央行的会议上
[421.1 - 423.2] 日本来了一个暴力加息的话
[423.2 - 426.2] 那么日元有可能要触发极端的均值回归
[426.2 - 429.6] 从而会导致数万亿美元套利交易
[429.6 - 433.0] 在非常短的时间剧烈震荡而且平仓
[433.0 - 436.6] 也就是那些之前借日元买美元的资金
[436.6 - 438.7] 被迫要卖掉美元资产
[438.7 - 440.9] 买回日元去进行还债
[440.9 - 443.2] 那这种情况就会直接引发美股
[443.2 - 445.6] 以及全球资本市场出现闪崩
[445.6 - 449.0] 所以这一次美国去协助日本稳定汇率
[449.0 - 453.2] 也是希望能够引导日元贬值去进行软着陆
[453.2 - 455.2] 第三 昨天的视频我们也分享了
[455.2 - 457.8] 这一次其实是美日韩三方
[457.8 - 459.8] 在汇率上有所協同行動的
[459.8 - 461.4] 所以在我理解這其實表明著
[461.4 - 464.8] 美國正在把外匯匯率去納入它的
[464.8 - 466.5] 全球地緣經濟以及
[466.5 - 468.5] 陣營防線的整體框架中
[468.5 - 471.1] 那我們知道日圓是影子美元
[471.1 - 474.6] 穩定日圓其實也就是穩定整個
[474.6 - 477.4] 西方金融體系的那個重要的互成和
[477.4 - 480.8] 我們知道日本是美國在整個亞太地區
[480.8 - 482.2] 首先重要的盟友
[482.2 - 483.6] 第二重要的供應鏈
[483.6 - 485.7] 因為日本有大量的原材料
[485.7 - 487.0] 以及能源都是進口的
[487.0 - 490.1] 所以當日圓接下來持續的貶值的話
[490.1 - 493.7] 那麼日本會陷入非常嚴重的輸入性通脹的
[493.7 - 497.8] 從而會壓垮它國內的消費和重要的企業投資的
[497.8 - 500.2] 所以美國出手日本其實也是要保護
[500.2 - 502.7] 美國在日本重要的地緣經濟價值
[502.7 - 504.2] 第五我們再往深想一想
[504.2 - 507.7] 日圓現在是全球第四大支付與儲備貨幣
[507.7 - 510.6] 如果放任它不斷的去貶值甚至暴跌
[510.6 - 513.8] 那麼日圓就會進一步的失去它的國際信用的
[513.8 - 515.5] 那么我们想一想全球的国际贸易
[515.5 - 517.4] 以及央行的储备资产
[517.4 - 520.6] 是不是就要找其他相关的替代货币呢
[520.6 - 524.0] 尤其是像中东 东南亚以及新兴市场
[524.0 - 525.3] 所以说的直白一点
[525.3 - 526.4] 美日深知
[526.4 - 528.2] 必须要维持日元
[528.2 - 530.2] 作为西方地缘经济阵营
[530.2 - 532.5] 在亚太核心的制主地位
[532.5 - 534.6] 所以联合干预去帮助日元
[534.6 - 537.1] 其实就是想跟全球市场去说
[537.1 - 539.0] 日元背后是由美联储
[539.0 - 541.1] 以及美国财政部的终极背数
[541.1 - 542.6] 从而去遏制资金
[542.6 - 547.8] 向其他一些有可能形成替代货币流向的这个趋势
[547.8 - 550.4] 好 那到这 昨天我们的视频其实也跟大家分享了
[551.0 - 555.2] 美元和日元之间现在最核心的问题就是利差
[555.6 - 557.6] 那当下的干预
[557.8 - 560.2] 首先前天是情绪上的
[560.3 - 563.2] 当然昨天可能美国确实是实际出手了
[563.4 - 566.8] 但这是不是能够在接下来很长一段时间
[566.9 - 568.4] 达到它的相关目的呢
[568.5 - 569.8] 当利差一直存在
[569.8 - 573.0] 這種錢的逐利性是很難迴避的
[573.0 - 578.8] 所以唯一往下的趨勢就是美國降息或者日本加息
[578.8 - 582.9] 那他們兩方分別在國內去解決相關問題
[582.9 - 584.8] 這件事情上都準備好了嗎
[584.8 - 586.5] 好 那最後我們整體總結一下
[586.5 - 589.1] 這兩天美日聯合去干預日本的匯率
[589.1 - 590.5] 確實是一個突發事件
[590.5 - 594.2] 雖然市場當下的反應有不小的比例是情緒的反應
[594.2 - 598.0] 但對於我們思考這個問題是要看的更遠一些的
[598.0 - 601.8] 这其实不仅是对于日元汇率空头的防御战
[601.8 - 603.5] 在大国博弈的现实背景下
[603.5 - 608.0] 它其实是美日经济安全金融安全战略的延续
[608.0 - 609.2] 通过保护日元
[609.2 - 612.2] 美国可以保护自己的美债以及美股
[612.2 - 614.7] 而更重要的是防止日元汇率失控
[614.7 - 616.5] 从而催化其他一些货币
[616.5 - 620.9] 在区域金融秩序以及国际地位上的快速提升
[620.9 - 622.9] 那就像今天直播的时候跟大家分享的
[622.9 - 623.6] 在我看来
[623.6 - 626.1] 美日联合干预日元这件事情
[626.1 - 630.3] 应该就是全面金融博弈重要的开启点了
