[0.1 - 6.0] 大家应该看到了今天最重要的一件事情就是高市政府明确了支持日本央行加息。
[6.0 - 12.1] 这件事情可不能随意就这么划过了。央行相关的过濒政策是独立的。
[12.1 - 15.1] 高市政府之前可从来没有过这样的表态。
[15.1 - 20.1] 它以前一直说的是让央行去做央行该做的事情,支持他们的努力性。
[20.1 - 24.1] 也就是说以前主要是贝森特给偏山高越施压。
[24.1 - 26.5] 其实从去年的10月份开始
[26.5 - 30.3] 贝森特已经就非常明确的跟天生高月说了
[30.3 - 34.9] 接下来你们应该推进的是稳步的有序的去假期
[34.9 - 39.3] 但是拖拖拖拖拖拖拖到现在这样一个非常烂的结果
[39.3 - 42.9] 而现在应该不仅是贝森特对于天生高月的施压
[42.9 - 46.1] 还叠加了特对于高市政府的施压
[46.1 - 48.1] 好 再往后会演变成什么样呢
[48.1 - 51.5] 也就是说日本的货币政策会越来越不独立
[51.5 - 55.1] 会越来越跟美国的货币政策绑定在一起
[55.1 - 57.3] 也就是之前这个视频我们跟大家分享的
[57.3 - 59.3] 接下来他们不仅是军事同盟
[59.3 - 61.5] 而会扩展到货币同盟
[61.5 - 65.8] 那加息就意味着日本政府的债务利息要不断的增加了
[65.8 - 67.1] 那钱从哪来呢
[67.1 - 69.3] 我理解接下来主要是两个方面
[69.3 - 74.2] 第一 日本接下来会成为美国非常重要的军事代表库
[74.2 - 76.1] 其实从今年上半年开始
[76.1 - 79.1] 日本已经在帮美国生产矮骨折导弹了
[79.1 - 81.1] 那接下來很重要的一部分
[81.1 - 82.7] 我想應該是無人機
[82.7 - 85.5] 那另外一部分我理解就是半導體加芯片領域了
[85.5 - 87.0] 我們可以看一下這個信息
[87.0 - 88.4] 日本外部的資金
[88.4 - 90.2] 包括像台積電
[90.2 - 92.4] 美光以及以色列的千官資本
[92.4 - 95.2] 現在都在加大對於日本芯片的投資
[95.2 - 97.9] 最後還是我們之前很早就跟大家分享了
[97.9 - 99.2] 去思考日的問題
[99.2 - 100.5] 單獨去想它
[100.5 - 101.8] 是沒有太大意義的
[101.8 - 105.5] 是需要它和美放在一起整體思考的
[105.5 - 107.5] 另外就是前兩天在這個視頻里
[107.5 - 109.3] 分享的这个非常重要的信息
[109.7 - 110.7] 大家不要错过
[111.0 - 113.3] 片山高越表明每日一致认为
[113.5 - 115.3] 这么多年以来的日元套利交易
[115.5 - 117.3] 更多的是投机行为
[117.5 - 119.8] 而不是实际需求的行动
[119.9 - 120.9] 那我们就要思考了
[121.1 - 123.7] 是不是在未来日元套利交易的规模
[124.0 - 124.5] 逻辑
[124.8 - 126.5] 都要逐渐都改变
