[0.0 - 3.1] 为什么这两天美国即使响但也不能打伊朗?
[3.1 - 6.4] 即使伊朗态度比较强硬,美国也得忍。
[6.4 - 10.9] 之前这个视频跟大家分享,在我理解最大的原因就是日元。
[10.9 - 13.1] 当时可能有一些朋友还不是特别理解。
[13.1 - 17.4] 但在我来看,昨天晚上美国财政部长贝森特的发言应该是印证了这件事情的。
[17.4 - 21.4] 为什么这一次是美国财政部长贝森特在第一时间跳出来
[21.4 - 24.6] 跟全世界说霍尔姆斯海峡应该很快就要开放了?
[24.6 - 28.3] 他真正看重的根本不是美伊所谓的达成什么协议,
[28.3 - 30.3] 而是霍爾姆斯海峽要開放
[30.3 - 32.3] 能源價格必須降下來
[32.3 - 34.9] 或者是說要讓國際能源價格進一步的降下來
[34.9 - 36.3] 因為我們都很清楚
[36.3 - 38.8] 日本是嚴重依賴能源進口的
[38.8 - 41.3] 而霍爾姆斯海峽對於日本來說
[41.3 - 45.1] 在戰前依賴程度是高達95%
[45.1 - 46.6] 當然從3月份之後
[46.6 - 50.8] 它就開始大量從美國、非洲購買原油了
[50.8 - 53.3] 但不管怎麼樣這會面臨著成本的上漲
[53.3 - 54.6] 時間的拉長
[54.6 - 57.9] 所以對於輸入性通脹這件事情
[57.9 - 59.5] 日本是很難擺脫的
[59.5 - 63.1] 而我們知道美國一般是不會動用自己的相關貨幣儲備
[63.1 - 65.9] 去直接干預其他國家的貨幣的
[65.9 - 69.7] 那這一次的美日聯手去干預日圓匯率
[69.7 - 71.3] 其實是非常非常罕見的
[71.3 - 74.3] 舉個例子就像上一屆的財政部長耶倫
[74.3 - 77.1] 他當時其實對於日圓匯率也不太滿
[77.1 - 80.9] 但基本上都是口頭貫切而不會付出行動
[80.9 - 83.7] 而昨天貝森特也毫不掩飾的明確了兩個態度
[83.7 - 85.7] 第一就是那個小便條
[85.7 - 89.3] 也就是上面写着要购买日元的小便条
[89.3 - 91.0] 就是故意要让记者看到的
[91.0 - 93.7] 这跟我们之前在这个视频里跟大家分享的
[93.7 - 94.7] 是基本一致的
[94.7 - 97.9] 第二 稳定的日元对于美国以及整个亚洲
[97.9 - 98.9] 都是非常重要的
[99.2 - 101.2] 那对于美国的重要性
[101.2 - 104.4] 前面这个视频关于日元是影子美元
[104.4 - 106.0] 大家可以再去重温一下
[106.0 - 107.2] 那对于亚洲的重要性
[107.2 - 108.2] 其实他昨天也说到了
[108.2 - 110.7] 就是如果日元再继续贬值
[110.7 - 113.2] 那么对于亚洲的其他货币
[113.2 - 114.6] 也有相关的贬值风险
[114.6 - 116.2] 原因就是在他理解
[116.2 - 119.1] 98年的金融危機之所以會快速蔓延
[119.1 - 121.2] 其中有一個很重要的原因
[121.2 - 122.9] 就是日圓的變值
[122.9 - 126.4] 以及沒有辦法支撐整個地區的經濟穩定
[126.4 - 129.1] 除此之外這一次美國協助支撐日圓
[129.1 - 132.6] 還有一個讓整個國際金融界感到非常意外的
[132.6 - 136.0] 就是他並沒有選擇去賣美元買日圓
[136.0 - 138.1] 而是賣歐元去買日圓
[138.1 - 141.0] 並且明確了這件事情其實是跟歐洲有溝通的
[141.0 - 145.4] 而且也跟欧洲保证了这只是储备资产的重新配置
[145.4 - 148.6] 那一方面呢是不希望自己的欧洲盟友恐慌
[148.6 - 152.0] 另外就是对于未来的预期给予一定的安抚
[152.0 - 154.6] 那之所以是卖欧元而不是卖美元
[154.6 - 156.8] 它动用的是美国的外汇凭准基金
[156.8 - 159.4] 其实整个国际金融界都是比较意外的
[159.4 - 163.4] 可能只有像贝森特这种从30岁到现在
[163.4 - 165.8] 不管是成功狙击过英镑
[165.8 - 169.6] 还是狙击过日元一线的对冲基金高手
[169.6 - 170.6] 才会想出来的
[170.6 - 174.0] 那这样做很现实的影响就是尽可能的降低
[174.2 - 176.0] 对于美元本币的冲击
[176.5 - 178.3] 因为如果卖了美元
[178.6 - 179.3] 那不排除
[179.6 - 181.9] 大家对于整个美国接下来的
[182.2 - 183.2] 抢美元的思路
[183.4 - 184.0] 会画问号
[184.0 - 185.0] 甚至不排除
[185.2 - 187.5] 又会有新的市场参与者
[187.8 - 188.8] 进行跟进抛售的
[188.8 - 190.1] 那么之前不管是
[190.1 - 191.4] 贝森特还是卧食
[191.6 - 192.7] 抢美元的思路
[192.9 - 193.9] 就会大打折扣的
[194.2 - 196.2] 美国在当下不得不出手支撑日元
[196.5 - 198.5] 那支撑日元其实就是
[198.8 - 199.3] 保护
[199.6 - 200.1] 美股
[200.1 - 202.9] 美债以及更背后的美元体系
[202.9 - 205.4] 所以如果这个时候真的打了伊朗
[205.4 - 207.5] 那么国际农业价格一定会飙升的
[207.5 - 211.7] 那么对于日本不管是输入性通胀问题的解决
