[0.0 - 2.5] 为了让朋友们能够更加清晰地理解
[2.5 - 5.5] 为什么美国在当下必须要出手救日元
[5.5 - 8.1] 有一个概念是需要非常清楚的
[8.1 - 10.4] 就是日元是影子美元
[10.4 - 13.1] 那这条视频我们就把影子美元这件事情
[13.1 - 14.1] 跟大家好好说一说
[14.1 - 17.6] 日元成为影子美元不是一朝一夕的事情
[17.6 - 20.3] 而其实是这近半个多世纪以来
[20.3 - 22.8] 美日、政治博弈、金融自由化
[22.8 - 26.3] 以及日本本土经济结构的重要变化
[26.3 - 27.6] 所共同形成的
[27.6 - 30.4] 第一阶段1949年到1971年
[30.4 - 33.4] 我们可以把它解读为美元的附属期
[33.4 - 34.2] 二战之后
[34.2 - 35.7] 布雷顿森林体系之下
[35.7 - 38.8] 一美元固定360日元的兑换
[38.8 - 39.7] 所以这个阶段
[39.7 - 42.7] 日元就是完全在美元体系之下的
[42.7 - 43.6] 出口附庸了
[43.6 - 46.2] 结果就是日本凭借着极低的固定汇率
[46.2 - 47.5] 把日本的商品
[47.5 - 49.4] 以非常高的性价比
[49.4 - 50.4] 倾销到美国
[50.4 - 52.0] 然后日本就获得了
[52.0 - 53.5] 战后经济发展的奇迹
[53.5 - 54.5] 二战刚结束的时候
[54.5 - 55.6] 美国对日本的态度
[55.6 - 57.4] 惩罚加非军事化
[57.4 - 62.7] 而且都要把各种日本的重工业都要拆除进行战争赔偿
[62.7 - 65.2] 但后来全球地缘政治发生了巨变
[65.2 - 67.5] 第一就是东亚格局的巨变
[67.5 - 69.2] 由国民党政府面临的溃败
[69.2 - 71.7] 以及朝鲜半岛局势的急剧恶化
[71.7 - 72.8] 在这样的大背景下
[72.8 - 75.0] 杜鲁门政府不得不做出战略调整
[75.0 - 76.4] 停止惩罚日本
[76.4 - 79.2] 那目的就是要把它打造为在亚洲的反共堡垒
[79.2 - 82.4] 以及在资本主义阵营的重要工业支柱
[82.4 - 83.8] 而且在二战结束初期
[83.8 - 86.8] 日本那个时候面临着非常严重的恶性通胀
[86.8 - 88.1] 工业生产几乎瘫痪
[88.1 - 92.3] 所以它每年要靠着美国数亿美元的资金进行支持
[92.3 - 94.2] 所以美国需要一个经济独立的
[94.2 - 96.2] 并且在亚洲可以配合自己的
[96.2 - 98.8] 而不是给自己拖后腿的一个日本
[98.8 - 102.4] 于是就有了在1949年推出的到期路线
[102.4 - 105.0] 那核心就是要给日本设定一个统一的
[105.0 - 107.5] 并且极具竞争力的固定汇率
[107.5 - 108.0] 与此同时
[108.0 - 111.3] 之所以美国当时还不担心日本接下来
[111.3 - 113.3] 第一价商品会冲击它本土
[113.3 - 116.2] 原因就是当时美国工业的绝对碾压
[116.2 - 118.1] 1940年代到1950年
[118.1 - 120.9] 美国的GDP占整个全球一半以上
[120.9 - 123.8] 而且它拥有全球最强的制造业能力
[123.8 - 124.9] 所以在美国眼中
[124.9 - 127.2] 日本的这些什么纺织品小商品
[127.5 - 129.8] 对于美国来说没有太多的冲击能力
[129.8 - 132.1] 还有一点就是当时朝鲜战争爆发后
[132.1 - 135.1] 美国是把日本作为它最重要的后勤基地
[135.1 - 136.6] 源源不断的订单刺激
[136.6 - 139.3] 让日本的制造业爆发式的增长
[139.3 - 140.3] 好 接下来第二阶段
[140.3 - 142.6] 1971年到1989年
[142.8 - 145.7] 日元被迫升值以及金融自由化
[145.7 - 147.3] 首先到1960年代末
[147.3 - 150.4] 日本的不管是纺织品汽车电子产品
[150.4 - 153.1] 凭借着低汇率大量倾销到美国
[153.1 - 155.2] 美国出现了严重的贸易逆差
[155.2 - 157.9] 美国意识到如果再不管这件事情
[157.9 - 160.6] 那么对于日本的扶持政策
[160.6 - 162.8] 很有可能接下来就会演变为
[162.8 - 164.8] 在美国眼里的不公平竞争了
[164.8 - 167.2] 到了1971年布雷顿森林体系解体
[167.2 - 169.7] 这固定汇率也就从此打破了
[169.7 - 172.1] 日元由此进入到了浮动汇率时代
[172.1 - 174.7] 然后就是到1985年
[174.7 - 176.4] 美国日本签订广场协议
[176.4 - 178.5] 强行推升日元大幅升值
[178.5 - 182.2] 从1比240一路升到1比120
[182.2 - 183.0] 甚至更高
[183.0 - 184.5] 我们知道面对日元升值
[184.5 - 185.6] 对出口的打击
[185.6 - 188.8] 日本政府是推出了非常宽松的货币政策
[188.8 - 190.1] 并且更重要的是
[190.1 - 191.6] 开放了资本账户
[191.6 - 193.0] 取消了外汇管制
[193.0 - 196.3] 这就使得日元可以自由出入国际市场
[196.3 - 199.4] 为接下来日元在全球充当借贷货币
[199.4 - 200.8] 奠定了制度基础
[200.8 - 204.0] 由此这影子根基也就开始确立了
[204.0 - 205.3] 好 接下来第三阶段
[205.3 - 207.1] 1990年到2000年
[207.1 - 209.0] 把它称为泡沫破裂
[209.0 - 210.9] 以及套利交易的诞生
[210.9 - 211.8] 90年代初
[211.8 - 213.3] 日本资产泡沫破裂
[213.3 - 215.3] 经济陷入了长期的通缩
[215.3 - 216.3] 为了刺激经济
[216.3 - 218.8] 日本央行在1999年
[218.8 - 220.1] 推出了零利率
[220.1 - 221.5] 并且量化宽松
[221.5 - 222.4] 好 那在这个阶段
[222.4 - 225.0] 是金融全球化的高潮阶段
[225.0 - 227.9] 而华尔街发现了一个重要的漏洞
[227.9 - 229.0] 或者是说红利
[229.0 - 232.0] 也就是借入日元的利息幾乎為零
[232.0 - 236.6] 於是乎大量的國際資本以非常低的成本去借入日元
[236.6 - 238.7] 然後再賣出日元換成美元
[238.7 - 241.5] 在全球去做多高收益的資產
[241.5 - 244.6] 由此日元就正是在全球的金融體系中
[244.6 - 246.6] 成為美元的墊腳石
[246.6 - 249.3] 而且是加了槓桿的墊腳石
[249.3 - 253.0] 好 接下來2013到2023深度綁定階段
[253.0 - 255.3] 日本央行行長黑田東彥上任之後
[255.3 - 257.8] 開啟了極度的貨幣寬鬆政策
[257.8 - 260.1] 他印钞购买大量的日本国债以及ETF
[260.4 - 264.0] 把十年期日债的收益率死死的压在低位
[264.0 - 267.8] 后来我们知道到2022年美联储为了遏制通胀
[268.1 - 269.4] 开始大幅加息
[269.4 - 270.4] 2022年3月
[270.6 - 273.7] 美联储的利息是0到0.25%
[273.7 - 275.2] 之后开启了大幅加息
[275.5 - 278.1] 到2023年7月的时候利率就是
[278.3 - 280.6] 5.25%到5.5%了
[280.9 - 282.7] 而日本央行的长期维持
[282.9 - 283.4] 负
[283.7 - 285.0] 0.1%的利率
[285.0 - 286.8] 直到2024年3月的时候
[286.8 - 288.8] 才结束了负利率的时代
[288.8 - 289.9] 所以这也就意味着
[289.9 - 292.6] 每日之间的隔夜政策利率差
[292.6 - 294.3] 从之前的0%左右
[294.3 - 296.1] 来到了5.5%
[296.1 - 296.9] 与此同时
[296.9 - 300.5] 双方10年期国债收益率的利差
[300.5 - 302.7] 也来到了4.5%的高位
[302.7 - 307.8] 所以这也就导致全球借日元买美元资产的套利交易的规模
[307.8 - 309.2] 也来到了历史的高位
[309.2 - 310.8] 根据国际清算银行
[310.8 - 313.4] 以及像瑞银巴克莱银行的估计
[313.4 - 316.0] 现在日元的套利交易的规模
[316.0 - 318.9] 在1万亿到4万亿美元之间
[319.1 - 320.7] 这是涵盖跨境银行借贷
[320.7 - 321.6] 衍生品市场
