[0.0 - 5.2] 大家应该看到了,由于国际原油价格一升,压力又重新给到了日元汇率了。
[5.2 - 9.5] 那左外油价涨的主要原因第一就是,野门胡塞又对沙特出手了。
[9.5 - 21.5] 第二就是,沙特方面认为接下来胡塞、伊拉克民兵以及伊的革命卫队正在协调之后对于沙特的打击,而且要打经济基础设施,也就是能源和港口。
[21.5 - 26.5] 而且沙特说的很直接,这种行为就是要破坏降级以及外交的努力。
[26.5 - 30.7] 也说了现在E的内部斗争非常激烈
[30.7 - 36.7] 那还有一个原因就是我们知道E、R之间现在就霍尔木斯海峡新的操作方式
[36.7 - 39.7] 正在努力往达成协议的方向去推进
[39.7 - 44.7] 但对于行业人士来说这里边其实是有两个非常现实的bug
[44.7 - 49.7] 因为之前美是已经对于E的波斯湾海峡管理局进行制裁了
[49.7 - 55.7] 所以对于一个已经制裁的单位其他相关方怎么跟他合作呢
[55.7 - 61.3] 第二就是之前也有了規定所有對於這些過霍爾木斯海峽的船隻如果對於
[61.7 - 64.2] 一支付了相關的費用 不管是什麼費用
[64.7 - 69.2] 那麼保險條款就會作廢 所以這也就意味著一啊 即使能達成協議
[69.7 - 76.7] 和接下來的實操協議中間還是有距離的 那國際原油價格一漲大家應該看到可是非常著急的
[77.3 - 80.8] 首先站出來跟大家說 現在的談判啊還是在順利推進的
[80.8 - 85.2] 第二就说现在霍尔木斯海峡某种程度上是开放的
[85.2 - 86.6] 而且是我们控制的
[86.6 - 88.4] 所以这也就其实进一步的反映出
[88.4 - 91.8] 对于要压住国际原油价格这件事情
[91.8 - 95.6] 在当前对于美的这套班子是非常重要的
[95.6 - 98.6] 否则就是我们现在看到的国际原油价格上涨
[98.6 - 102.8] 从而导致日本汇率又开始逐步往上攀升了
[102.8 - 106.4] 而我们其实很清楚现在在整个中东这一块暂时并没有停
[106.4 - 109.1] 不管是以色列對加沙
[109.1 - 111.6] 以色列對於黎巴嫩的真主黨
[111.6 - 112.7] 都是在持續的
[112.7 - 113.5] 與此同時
[113.5 - 114.1] 一方面
[114.1 - 116.0] 對於美軍在中東的軍事基地
[116.0 - 117.6] 還是會時不時的騷擾一下的
[117.6 - 118.7] 另外就是我們看到的
[118.7 - 119.8] 一支持的胡塞武裝
[119.8 - 120.9] 現在這段時間
[120.9 - 122.3] 跟沙特之間的局勢
[122.3 - 123.7] 是有可能升級的
[123.7 - 124.4] 而這一切呢
[124.4 - 126.5] 都會非常敏感的去傳導到
[126.5 - 127.6] 國際援油價格上
[127.6 - 128.4] 所以在我來看
[128.4 - 129.5] 美方接下來是必須要
[129.5 - 131.1] 盡快的去做出抉擇了
[131.1 - 133.5] 因為如果一方越來越清晰的感受到
[133.5 - 135.7] 美方為了能夠在一段時間
[135.7 - 138.0] 幫助日本維持好日圓匯率
[138.0 - 140.2] 必須要壓國際原油價格的話
[140.2 - 141.2] 那對於一方來說
[141.2 - 143.7] 接下來不管是在霍爾木斯海峽的問題上
[143.7 - 145.5] 會不斷的往前試探
[145.5 - 146.6] 另外就是這兩天
[146.6 - 148.1] 伊革命衛隊非常重要的這個人物
[148.1 - 150.0] 瓦西迪最新的表態說
[150.0 - 152.4] 只要美以有核武器
[152.4 - 156.0] 那麼我們也要推進相關的核武器的工作
[156.0 - 159.5] 這在以前是從來沒有如此清晰的態度的
[159.5 - 161.7] 所以如果接下來美方的態度還是
[161.7 - 162.8] 猶豫不決
[162.8 - 165.0] 那麼不管是在霍爾木斯海峽的問題上
[165.0 - 166.3] 还是在核武器的问题上
[166.7 - 168.8] 它的谈判空间会越来越小的
[169.2 - 171.0] 当然在这儿确实有一种情况就是
[171.0 - 173.7] 为了能够在阶段性的保护好日元汇率
[174.2 - 175.7] 要把国际原油价格压住
[176.1 - 177.5] 先稳住一
[177.9 - 180.9] 不管是对于一些可能比较憋屈的条款
[181.2 - 184.6] 以及一方可能比较肆无忌惮的言论
[185.1 - 187.3] 对于他来说都先阶段性的忍让
[187.3 - 188.6] 然后在接下来的一段时间
[188.6 - 191.1] 海湾国家的这些原油加快流出
[191.7 - 193.0] 一方面压国际原油价格
[193.0 - 194.3] 另外一方面也让日本
[194.3 - 195.9] 今早的補充庫存
[195.9 - 197.7] 从现实层面来看没有问题
[197.7 - 199.7] 但在这里是有一个很大的bug的
[199.7 - 203.3] 就是毕竟特政府接下来要面对中期选举
[203.3 - 205.5] 虽然我们很清楚这种阶段性的条款
[205.5 - 209.3] 双方任何一方都可以在之后一撕毁不认账的
[209.3 - 212.4] 只要是某一方觉得这个条款不利于自己
[212.4 - 213.6] 就会先撕毁
[213.6 - 216.3] 但当这些条款中只要有民主党可以抓住
[216.3 - 217.8] 认为是对美方不利的
[217.8 - 220.1] 他们就可以不断的宣传渲染
[220.1 - 223.8] 从而让特政府的中期选举面对更大的阻力
[223.8 - 227.7] 另外对美方还有一个挑战就是因为日本央行的一些会议
[227.7 - 229.3] 下一次就是9月中旬了
[229.3 - 232.6] 也就意味着从现在到9月中旬这一个多月的时间
[232.8 - 236.6] 美方可能对于日本汇率这件事情都要有所顾忌
[236.7 - 240.2] 所以他们要面对的就是这边要平衡中东别出大的问题
[240.2 - 243.8] 尤其是战时升级导致的国际原油价格的上涨
[244.0 - 248.6] 而这边还要给贝森特以及有可能加沃什一起
[249.1 - 252.5] 对于维护日元汇率重组的空间
[252.5 - 254.7] 十几年前貝森特成功狙擊了日圓
[254.7 - 255.7] 賺了10億美元
[255.7 - 259.5] 而十幾年以後他要親自出手去幫助日圓
[259.5 - 261.5] 這是不是也有點灰色幽默呢
[261.5 - 263.9] 而接下來對於貝森特的挑戰也是比較大的
[263.9 - 267.3] 畢竟十幾年前他的核心目標就是賺錢
[267.3 - 268.5] 而現在呢
[268.5 - 271.5] 還要顧忌中東所導致的有可能
[271.5 - 272.8] 遠遊價格上漲的問題
[272.8 - 274.1] 最後想跟朋友們說的是
[274.1 - 275.5] 在戰場上的各種打仗
[275.5 - 276.5] 各種你來我往
[276.5 - 278.5] 其實大部分我們還都是看得見的
[278.5 - 280.1] 但真正很難看見
[280.1 - 282.3] 或者是說很難及時捕捉的
[282.3 - 286.1] 是金融戰 所以當我們思考當前以及接下來中東這場事件的時候
[286.1 - 288.7] 千萬不要忽略金融這個重要的因素
[288.7 - 291.9] 而且不是局部金融 而是全球化的金融博印
