[0.0 - 5.2] 为什么在事隔28年的今天,美国不得不出手干预日元汇率?
[5.2 - 10.8] 上一次还是1998年金融危机的时候,而现在到底原因是什么?
[10.8 - 16.4] 之前其实有几期我们已经分析了很大一部分,今天我们再往深跟大家说一说。
[16.4 - 22.4] 那在这里其实有一个很重要的知识点,就是全球到底哪里持有最多的美国国债?
[22.4 - 29.6] 那在常规的标准之下,我们知道是日本1.14万亿美元,但还有一个地方很容易被大家忽略,
[29.6 - 30.9] 那就是开曼群岛
[31.1 - 34.1] 如果按照TIC官方的报告的话
[34.3 - 37.6] 这个地方现在持有美债大概4000亿美元
[37.6 - 39.1] 但其实美联储曾经指出
[39.1 - 41.0] 这个规模是被严重低估的
[41.1 - 43.1] 因为它没有办法穿透
[43.1 - 45.8] 回购抵押品追踪所有权
[45.8 - 48.5] 所以如果按照美联储自己的研究估计的话
[48.7 - 53.2] 开曼群岛实际持有1.85万亿美元的国债
[53.2 - 54.8] 那这个其实反映的是
[54.9 - 58.1] 注册在开曼群岛的通过击差交易
[58.1 - 59.7] 持有的美债規模
[59.7 - 62.0] 好 那為什麼4000億美元的官方數據
[62.0 - 64.7] 和它的估算1.85萬億美元
[64.7 - 66.1] 會有這麼大的差距呢
[66.1 - 68.1] 好 那我們通俗給大家解釋一下
[68.1 - 70.5] 這4000億美元相當於
[70.5 - 73.5] 在美聯儲的那個賬本上做了登記
[73.5 - 76.1] 上面標記的是開曼群島
[76.1 - 77.1] 但實際呢
[77.1 - 79.4] 這開曼其實只是代持
[79.4 - 82.1] 而它背後真正的那主
[82.1 - 83.5] 其實是對沖基金
[83.5 - 84.7] 那為什麼代持呢
[84.7 - 86.5] 目的很簡單 就是賺差價
[86.5 - 89.5] 在现券市场上买入美债
[89.5 - 91.0] 比如说利率4%
[91.0 - 93.9] 同时在期货市场上做空美债
[93.9 - 99.3] 而他们把买来的美债抵押给银行借入现金
[99.3 - 101.5] 比如说这融资成本3%
[101.5 - 104.1] 然后他们就可以稳赚这1%的利差了
[104.1 - 106.7] 为了能够快速的去借到资金
[106.7 - 108.3] 美债要抵押给银行
[108.3 - 110.1] 他们在做这件事情的时候
[110.1 - 112.3] 就把名字暂时改成了开板巡道
[112.3 - 114.7] 在抵押期间美债作为抵押品
[114.7 - 116.3] 它在法律上的所有权
[116.3 - 118.5] 会临时过户到银行的名下
[118.5 - 120.6] 美联储在统计的时候一看系统
[120.6 - 123.4] 这一部分是登记在某某银行名下的
[123.4 - 125.0] 它就算银行的了
[125.0 - 128.3] 所以原本属于对冲基金的这笔美债
[128.3 - 132.1] 在美国官方数据上好像就那么消失了
[132.1 - 134.4] 而这一部分变成了银行的持仓
[134.4 - 136.1] 所以美联储估算的这个数据
[136.1 - 139.1] 其实是把抵押的这一部分再加了回去
[139.1 - 141.5] 中间就差了1万多亿美元
[141.5 - 144.9] 所以官方的數據看的是誰登記的
[144.9 - 148.4] 而美聯儲的估算是最後到底誰在出錢
[148.4 - 150.1] 所以登記在開曼群島的美債
[150.1 - 152.9] 其中有很大比例都是對沖基金
[152.9 - 154.8] 藏在海外的馬價
[155.3 - 157.0] 對沖基金有美國本土的
[157.0 - 157.7] 有歐洲的
[157.7 - 158.9] 有亞洲的等等
[158.9 - 159.1] 好
[159.1 - 161.5] 那為什麼這一部分是非常要命的呢
[161.5 - 165.6] 因為對沖基金一般都是有很大比例的槓桿的
[165.6 - 166.4] 10倍
[166.4 - 167.1] 20倍
[167.1 - 168.2] 甚至100倍
[168.2 - 168.4] 好
[168.4 - 169.6] 如果這個概念理解了
[169.6 - 171.3] 我們再說回日元匯率
[171.3 - 174.6] 我們知道日本大量的能源原材料
[174.6 - 176.4] 其實都是需要進口的
[176.4 - 179.0] 如果日元持續的貶值
[179.0 - 180.8] 以及進一步的不可控的話
[180.8 - 183.4] 那麼一定會引發輸入性的通脹
[183.4 - 185.9] 為了應對日本政府就要發更多的債
[185.9 - 188.0] 那債券供給增加了
[188.0 - 189.6] 債的價格就下跌
[189.6 - 192.0] 從而債的收益率就會上升
[192.0 - 193.3] 好 那對於對沖基金
[193.3 - 194.5] 不僅持有很多的美債
[194.5 - 196.6] 也持有很多的日債歐債
[196.6 - 199.6] 而當在日債上虧損不斷增加
[199.6 - 201.8] 而且發現會不會不可控的時候
[201.8 - 204.5] 那麼就必須要不斷的去追繳保證金
[204.5 - 206.3] 好 那這部分錢從哪來呢
[206.3 - 208.7] 就從他們手裡擁有的大量的美債
[208.7 - 211.4] 因為美債的流動性非常強
[211.4 - 212.8] 變現速度非常快
[212.8 - 216.3] 如此一來美債就會進一步的面對抛壓
[216.3 - 219.3] 與此美債收益率就會進一步的上漲
[219.3 - 221.0] 那對於美債收益率的上漲
[221.0 - 222.3] 美國到底怕什麼呢
[222.3 - 224.9] 難道只是因為收益率上漲
[224.9 - 227.4] 美國財政利息開支增加嗎
[227.4 - 229.1] 還有一個很重要的原因
[229.1 - 232.2] 我们知道现在美股主要的叙事逻辑
[232.2 - 235.5] 就是AI的快速甚至非速的发展了
[235.5 - 237.3] 那之前的这一年多的时间
[237.3 - 239.4] 我们看到很多新闻都是关于
[239.4 - 241.2] 美国的这些科技巨头
[241.2 - 244.3] 在不断的加大对于像AI技术设施
[244.3 - 247.7] 数据中心 算力等方面的疯狂的投资
[247.7 - 249.0] 那钱从哪来呢
[249.0 - 251.6] 当然有从资本市场的直接融资
[251.6 - 253.3] 但还有很大的一块
[253.3 - 255.2] 其实都是公司在发债
[255.2 - 256.4] 我们去记住数据
[256.4 - 258.4] 2026年截止7月
[258.4 - 261.2] 像Alphabet、亞馬遜、Meta
[261.2 - 263.8] 已經發債超過2200億美元
[263.8 - 267.4] 而這個數比2025年全年兩倍還要多
[267.4 - 270.8] 而甲骨文原本就背著早期收購回購
[270.8 - 273.2] 所背負的將近1300億美元的債
[273.2 - 275.2] 如今為了AI繼續大力舉債
[275.2 - 278.8] 2026年就準備借將近500億美元的債
[278.8 - 281.2] 而英偉達也是在今年6月
[281.2 - 283.6] 完成了近5年以來的首次發債
[283.6 - 285.6] 盈鸦上发了250亿美元的债
[285.6 - 288.6] 而还有5000亿美元的表外融资
[288.6 - 291.0] 这就是他在8月份刚刚公布的
[291.0 - 293.6] 和美国众多的金融巨头
[293.6 - 296.4] 一起AI基础设施融资计划
[296.4 - 297.6] 英伟达不直接出钱
[297.6 - 300.0] 但是他是为项目里的GPU
[300.0 - 302.0] 提供25%的残值担保
[302.0 - 304.2] 你可以理解为类似是个兜底
[304.2 - 306.8] 那这一部分的钱是不会出现在
[306.8 - 308.8] 英伟达的资产负债表上的
[308.8 - 311.6] 但潜在的风险就是一旦AI需求崩盘
[311.6 - 313.4] 导致芯片贬值的话
[313.4 - 315.0] 那么不排除评级机构
[315.0 - 318.4] 会让这些表外负债要进入报表中
[318.4 - 320.2] 那么如此一来就会推高
[320.2 - 321.8] 英伟达的融资成本了
[321.8 - 323.6] 好 那说以上是什么意思呢
[323.6 - 325.8] 也就意味着科技巨头们
[325.8 - 327.8] 现在其实是非常缺钱的
[327.8 - 328.8] 而他们要发债
[328.8 - 330.0] 核心的参考指标
[330.0 - 331.6] 其实就是美债收益率
[331.6 - 333.8] 短债收益率4.5%左右
[333.8 - 336.2] 而长债收益率6.5%
[336.2 - 337.4] 甚至7%
[337.4 - 339.6] 而如果美债收益率不断走高
[339.6 - 342.8] 那么他们要付出的发债的成本
[342.8 - 344.1] 也就会越来越高
[344.1 - 346.3] 那么也就意味着他们借钱的成本
[346.3 - 347.2] 会越来越高
[347.2 - 349.0] 甚至会越来越困难
[349.0 - 352.0] 那么我们想想是不是关于他们的
[352.0 - 354.7] AI的投资节奏就会变慢
[354.7 - 357.9] 这就会直接影响到整体的美股了
[357.9 - 358.9] 好 说到这里
[358.9 - 361.7] 相信朋友们应该就可以更加清晰的理解
[361.7 - 364.0] 这一次美国出手去干预
[364.0 - 367.1] 或者是说联合跟日本干预日元汇率
[367.1 - 369.7] 对于美国自身非常重要的影响
[369.7 - 371.9] 那对全球的资本市场会不会有影响呢
[371.9 - 372.5] 当然了
[372.5 - 375.8] 首先 现在一些比较重要的资本市场
[375.8 - 379.0] 叙事主线其实也是以AI为主的
[379.0 - 382.0] 大家都在AI的这个赛道上你争我抢
[382.0 - 384.8] 也就意味着大家对于AI的发展
[384.8 - 386.2] 以及对自己的重要性
[386.2 - 388.0] 其实都是有高度的共识的
[388.0 - 390.6] 所以如果动辄大几万亿美元
[390.6 - 393.8] 数千亿美元的这些美国头部的科技公司
[393.8 - 394.9] 节奏变慢了的话
[394.9 - 399.0] 那么在整个的供应链链条上的各个企业
[399.0 - 400.6] 都会受到非常直接的影响
[400.6 - 402.9] 好 那我们再说回关于日元汇率
[403.2 - 405.8] 我理解接下来有几个比较重要的节点
[405.8 - 407.0] 是需要重点关注的
[407.0 - 409.2] 第一就是关于日元汇率
[409.2 - 412.0] 之前一度高达将近164
[412.6 - 416.2] 现在基本上是把它维持在160以内
[416.2 - 420.8] 而现在国际上的这些长时间借便宜日元
[420.8 - 422.3] 去换成美元
[422.3 - 425.5] 并且投资在美国的相关产品上
[425.5 - 427.4] 不管是美债还是美股
[427.4 - 431.9] 他们关注的其实就是不管是日本还是美国
[431.9 - 434.0] 到底有多少子弹
[434.0 - 436.0] 以及到底有多大的决心
[436.0 - 438.1] 好 关于决心要看两件事情
[438.1 - 441.6] 第一就是接下来日本在9月10月
[441.6 - 444.3] 这两个非常重要的时间窗口期
[444.3 - 445.8] 会不会进一步的加息
[445.8 - 446.8] 如果不加息
[446.8 - 449.4] 那么空头板子有可能会越来越大
[449.4 - 450.5] 如果加息了
[450.5 - 452.6] 他们是需要有所顾忌
[452.6 - 456.0] 如果接下来会回到也就是跌到163
[456.0 - 459.3] 也就意味着之前所打出去的这些子弹
[459.3 - 460.6] 大部分就都浪费了
[460.6 - 463.5] 而如果接下来能够维持在160以内
[463.5 - 468.0] 以及逐渐向159 158甚至157去升值的话
[468.3 - 471.8] 也就意味着这些大的空头态度
[471.8 - 473.8] 或者是说思路是有调整的
[473.8 - 476.0] 第二我们之前视频跟大家分享过
[476.0 - 478.3] 关于美联储的飞马工具
[478.3 - 480.3] 也就是常备回购机制
[480.3 - 482.1] 那这件事情其实是非常重要的
[482.1 - 483.7] 因为很奇怪的是
[483.7 - 487.1] 它是由美國財政部長貝森特突然提出的
[487.1 - 490.1] 而這個工具是美聯儲的工具
[490.1 - 493.7] 也就意味著現在財政部長貝森特
[493.7 - 496.3] 正在向美聯儲進行施壓
[496.3 - 497.9] 那我們知道這個飛馬工具
[497.9 - 500.9] 國外的這些跟美聯儲有直接
[500.9 - 503.1] 在美債上互動的相關的央行
[503.1 - 505.4] 每一天的額度是600億美元
[505.4 - 507.4] 而貝森特直接說出
[507.4 - 510.4] 接下來要考慮提高這個額度
[510.4 - 513.3] 而這件事情其實應該是由美聯儲
[513.3 - 516.5] 自己内部进行讨论投票去通过的
[516.5 - 519.7] 而现在贝森特却直接把它提出来了
[519.7 - 523.0] 所以不排除贝森特已经跟卧食
[523.0 - 525.1] 在这件事情上是有过沟通的
[525.1 - 527.7] 另外就是他也是希望能够通过这种
[527.7 - 530.4] 公开喊话给美联储进一步的压力
[530.4 - 532.9] 那这个工具借钱是有成本的
[532.9 - 536.2] 现在成本是美联储政策利率的上限
[536.2 - 537.5] 3.75%
[537.5 - 539.7] 那这也不是一个日常的融资工具
[539.7 - 542.8] 一般这个钱也就借个隔夜或者7天
[542.8 - 546.3] 所以貝森特提出的針對日圓匯率還可以使用這個工具
[546.3 - 549.3] 在我理解主要是想向市場傳達一個聲音
[549.3 - 554.2] 就是日本接下來一段時間是不需要去通過跑美債實現的
[554.2 - 558.1] 但不要忘了這個借錢的成本日本是需要自己承擔的
[558.1 - 561.9] 那600億美元如果年利率按3.75%算的話
[561.9 - 565.2] 用一天成本大概是600多萬美元
[565.2 - 567.6] 那七天的成本大概是4000多萬美元
[567.6 - 569.7] 那如果這個工具真的使用的話
[569.7 - 572.0] 也就意味著對於美國來說
[572.0 - 575.1] 他要讓市場上的這些空頭們理解
[575.1 - 578.3] 即使要讓日本去承擔相應的成本
[578.3 - 581.2] 也必須去把日圓匯率拉上來
[581.2 - 584.5] 那麼這其實是會對日圓匯率的這些空頭
[584.5 - 586.1] 形成一定的震懾作用的
[586.1 - 588.9] 那再往後其實就是要拼子彈了
[588.9 - 591.8] 好 那如果接下來不管是9月還是10月
[591.8 - 594.1] 日本選擇去加息了的話
[594.1 - 597.0] 不是說美日之間的這個利差就沒有了
[597.0 - 597.7] 還是在的
[597.7 - 599.6] 空間是有一定的縮小的
[599.6 - 606.0] 重要的其实是要给市场这些大的空头们一个态度或者是说方向
[606.0 - 611.7] 也就是说要告诉他们接下来的这一部分利差是会逐渐减少的
[611.7 - 614.6] 那么介入便宜日元的这个量就会逐步减少
[614.6 - 620.6] 从而调整或者是说一定程度修正日元进一步贬值的这个下行通道
[620.6 - 622.3] 所以到这儿大家有没有发现一件事情
[622.3 - 625.3] 就是当下日本要解决的是通胀的问题
[625.3 - 628.1] 而美国也是要解决通胀问题
[628.1 - 630.1] 雖然形成的原因不一樣
[630.1 - 633.1] 但是處理的目標其實是非常類似的
[633.1 - 637.9] 那這也就是我們看到的日圓日債美元美債美股
[637.9 - 640.0] 是一個線上的蠻整
[640.0 - 641.5] 觸一發而懂全身
[641.5 - 643.2] 所以現在市場在等什麼呢
[643.2 - 645.0] 其實非常重要的一件事情
[645.0 - 648.6] 就是接下來9月10月日本的一些會議決議了
[648.6 - 649.5] 好那說完以上
[649.5 - 652.9] 其實有一件事情是值得我們認真去面對和思考的
[652.9 - 657.7] 就是由於一些地緣衝突所導致的國際能源價格
[657.7 - 660.5] 以及与之相匹配的运输价格的上涨
[660.5 - 663.0] 所引发的输入性通胀的问题
[663.0 - 665.5] 而当下的事件或许只是一个开始
[665.5 - 667.9] 未来有可能会越来越频繁的
[667.9 - 669.7] 那这对于一个国家
[669.7 - 673.3] 不管是企业的成本还是相关的利润
[673.3 - 676.1] 以及到后续的招工就业
[676.1 - 678.2] 都是有着非常深远的影响的
