[0.0 - 2.0] 没想到还能这么玩。
[2.0 - 7.0] 昨天,费能数据公布了,7月份的费能减少2.3万,预期呢是应该增加8万。
[7.0 - 10.0] 除此之外,5、6月份的费能下修了10.3万。
[10.0 - 14.0] 那昨天的费能数据公布出来之后,其实是一键双雕的。
[14.0 - 19.0] 首先就业数据不是特别好,所以接下来加息的预期是大大降低了。
[19.0 - 25.0] 那这个跟我们之前几个月就跟大家分享的一个重要的概念,口头加息基本上是吻合的。
[25.0 - 28.2] 就是说没有实际付出加息的行动
[28.7 - 31.1] 但由于之前的相关数据
[31.5 - 35.2] 让整个市场提升对于接下来加息的预期
[35.7 - 36.5] 从而达到
[37.1 - 40.1] 不行动 但有行动的加息的效果
[40.1 - 42.6] 而当市场越来越多的讨论加息这件事情的时候
[43.0 - 43.8] 泼了一盆冷水
[44.3 - 46.6] 然后又把大家的这个预期调下来了
[46.6 - 47.4] 而不要忘的是
[47.6 - 50.5] 前面一段时间口头加息所形成的这个效果
[50.5 - 52.5] 其实是已经基本实现了的
[52.5 - 55.2] 这应该就是对于预期管理反复的拿捏了
[55.2 - 57.5] 好 那另外一方面其实是更值得思考的
[57.8 - 59.5] 加息预期降下来了
[59.7 - 62.2] 那美元指数昨天晚上也就走弱了
[62.2 - 64.5] 然后基于此日元对美元的汇率
[64.6 - 67.1] 昨天晚上一度升值超过1%
[67.1 - 69.3] 也就是说利用了非农数据
[69.3 - 72.6] 不仅是把加息的预期降了降温
[72.6 - 76.1] 而更重要的是在无声无息的同时
[76.4 - 78.1] 又支持了一把日元汇率
[78.1 - 79.3] 虽然我真的不想说
[79.3 - 81.9] 这一次的非农数据是不是有所设计
[81.9 - 85.5] 但我们毕竟知道啊后边非农数据是可以进行修正的
[85.5 - 89.3] 所以有没有一种驱动力希望通过这一次的非农数据
[89.3 - 91.3] 实现这一键双雕呢
[91.3 - 95.9] 而且实现了没有花真金白银就达到了起码要花一些钱
[95.9 - 97.5] 才能真正达到的效果
[97.5 - 99.1] 好除此之外还有两个重要的信息
[99.1 - 103.1] 第一就是根据美国商品期货交易委员会的数据
[103.1 - 105.8] 在美日联合干预日元汇率之后
[105.8 - 108.3] 杠杆基金在期货和期权市场上
[108.3 - 112.0] 日元净空头头寸是减少了一半合约的
[112.0 - 114.3] 也就是说现在市场上的这些空头
[114.3 - 117.7] 对于日本干预以及美国加入
[117.7 - 120.5] 帮助日本去支撑日元汇率这件事情
[120.5 - 122.4] 还是比较严肃对待的
[122.4 - 125.3] 第二 日本的财务大臣天生高越最新也说了
[125.3 - 126.1] 如果有必要
[126.1 - 129.1] 那美日会继续毫不犹豫的
[129.1 - 130.6] 对于日元汇率进行干预的
[130.6 - 132.2] 与此同时更重要的是
[132.2 - 134.5] 在日美一致认为
[134.5 - 136.7] 这么多年的日元套利交易
[136.7 - 138.2] 更多是投机行为
[138.2 - 140.6] 而不是实际需求驱动的交易
[140.6 - 142.9] 那在我理解前面的他这两个观点
[142.9 - 144.5] 首先就是要告诉市场啊
[144.5 - 146.8] 美日接下来是会一起行动的
[147.1 - 149.9] 当然我相信他心里应该也是有一丝窃喜的
[150.0 - 150.9] 也就是说啊
[150.9 - 152.5] 他知道自己搞不定的事
[152.7 - 155.4] 最终美国也是同意帮他一起
[155.4 - 156.3] 往下去推进的
[156.3 - 157.7] 以前都是自己说话啊
[157.7 - 158.9] 市场越来越不认了
[159.0 - 160.4] 现在把大哥叫来了
[160.4 - 161.9] 而且不排除以后啊
[161.9 - 162.9] 他的相关言论
[162.9 - 165.5] 更多的是要把自己跟他的美国大哥
[165.5 - 166.2] 绑定在一起
[166.2 - 169.3] 那在我理解这不光是在日元汇率上相关的表态
[169.3 - 173.1] 而是对于外界要释放一种非常直接的信号
[173.1 - 177.7] 第二第一次非常直接的有针对性的去对套利交易进行表述
[177.7 - 181.5] 那在我理解不排除是对于未来日本有可能要加息
[181.5 - 185.3] 会影响到套利交易做一个提前的铺垫工作
[185.3 - 189.6] 好最后昨天晚上飞龙数据的公布确实是有多重效果的
[189.6 - 192.3] 不仅还是想到之前跟朋友们分享的那句话
[192.3 - 194.2] 金融就是预期的游戏
[194.2 - 195.4] 谁能做好预期管理
[195.4 - 198.3] 谁就能更轻松地影响全球的金融世界
[198.3 - 201.8] 不管是货币 汇率 资本市场 还是大宗商品
