[0.0 - 6.1] 为什么在这个周末美国暂缓了之前已经公布的要对一超大规模的打击呢?
[6.1 - 8.9] 最重要的一个原因就是日元。
[8.9 - 11.9] 如果打击了之前所公布的电厂和能源设施,
[11.9 - 14.7] 首先霍尔木斯海峡的封锁肯定是会持续的。
[14.7 - 19.6] 而之前这一段时间北部航道封锁,而南部航道也就是靠阿曼这一侧,
[19.6 - 24.7] 有一些船关掉应答器,偷偷出来,这种情况几乎就是不可能的了。
[24.7 - 29.6] 第二,如果真打了能源设施,那么国际油价是肯定要飙升的,
[29.6 - 31.6] 而也就要回到之前的逻辑
[31.8 - 33.1] 大家需要石油
[33.1 - 36.1] 那大家就需要更多的美元去购买石油
[36.2 - 37.6] 从而推高美元指数
[37.6 - 41.5] 那么如此一来就会导致日元又要贬值了
[42.2 - 43.6] 之前的这些天
[43.8 - 47.4] 不管是日本当局还是美国政府
[47.7 - 51.8] 加起来已经花了数百亿美元去支撑日元了
[51.8 - 53.2] 那这里的数百亿美元
[53.2 - 54.6] 我们是用美元去进行计价
[54.6 - 58.8] 因为美国用的是卖欧元去买日元的方式
[58.8 - 62.8] 所以也就意味着如果美国真的发动对一的超大规模的打击
[62.8 - 65.8] 之前花的这数百亿美元就都灰飞烟灭了
[66.0 - 66.9] 全都浪费了
[67.2 - 68.4] 与此同时我们看到啊
[68.4 - 70.2] 不管是日本当局
[70.6 - 72.4] 以及美国财政部长贝森特
[72.7 - 75.5] 还有就是特都亲自出来说
[75.9 - 78.6] 这一次的联合干预是非常重要的
[78.6 - 80.0] 那美方的这两个人啊
[80.0 - 82.0] 所说的理由是美日同盟
[82.2 - 84.7] 以及大家之间的友好的关系
[84.8 - 85.8] 友谊等等
[85.9 - 87.7] 但前面两个专门讲
[87.7 - 90.5] 这一次美日联合干预汇率的视频
[90.5 - 91.9] 其实我们都非常清楚
[91.9 - 94.1] 这一次美国对于日元的出手
[94.1 - 96.5] 是必须的或者是说不得不的
[96.5 - 99.1] 另外就是在前两次的联合干预之后
[99.1 - 100.8] 那么他们最新的表态也是
[100.8 - 103.9] 接下来还会继续推进联合干预的
[104.3 - 105.5] 那这种信息释放出来
[105.5 - 107.2] 其实也就是要给市场上
[107.2 - 109.1] 做空日元的这些势力
[109.1 - 110.7] 一个更强烈的信号
[110.7 - 112.3] 好 那关于日元汇率这件事情
[112.3 - 113.6] 在我来看接下来
[113.6 - 115.1] 有几个比较重要的关注点
[115.1 - 115.9] 第一就是
[115.9 - 119.5] 我们看到上一次的升值的点是155
[119.5 - 122.7] 所以之后我们要看的是到了155之后
[122.7 - 124.3] 能够维持多长时间
[124.3 - 126.7] 如果在一段时间是可以维持的
[126.7 - 129.1] 那么也就说明每日这次联合干预
[129.1 - 134.7] 对于在一段时间要保持日元汇率的稳定态度是很坚决的
[134.7 - 138.7] 也就是说对于空头的打击是会更加严格的
[138.7 - 141.7] 好 那第二就是我们前一个视频具体跟大家分享的
[141.7 - 145.3] 关于飞马回购工具具体接下来实施的情况
[145.3 - 146.9] 好第三也是最现实的
[146.9 - 149.1] 就是之所以现在这个问题比较难解决
[149.1 - 152.2] 很重要的一个原因就是美日之间明显的利差
[152.2 - 154.8] 所以如果希望能够接下来有效的解决的话
[154.8 - 156.7] 要不然美国降息
[156.7 - 158.3] 要不然日本加息
[158.3 - 160.0] 那就像前一个视频跟大家说的
[160.0 - 163.7] 双方在自己国内都有比较现实的要解决的问题
[163.7 - 167.4] 所以他们两个货币当局真的都已经准备好了吗
[167.4 - 169.5] 那另外前一个视频也跟大家分享了
[169.5 - 172.1] 美国在当下不得不去干预日元汇率
[172.1 - 174.3] 他不希望他的战略竞争对手的货币
[174.3 - 179.3] 在日本貨幣當下以及接下來持續承壓的現實背景下
[179.3 - 185.6] 獲得更多的機會提升自己在地區以及全球貨幣體系中的重要地位
[185.6 - 187.7] 那我們都非常清楚對於美國來說
[187.7 - 190.9] 它的優勢也好,最大的話語權也好
[190.9 - 193.7] 或者是說對於全球最重要的影響力也好
[193.7 - 197.1] 其實就是金融,當然金融加輿論
[197.1 - 201.7] 因此為了能夠在關鍵時點鞏固自己以及自己相關盟友
[201.7 - 205.2] 在整個西方貨幣體系中的重要地位
[205.2 - 206.3] 或者是說話語權
[206.3 - 210.8] 在當下就不得不先暫緩對於E的打擊了
[210.8 - 215.1] 即使美方說我們跟E又要馬上達成協議了
[215.1 - 217.9] 他們同意開放霍爾木斯海峽
[217.9 - 220.3] 他們同意無核化協議
[220.3 - 222.2] 而E方對於此是直接否認的
[222.2 - 224.6] 所以在這種雞同鴨講的條件下
[224.6 - 226.8] 美方在當下就不得不做出這個選擇了
[226.8 - 229.9] 否則不光是那幾百億美元就這麼浮之一炬了
[229.9 - 232.5] 而更重要的是美國貨幣當局以及美國財政部
[233.0 - 235.0] 要聯合日本一起穩定日圓匯率
[235.5 - 236.3] 提升日圓
[236.6 - 240.9] 並且要展現自己在全球金融體系中的話語權影響力
[241.2 - 243.0] 這件事情就會大打折扣的
[243.2 - 246.8] 好那最後在我理解能夠讓特先暫緩對於伊的打擊
[247.0 - 247.8] 很重要的一個推手
[248.1 - 248.8] 就是貝森特
[249.1 - 250.4] 雖然他現在是美國財政部長
[250.6 - 253.4] 但從他30歲上下就開始狙擊英鎊
[253.7 - 254.5] 賺了10億美元
[254.7 - 256.3] 再到後來狙擊日圓
[256.5 - 257.5] 賺了10億美元
[257.8 - 258.8] 他是那個非常懂貨幣
[259.1 - 259.6] 懂匯率
[259.6 - 262.2] 活跃在一线的对冲基金的操盘手
