[0.0 - 5.0] 今天我们国家统计局公布了8月份一些比较重要的经济数据指标。
[5.0 - 7.5] 那这条视频我们来跟大家具体解读一下。
[7.5 - 10.5] 那统计局的整体评价,第一总体平稳,
[10.5 - 14.0] 同时要看到外部不利环境不断加深,
[14.0 - 16.5] 国内共强虚弱矛盾突出,
[16.5 - 18.0] 部分企业生产经营困难,
[18.0 - 21.0] 稳中向好这个基础还需要加固。
[21.0 - 24.0] 好,接下来我们一一来跟大家做拆解,
[24.0 - 25.5] 第一部分先看消费。
[25.5 - 29.0] 8月份的社会消费品零售总额同比增长0.4%,
[29.0 - 31.2] 跟7月份相比是有回落的
[31.2 - 33.2] 跟去年的8月份相比
[33.2 - 36.6] 3.4%的增速也是有比较明显的下降的
[36.6 - 37.8] 首先粮食粮油
[37.8 - 38.8] 日用消费品
[38.8 - 40.0] 这些刚性需求
[40.0 - 41.2] 整体还是平稳的
[41.2 - 43.4] 第二比较明显的拉动向
[43.4 - 46.4] 通讯器材同比增长27.3%
[46.4 - 48.6] 这其实就反映出在今年暑期
[48.6 - 50.4] 电子产品的更新换代
[50.4 - 53.2] 比去年是有非常明显的增长的
[53.2 - 54.6] 尤其是一些品牌的手机
[54.6 - 56.2] 新出了折叠机
[56.2 - 57.7] 而且价格也不便宜
[57.7 - 61.0] 这也就进一步的拉动了这一部分的消费支出
[61.0 - 64.4] 接下来烟酒消费同比增长12.0%
[64.4 - 65.0] 除此之外
[65.0 - 68.6] 饮料化妆品方面的消费都是同比增长4.9%
[68.6 - 70.2] 一方面是由于夏天的原因
[70.2 - 75.1] 另外就是对于在其他一些消费品方面的消费减少
[75.1 - 77.7] 其实比较容易转移到这类商品中
[77.7 - 82.0] 对于个人不管是身体的精神方面的满足感
[82.0 - 84.3] 都是可以实现及时提升的
[84.3 - 88.8] 再有就是在中西药方面的消费同比增长4.8%
[88.8 - 93.1] 那一方面其实是由于逐渐进入到老龄化社会
[93.1 - 97.2] 所以对于一些老年人的像慢性药支出
[97.2 - 98.9] 就会整体比以前更多
[98.9 - 102.3] 还有就是现在大家对于自己的关爱和关注
[102.3 - 104.6] 比以前应该也是有所提升的
[104.6 - 106.0] 好 看完一些提升的
[106.0 - 107.4] 我们再来看看一些下降的
[107.4 - 109.6] 首先金银珠宝方面
[109.6 - 111.8] 同比大幅下降17.5%
[111.8 - 115.4] 好 那8月份国际金价其实是有一定的回暖的
[115.4 - 118.8] 但金银珠宝方面的消费显著的下降
[118.8 - 121.8] 那一方面反映出由于7月份的时候
[121.8 - 124.2] 国际金价到了阶段性的低位
[124.2 - 126.4] 大家心里比较不踏实
[126.4 - 129.2] 所以虽然黄金价格有了一定的回暖
[129.2 - 132.2] 大家还是会处于一种半观望的状态
[132.2 - 136.6] 另外就是反映出一部分人更愿意去购买金条金币
[136.6 - 139.6] 而逐渐不愿意去为金银珠宝类的
[139.6 - 143.5] 这些金银方面的消费品去支付品牌溢价
[143.5 - 144.4] 好 再接下来
[144.4 - 147.8] 汽车方面的消费同比下降18.5%
[147.8 - 150.6] 那这个跟前两天成联会公布的8月份
[150.6 - 153.5] 乘用车零售数据其实是比较吻合的
[153.5 - 155.8] 那我们知道国家当前在汽车行业
[155.8 - 158.8] 积极在推进的就是内卷式竞争的治理了
[158.8 - 161.7] 那么对于汽车公司相关产品的价格
[161.7 - 162.8] 是会有一定的影响的
[162.8 - 164.5] 所以对于消费者来说
[164.5 - 167.8] 尤其是一些汽车潜在的消费者
[167.8 - 170.1] 那有可能会选择官网的态度
[170.1 - 171.5] 好在这我们也要看一下
[171.5 - 174.3] 8月份我们汽车出口的情况
[174.3 - 176.1] 104.7万辆
[176.1 - 178.8] 同比大幅增长37.7%
[178.8 - 184.0] 另外汽车的单价大概一辆是1.75万美元
[184.0 - 186.8] 同比也是在增长的4.2%
[186.8 - 187.9] 所以我们可以看出
[187.9 - 190.6] 当前我们汽车产业很重要的增长动力
[190.6 - 192.0] 就是来自于出口了
[192.0 - 194.8] 前段时间在印尼看到亚加达街上
[194.8 - 197.8] 主要跑的就是比亚迪50的新农园车
[197.8 - 199.6] 前两天在泰国曼谷的时候
[199.6 - 202.0] 介绍新农园车跑的比较多的
[202.0 - 203.1] 一个广汽安安
[203.1 - 204.1] 还有就是比亚迪
[204.1 - 205.1] 好 最后
[205.1 - 208.8] 建筑装潢方面的消费下降11.8%
[208.8 - 210.9] 家具方面下降7.9%
[210.9 - 213.3] 好 那这一部分其实就比较直接的
[213.3 - 215.6] 受当前我们房地产行业的影响了
[215.6 - 216.8] 那在这我们也看一下
