[0.0 - 2.5] 到泰国参加什么活动呢?
[3.5 - 4.5] 一会见。
[4.5 - 7.5] 2026中国东盟企业家峰会。
[7.5 - 13.5] 那现场不仅来了很多中国优秀的出海以及正在计划出海的企业家代表。
[13.5 - 20.0] 还有一些很重要的嘉宾,像曾任泰国前副总理、现任台中友好协会会长、
[20.0 - 26.0] 龚塔帕朗西先生,以及中国驻泰国大使馆、中国中小企业协会、
[26.0 - 27.7] 中国银行泰国公司
[27.9 - 30.7] 东盟中小企业经济发展委员会的
[30.9 - 32.1] 一些重要领导
[32.4 - 35.5] 在活动的最开始我们都很熟悉的龙永图先生
[35.8 - 38.5] 也是通过视频的方式给活动送来了
[38.5 - 40.5] 他对这一次活动的关注
[40.5 - 42.4] 寄予以及一些祝福
[42.6 - 45.1] 之后中外企业家联合会首席代表
[45.1 - 47.7] 董斌先生也是做了开场致辞
[47.8 - 49.5] 这次峰会也是联合会
[49.5 - 52.6] 深耕东南亚市场的重要战略布局
[52.8 - 54.9] 最后他帕朗西先生也是对
[54.9 - 56.7] 在一带一路的大背景下
[56.9 - 59.5] 推动中泰两国越来越丰富的
[59.7 - 62.1] 经贸文化的交流与发展
[62.3 - 64.0] 表达了自己坚定的信心
[64.0 - 65.7] 以及美好的祝福
[65.7 - 67.0] 在活动的间隙
[67.0 - 70.0] 我和他也是有了一小段近距离的交流
[70.3 - 72.5] 尤其是知道他去过我的家乡
[72.5 - 73.9] 新疆乌鲁木齐的时候
[74.2 - 75.7] 感觉更加亲切了
[77.0 - 78.3] 在活动现场还见到了
[78.3 - 80.1] 我应该有十几年没见的
[80.5 - 82.5] 儿童时期的小伙伴
[82.6 - 83.8] 现在他已经是
[83.8 - 87.7] 泰国盘古银行中国区的负责人车尾
[87.7 - 90.3] 那第二天我们就去到了泰国很重要的
[90.3 - 92.1] 泰中罗勇工业园
[92.1 - 96.6] 这是中国优势产业在东南亚重要的制造和出口基地
[96.6 - 101.6] 现在已经形成了汽车电子新能源新材料等产业集群
[101.6 - 103.6] 那它有一个很重要的特点就是
[103.6 - 107.2] 许多企业的中方员工仅占大概10%
[107.2 - 109.3] 本土化程度是非常高的
[109.3 - 111.7] 之后我们就去到了WHA
[111.7 - 114.9] 那它是泰国最大的工业园区的开发
[114.9 - 117.7] 以及基础设施的运营商之一
[117.7 - 118.5] 通过交流
[118.5 - 121.5] 它也是非常详细的介绍了中国企业
[121.5 - 125.7] 在这几年出海过程中的一些现实情况
[125.7 - 127.1] 遇到的一些挑战
[127.1 - 130.5] 以及应该有哪些更好的方式和方法
[130.5 - 132.3] 去应对以及提升
[132.3 - 132.9] 除此之外
[132.9 - 136.5] 还有一些出海泰国应该重点关注的
[136.5 - 139.9] 当地税收法律方面的具体讲解
[139.9 - 141.2] 的具体讲解
[141.2 - 143.3] 最后想跟朋友们再分享几句
[143.3 - 146.3] 泰国作为整个东盟的核心经济体
[146.3 - 148.6] 它的区位优势是很显著的
[148.6 - 152.2] 那像制造业服务业的产业链优势
[152.2 - 153.5] 也是很突出的
[153.5 - 155.8] 那它其实是中国企业扎根东盟
[155.8 - 158.6] 辐射整个东南亚的关键鼠牛
[158.6 - 161.2] 在我们整个东盟合作的版图中
[161.2 - 163.5] 占有着非常重要的战略地位
[163.5 - 165.5] 可能有一些朋友比较关注的是
[165.5 - 166.6] 这里的安全问题
[166.6 - 168.6] 其实这不是我第一次到泰国了
[168.6 - 170.8] 那不管是之前還是這一次
[170.8 - 172.6] 不管是我自己的感受
[172.6 - 174.6] 還是和當地的這些
[174.6 - 177.2] 中國出海的企業進行的各種溝通
[177.2 - 179.0] 大家比較一致的感受就是
[179.0 - 181.2] 其實泰國整體還是比較安全的
[181.2 - 183.2] 盡量不要去一些偏僻的地方
[183.2 - 185.0] 也不要接陌生的電話
[185.0 - 188.2] 或者是說跟一些你完全不熟悉的人
[188.2 - 189.8] 去進行過多的互動
[189.8 - 191.8] 那到了這兒其實你也能感受到
[191.8 - 194.2] 泰國的百姓對於中國人
[194.2 - 195.6] 整體也是比較友好的
[195.6 - 198.4] 從戰略層面泰國正在全力打造
[198.4 - 200.7] 辐射整个东盟的区域中心
[200.7 - 203.2] 那我们的中国企业其实可以把它作为
[203.2 - 208.0] 接下来去开拓其他东南亚新兴市场的重要战略跳板
[208.0 - 209.4] 特别是东盟经济走廊
[209.4 - 212.4] 对标第二个曼谷启动智慧新城建设
[212.4 - 216.7] 很明确的期待中国技术与资本的深度参与与合作
[216.7 - 219.1] 当然中国企业也需要越来越重视
[219.1 - 221.9] 泰国日益强调的本土化要求
[221.9 - 224.5] 要逐步深入与本土供应链的融合
[224.5 - 228.2] 把自己融入到当地的整个生态建设中
[228.2 - 231.1] 那这次的活动说实话收获还是非常多的
[231.5 - 235.0] 除此之外在这一次的活动上也见到了
[235.0 - 238.1] 几位在经济和金融方面的前辈
[238.4 - 241.7] 而且他们其中也是我视频的粉丝
[241.9 - 245.0] 大家之间也有了更进一步的交流与互动
[245.0 - 247.4] 那说实话我感觉自己接下来的压力
[247.5 - 249.0] 比以前也更大了
[249.3 - 251.7] 那大家也是希望能够在接下来的
[251.7 - 253.4] 日子里有进一步的交流
[253.4 - 255.9] 我也是希望能够通过我自己的努力
[255.9 - 259.8] 幫助我們更多的優質企業出海
