[0.1 - 3.1] 去泰国出差出发前说几消点。
[3.1 - 7.3] 第一,有些事情是会yesterday once more的。
[7.3 - 11.3] 第二,你特别关注的相关事物不要给它加息。
[11.3 - 15.3] 不要给它加息。保持冷静的去思考它。
[15.3 - 17.3] 第三,还是之前跟朋友们分享的。
[17.3 - 21.3] 在当下,相对来说比较真实也比较诚实的,
[21.3 - 23.3] 其实就是国际原油价格了。
[23.3 - 27.3] 所以你在思考的时候要多参考参考这个指标。
[27.3 - 32.3] 第四,昨天的视频大家有机会可以再重温一下
[32.3 - 36.3] 与此同时,要谨记,在中期选举之前
[36.3 - 39.3] 是大资本、大机构最好的
[39.3 - 44.3] 尤其是在今年年底之前最好的收割时段
[44.3 - 47.3] 第五,如果你是一个普通的投资者
[47.3 - 51.3] 一定不要加杠杆,不管你对自己有多大的信心
[51.3 - 56.3] 第六,不要你觉得,一定要去理解市场觉得
[56.3 - 60.1] 翻译一下就是你相不相信不重要
[60.1 - 63.1] 你要考虑的是市场相不相信
[63.1 - 68.6] 以及市场愿不愿意在特定的时间去选择相信
