[0.0 - 3.9] 昨天中国8家中央企业集中公布了增资计划,
[3.9 - 6.3] 拟合计增资3600亿元。
[6.3 - 10.0] 这些资金全部用于补充核心一级资本金。
[10.0 - 13.6] 这一次的增资是继2025年特别国债注资之后
[13.6 - 15.9] 新一轮的资本补充行动。
[15.9 - 18.5] 好,我们先来介绍一下什么是核心一级资本。
[18.5 - 21.2] 这是商业银行中质量最高、
[21.2 - 24.5] 吸收损失能力最强的那一部分资本。
[24.5 - 29.2] 根据国际巴塞尔协议和我们的商业银行资本管理办法,
[29.2 - 31.4] 那最低的监管要求由三部分组成
[31.4 - 32.5] 首先第一部分
[32.5 - 34.9] 普通商业银行大于等于5%
[34.9 - 38.0] 再加上储备资本要求2.5%
[38.0 - 40.0] 再加上全球系统重要性银行
[40.0 - 42.5] 有一个1%到3.5%不等
[42.5 - 44.3] 那现在我们六大国有行
[44.3 - 46.6] 核心一级资本充足率
[46.6 - 49.4] 在10%到14%这个区别
[49.4 - 52.3] 所以其实是高于当前监管的
[52.3 - 53.4] 最低要求标准的
[53.4 - 54.4] 好接下来我们来说说
[54.4 - 55.6] 这一次增资的背景
[55.6 - 57.2] 当时2025年的时候
[57.2 - 59.4] 财政部是发了5000亿的特别国债的
[59.4 - 63.0] 通过定向增发支持中建交由储
[63.0 - 65.2] 去补充它的核心一级资本金
[65.2 - 68.6] 那当时整体募资是5200亿
[68.6 - 70.0] 财政部出了5000亿
[70.0 - 71.7] 那在今年的政府工作报告中
[71.7 - 72.9] 也是特别明确了
[72.9 - 74.8] 财政部要发3000亿的特别国债
[74.8 - 77.6] 去支持国有大行补充资本金
[77.6 - 79.2] 那这一次整体的3600亿
[79.2 - 81.5] 其中3000亿是财政部出资
[81.5 - 85.7] 剩下的600亿由烟草总公司及其子公司
[85.7 - 88.4] 等相关其他国有资本进行出局
[88.4 - 89.8] 好 那这一次的增资计划
[89.8 - 93.5] 一方面是完成了对于整个六大行的注资全覆盖
[93.5 - 95.7] 另外范围也扩展到了政策性金融机构
[95.7 - 97.7] 以及国有商业保险公司
[97.7 - 101.1] 好 在这我们给大家分享一个银行的基本逻辑
[101.1 - 105.2] 那资本金其实就决定着风险资产的扩张能力
