[0.0 - 2.6] 很多朋友不管是在评论还是私信里说
[2.6 - 5.6] 能不能对于最新公布的美国非农就业数据
[5.6 - 8.8] 以及这几天的像黄金日元汇率
[8.8 - 13.0] 稍微讲几句。从上个月也就是8月4号到8月13号
[13.0 - 16.4] 这中间的视频对于日元汇率
[16.4 - 19.4] 对于非农数据以及不管是去年
[19.4 - 22.2] 11月19号和12月31号
[22.2 - 25.5] 对于接下来这一年黄金的一些
[25.5 - 29.0] 重点思考分享以及对于今年中期选举之前
[29.0 - 31.8] 可能一些比较重点关注黄金的朋友
[31.8 - 33.2] 一些小的建议
[33.2 - 35.1] 那该说的基本上都说完了
[35.1 - 36.7] 大家可以回过去看一看
[36.7 - 39.9] 那这个视频其实我想说另外一件事情
[39.9 - 41.3] 那大家应该也都看到了
[41.3 - 44.2] 由于前两天中东又开始折腾了
[44.2 - 46.4] 所以黄金有了比较明显的下错
[46.4 - 48.9] 后来呢突然又涨了起来
[48.9 - 50.8] 原因很简单很直接
[50.8 - 54.2] 就是美联储一直比较婴的那个沃勒
[54.2 - 58.4] 他非常突然的莫名其妙的在一个会议上说
[58.4 - 60.2] 只要通胀继续放缓
[60.2 - 63.2] 它倾向于维持利率不变
[63.2 - 66.7] 那直接就使得美国国债收益率下降了
[66.7 - 68.1] 分别三到五个基点
[68.1 - 69.6] 那看到沃勒发言之后
[70.0 - 72.2] 说实话我真的是有一些哭笑不得
[72.2 - 75.6] 然后有一些无奈也略微有一些失望
[75.6 - 78.2] 哭笑不得是因为谁需要他在这个时候
[78.2 - 79.2] 发表这个言论呢
[79.7 - 80.4] somebody
[80.4 - 83.8] 而且他说的是一句完全正确的废话
[83.8 - 86.4] 无奈就是华尔街的这些顶级的金融机构
[86.4 - 89.6] 金融媒体就大肆炒作他的这个发言
[89.6 - 92.0] 一句正确的废话就把前几天
[92.0 - 95.2] 刚刚让大家加大加大加大
[95.2 - 98.4] 加息的预期一下就打了下来
[98.4 - 99.3] 这反映什么呢
[99.3 - 100.6] 第一 预期管理
[100.6 - 103.1] 第二 金融话语权和影响力
[103.1 - 104.2] 那遗憾是什么呢
[104.2 - 106.9] 就是为什么不能有一些金融媒体站出来
[106.9 - 109.8] 去直接去质疑他的相关发言
[109.8 - 112.3] 好了 接下来昨天非农数据又出来了
[112.3 - 114.1] 大幅超出预期
[114.1 - 116.9] 我又表示有些可笑了
[116.9 - 120.9] 可笑一就是一抄就超过预期十多万
[120.9 - 124.5] 可笑二六月七月的数据都上修
[124.5 - 128.3] 那在上个月八月八号对于非农数据的那个视频
[128.3 - 130.9] 其实我就有过一些些的质疑
[130.9 - 132.1] 那我们想一下啊
[132.1 - 135.9] 之前七月可是在世界盃的
[135.9 - 139.1] 他当时给出了很不好的非农数据
[139.1 - 142.9] 这不是就是希望能够接下来推进江西吗
[142.9 - 144.9] 然后8月世界杯结束了
[144.9 - 149.3] 竟然比6月7月都超出了那么多那么多那么多
[149.3 - 151.9] 当然不排除到了10月份的时候
[151.9 - 154.7] 还会对这个数据再进行一定的修正
[154.7 - 157.3] 但起码在昨天这个数据公布
[157.3 - 158.9] 它的效果又达到了
[158.9 - 162.9] 就是之前加息预期提升
[162.9 - 166.4] 沃勒说话加息预期下降
[166.4 - 170.0] 昨天数据出来加息预期又上升
[170.0 - 173.3] 亦或者是说降息的预期又进行了一定的下调
[173.3 - 174.4] 虽然我不想这么说
[174.4 - 176.9] 但现实就是美国的这些机构
[177.4 - 180.3] 这些人的嘴把全世界耍的团团转
[180.3 - 181.9] 那产生的效果大家也看到了
[181.9 - 184.7] 尤其像黄金又有了一个比较显著的下错
[185.3 - 188.9] 从下错上涨再到下错
[189.4 - 191.8] 又是通过短时间的波动
[192.1 - 192.9] 进行收割
[192.9 - 195.5] 所以还是像31号的视频跟大家分享的
[195.5 - 197.4] 不建议在中期选举之前
[197.4 - 200.1] 对于黄金来说是单边压住的思路
[200.1 - 201.9] 好 最后稍微再说两句
[201.9 - 203.0] 日元汇率的问题
[203.0 - 205.1] 其实刚才前面说的相关的视频
