[0.0 - 3.1] 这两天美国财政部长贝森特有几个很直白的发言,
[3.1 - 5.4] 其实我们心里多多少少都很清楚的,
[5.4 - 9.5] 但他这么直接的表达出来,我们还是需要关注一下的。
[9.5 - 12.5] 第一,关于日元汇率,他说,现在我是庄家,
[12.5 - 16.8] 我拥有不对称的信息,如果你们愿意,可以跟我对着来。
[16.8 - 20.1] 那由于这段话引起了整个业界不小的议论,
[20.1 - 21.9] 昨天他稍微着问了一句,
[21.9 - 25.0] 他说他的意思不是要向人们发起挑战,
[25.0 - 28.3] 但他要表明的是他拥有更多的信息。
[28.3 - 32.2] 好 那我们在8月中旬那几个视频其实就跟大家分享过
[32.2 - 36.0] 美国肯定是要出手去帮日元汇率的
[36.0 - 39.3] 如果日元接下来进一步的发展到不受控制的话
[39.3 - 43.7] 那么就会直接影响到美债 美股以及美元本身
[43.7 - 47.5] 那贝森特的这段话其实主要是喊给那些当前市场上
[47.5 - 49.6] 依旧比较坚定的日元空头的
[49.6 - 53.7] 那其实也表明如果日元汇率接下来会进一步的贬值
[53.7 - 57.3] 我们只回到159 160 甚至更多的话
[57.3 - 60.3] 那么美国肯定还是会进一步的出手
[60.3 - 63.5] 甚至不排除接下来美日会联手干预汇率
[63.5 - 65.7] 那他的这番言论效果怎么样呢
[65.7 - 71.5] 首先日元汇率这两天基本是在153到155这个区间在波动
[71.5 - 76.3] 其实也可以反映出空头们现在还是处于一个偏观望的阶段
[76.3 - 78.9] 另外之前几个星期我们就跟大家分享过
[78.9 - 82.7] 接下来相对来说比较诚实以及真实的指标
[82.7 - 84.3] 就是国际原油价格了
[84.3 - 86.7] 好 那之所以说他比较诚实和真实
[86.7 - 88.0] 很重要的一点是
[88.0 - 89.8] 对于国际原油来说
[89.8 - 92.2] 背后的这些大宗商们
[92.2 - 95.4] 他们对于油每天的供给
[95.5 - 97.6] 是信息非常敏感的
[97.6 - 99.6] 而且原油对于每个国家来说
[99.6 - 100.6] 都是必需品
[100.6 - 102.2] 不管是工业
[102.3 - 104.3] 生活以及一部分的军事
[104.3 - 106.8] 每天全球平均要消耗一亿桶的原油
[106.9 - 108.2] 哪多了哪少了
[108.2 - 110.3] 那这些大宗商是非常清楚的
[110.3 - 111.8] 不是说这个指标不能炒
[111.8 - 112.9] 每天都在炒
[112.9 - 115.9] 但它背后是有很真实的需求支撑的
[115.9 - 117.8] 所以不是说因为它上涨了
[117.8 - 119.7] 所以它比较真实比较诚实
[119.7 - 122.2] 而是基于它背后的需求支撑
[122.2 - 123.7] 由于中东战士的升级
[123.7 - 126.0] 那霍尔木斯海峡的运输情况
[126.0 - 128.1] 肯定比以前难度就要大了
[128.2 - 130.3] 虽然在阿曼湾这一侧
[130.3 - 132.6] 应该还是有一定的暗船进出的
[133.0 - 135.3] 但我理解应该是比以前要少的
[135.3 - 136.8] 所以国际原油价格
[136.8 - 138.3] 就是这最真实的反应
