[0.0 - 3.5] 美联储昨天的议席会议加息了25个基点,
[3.5 - 6.5] 那美联储主席卧实也投出了加息票。
[6.5 - 10.5] 有不少朋友看了我9月14号的那个图文视频,
[10.5 - 13.5] 如果我是卧实,那他确实投了加息票,
[13.5 - 16.8] 但比较可惜的是他没有我说的那份运气。
[16.8 - 20.5] 好,那这条视频我们就结合前两天我写的那些文字,
[20.5 - 24.0] 和昨天美联储主席卧实的相关发言,
[24.0 - 26.2] 来跟大家做一下拆解以及解读。
[26.2 - 28.8] 首先我们先带着大家稍微捋一下
[28.8 - 31.6] 美联储一席会议这两天的主要流程
[31.6 - 33.7] 第一天首先理事会经济学家
[33.7 - 35.9] 会向委员们汇报基准情形
[35.9 - 38.2] 然后12家储备银行的行长
[38.2 - 41.1] 会依次分享各自辖区的经济状况
[41.1 - 43.5] 然后委员们会基于上述的这些信息
[43.5 - 45.0] 交换自己的初步看法
[45.0 - 46.6] 第二天19位参会的人
[46.6 - 50.4] 要依次对于经济的前景和政策的选项
[50.4 - 51.5] 表达自己的观点
[51.5 - 54.2] 然后美联储主席会提出具体的政策提议
[54.2 - 57.4] 那其中12位有投票權的委員
[57.4 - 59.2] 會進行簡單多數投票
[59.2 - 61.8] 然後到下午最終確定政策聲明
[61.8 - 65.8] 所以我們看其實通過這兩天中間的相關發言
[65.8 - 67.2] 或者是說一些流程
[67.2 - 69.4] 那美聯儲主席也就是現在的臥實
[69.4 - 72.4] 其實他心裡基本上應該比較明確
[72.4 - 73.6] 大家的傾向性了
[73.6 - 75.6] 所以前兩天在文字中我就說
[75.6 - 78.4] 如果這一次他不投加息票
[78.4 - 82.4] 而大部分的人都是比較明確的加息傾向的話
[82.4 - 84.7] 那那個結果出來就會非常尷尬了
[84.7 - 87.0] 他那一票即使是維持利率不變
[87.0 - 90.2] 即使不想讓特看起來特別的生氣
[90.2 - 91.4] 其實意義也不大
[91.4 - 94.2] 而且反而會在後期給自己
[94.2 - 95.7] 不管是面對市場
[95.7 - 97.6] 還是面對這些委員們
[97.6 - 99.1] 形成更多的壓力
[99.1 - 101.0] 以及大家對他的不信任
[101.0 - 102.6] 好 我們再來看看具體的發言
[102.6 - 104.2] 首先也是最明確的
[104.2 - 105.9] 就是通脹依然高企
[105.9 - 108.0] 第二 再次強調美聯儲的獨立性
[108.0 - 111.0] 第三 雖然他沒有在文字表述中
[111.0 - 112.6] 直接点名中东战争
[112.6 - 114.7] 但是其实说的很清楚
[114.7 - 117.2] 当前通胀很直接的就是受
[117.2 - 118.8] 国际石油价格的冲击
[118.8 - 120.9] 而且也像我们之前文字中
[120.9 - 121.7] 跟大家表述的
[121.7 - 123.4] 其实他心里非常清楚
[123.4 - 124.9] 当前去加息
[124.9 - 127.1] 并不能直接改变
[127.1 - 128.8] 国际能源价格
[128.8 - 131.3] 对于现在石油价格的影响
[131.3 - 132.2] 但他的表述是
[132.2 - 133.7] 当下的加息是希望这种
[133.7 - 135.3] 对于国内价格的冲击
[135.3 - 136.9] 不会进一步的扩散
[136.9 - 138.9] 不会形成二阶三阶效应
[138.9 - 139.5] 第四
[139.5 - 143.2] 多次强调美国国内就业形势还是良好的
[143.2 - 144.4] 这其实是要告诉大家
[144.4 - 145.2] 虽然加息了
[145.2 - 146.2] 但是这个决定
[146.2 - 149.4] 对于美国国内接下来的就业形势
[149.4 - 150.9] 不会形成太多的压力
[150.9 - 152.2] 好 第五比较有意思
[152.2 - 154.2] 当时在文字中跟大家列的那十条
[154.2 - 157.6] 其实是我去理解卧室的内心的想法
[157.6 - 159.6] 而不是说它都可以表达出来
[159.6 - 160.9] 比如说其中的第八条
[160.9 - 162.2] 美联署选择加息了
[162.2 - 164.3] 那像欧洲 日本 韩国
[164.3 - 166.7] 加拿大 澳大利亚 新西兰等
[166.7 - 167.8] 这些经济体
[167.8 - 170.8] 其实只会面临更进一步的加息压力
[170.8 - 174.0] 那卧实在他的发言中是直接把这件事情就点出来了
[174.0 - 178.0] 他说其他的发达经济体也正在面临加个压力
[178.0 - 180.1] 虽然没有直接说你们也得加息
[180.1 - 182.5] 但这个暗示其实是非常明显了
[182.5 - 184.7] 那第一个面对最现实的压力的
[184.7 - 187.1] 就是这两天日本央行的一席会议了
[187.1 - 191.6] 好 第六 他说我不是一个依赖单一数据点去做判断的人
[191.6 - 195.6] 与此同时他说了我不负责提供前瞻性指引
[195.6 - 197.6] 把这两个结合在一起
[197.6 - 199.2] 在我来看是挺重要的
[199.2 - 201.4] 在前两天的文字梳理中
[201.4 - 203.8] 其实也跟大家明确提及过这一点
[203.8 - 204.9] 对于卧室来说
[204.9 - 206.2] 一次一夕会议
[206.2 - 209.2] 如果只是把它当做一次一夕会议
[209.2 - 210.6] 简单的去做出
[210.6 - 212.4] 不管是加息维持不变
[212.4 - 214.7] 当然现在不可能降息的决议的话
[214.7 - 217.8] 他真的没有充分利用这一次的一夕会议
[217.8 - 219.2] 他的相关决策
[219.2 - 221.1] 肯定是要综合当下
[221.1 - 223.5] 以及接下来的利弊
[223.5 - 229.0] 这个利弊不光是对他自己以及对于把他选上来的特总统
[229.0 - 233.6] 当下最大的币就是会非常直接的增加政府债的付息成本
[233.6 - 239.4] 还有就是会对整个美的百姓相关的贷款成本直接提升
[239.4 - 242.7] 那利除了前面的利美联储的独立性
[242.7 - 246.6] 利我卧食作为美联储新任主席的独立性
[246.6 - 249.8] 更重要的是我后边还有很多工作要做
