[0.0 - 2.6] 虽然从去年开始就跟大家分享这件事情,
[2.6 - 6.6] 那在今年也不断地增加对这件事情的相关解读。
[6.6 - 12.9] 虽然我心里很清楚,到某一天他们肯定是会非常直接地去表述这件事情,
[12.9 - 17.4] 但有些没有想到的是时间比我之前心理预期的要提早很多。
[17.4 - 24.8] 那我们来看这条信息,就是美政府正在考虑一项旨在促进海外使用美元稳定币的计划。
[24.8 - 28.8] 那目标是非常明确的,跟我们之前跟大家分享的也是完全一致的,
[28.8 - 33.0] 就是要进一步的推进美元在全球的储备资产的地位
[33.0 - 36.8] 那一方面是要进一步的维护巩固美元的货币霸权地位
[36.8 - 39.4] 另外一点就是增加国债的购买
[39.4 - 42.8] 那在去年其实就跟朋友们分享过一个很重要的观点
[42.8 - 47.2] 就是美国对于自己的货币未来会面临什么样的挑战
[47.2 - 50.2] 它比世界上任何一个国家都清楚
[50.2 - 55.9] 所以从2008年开始有了加密货币之后又有了稳定币
[55.9 - 60.8] 那这其实一切都是为未来要解决美元有可能面对的问题
[60.8 - 62.6] 在做很早之前的准备
[62.6 - 67.0] 那在这儿我们带着大家稍微回顾一下当前稳定币的一些主要发展情况
[67.0 - 71.1] 首先在全球的总市值大概是3000亿美元
[71.1 - 72.6] 好 第二个概念交易量
[72.6 - 77.7] 今年的6月份单月1.8万亿美元创了历史新高
[77.7 - 81.8] 好 那今年整个上半年累积是8.82万亿美元
[81.8 - 85.1] 这已经超过了2024年的总额了
[85.1 - 88.5] 当然这个数据是剔除掉比如说像刷量啊
[88.5 - 90.3] 还有一些机械活动
[90.5 - 93.5] 那如果不剔除掉这些量是非常大的
[93.5 - 96.7] 好第三Tether公司也就是USDT的公司
[96.9 - 101.1] 现在他所持有的美国国债大概是1500亿美元
[101.1 - 102.7] 那他所持有的美国国债规模
[102.7 - 105.3] 在全球已经排在第17位了
[105.5 - 110.4] 好第四现在这家公司已经持有黄金150吨
[110.4 - 113.7] 好那这个规模已经是除了全球央行以外
[113.7 - 115.7] 最大的私人持有者
[115.7 - 119.3] 第五 今年Tether公司和大宗商品貿易巨頭
[119.3 - 123.7] 托克集團就穩定幣在零售端開始了試水
[123.7 - 125.7] 那目的地是在薩爾瓦多
[125.7 - 129.1] 那這件事情值得注意的是他們選擇的場景是加油站
[129.1 - 132.1] 也就是開始跟石油又連接了
[132.1 - 135.9] 那這是直接切入了石油這個非常重要的大宗商品
[135.9 - 138.7] 在零售支付場景的首次嘗試
[138.7 - 140.5] 如果朋友們對這件事情感興趣
[140.5 - 143.5] 可以回顧一下具體講解這件事情的視頻
[143.5 - 147.6] 第六,这一年多以来,不管是在美国的资本市场
[147.6 - 149.6] 还是在银行端
[149.6 - 153.6] 其实都在快速推进跟稳定币的加速融合
[153.6 - 157.2] 那如果有兴趣的朋友可以在我的主页去搜索相关的内容
[157.2 - 160.5] 关键词可以打稳定币或者加密资产等等
[160.5 - 161.9] 会出来相应的视频
[161.9 - 163.9] 好,那说完以上,我们想一想
[163.9 - 166.9] 在这个时候,美国选择主动的
[166.9 - 169.4] 或者是说让一些人透露
[169.4 - 172.9] 美政府接下来要推进在稳定币方面的计划
[172.9 - 176.6] 什么意图呢?第一,美元在当下以及接下来一段时间
[176.6 - 179.8] 首先要恢复它的强势,它的信用
[179.8 - 182.8] 才能在未来去推进弱美元
[182.8 - 185.8] 也就是贬值或者是说进一步的放水
[185.8 - 187.8] 那从它的角度对于货币的理解
[187.8 - 190.6] 不仅是要自由流动,自由兑换
[190.6 - 192.4] 以美元计价结算
[192.4 - 194.2] 而更重要的也就是
[194.2 - 196.5] 依旧是要让更多的国家
[196.5 - 198.7] 在它的相关外汇储备中
